"var","categoria","Mantenerla como en la actualidad aunque tenga que endeudarse la provincia","Negociar un nuevo acuerdo salarial qué pueda pagarse con los recursos de la provincia","Anularlo, porque es un privilegio que solo tienen los empleados estatales","No sabe"
"P09","Siempre",0.333,0.233,0.217,0.12
"P09","Casi siempre",0.32,0.373,0.345,0.315
"P09","Casi nunca",0.265,0.289,0.354,0.315
"P09","Nunca, pero esta es una excepción",0.082,0.105,0.084,0.25
"P10","Muy buena",0.234,0.197,0.065,0.066
"P10","Buena",0.187,0.29,0.321,0.169
"P10","Ni buena ni mala",0.414,0.379,0.397,0.448
"P10","Mala",0.069,0.09,0.131,0.148
"P10","Muy mala",0.076,0.029,0.058,0.016
"P10","No sabe",0.02,0.015,0.028,0.153
"P11","Muy buena",0.297,0.292,0.113,0.122
"P11","Buena",0.258,0.356,0.334,0.298
"P11","Ni buena ni mala",0.32,0.264,0.365,0.369
"P11","Mala",0.056,0.048,0.136,0.125
"P11","Muy mala",0.058,0.033,0.033,0.012
"P11","No sabe",0.011,0.007,0.019,0.074
"P12","Muy de acuerdo",0.201,0.135,0.065,0.052
"P12","De acuerdo",0.165,0.288,0.142,0.13
"P12","Ni de acuerdo ni en desacuerdo",0.312,0.332,0.504,0.406
"P12","En desacuerdo",0.08,0.06,0.083,0.13
"P12","Muy en desacuerdo",0.062,0.06,0.13,0.018
"P12","No sabe",0.18,0.125,0.076,0.264
"P16","Muy de acuerdo",0.266,0.101,0.107,0.13
"P16","De acuerdo",0.069,0.234,0.081,0.101
"P16","Ni de acuerdo ni en desacuerdo",0.308,0.306,0.283,0.22
"P16","En desacuerdo",0.257,0.244,0.318,0.398
"P16","Muy en desacuerdo",0.066,0.092,0.18,0.069
"P16","No sabe",0.034,0.023,0.031,0.082
"P17","Si",0.505,0.264,0.181,0.26
"P17","No",0.338,0.561,0.689,0.445
"P17","No sabe",0.157,0.175,0.13,0.295
"P18","Proteger sus derechos ancestrales",0.372,0.165,0.122,0.172
"P18","Iniciar un proceso de negociación con la partes del conflicto",0.28,0.311,0.206,0.272
"P18","Exigir el desalojo del predio e iniciar luego un proceso de negociación",0.158,0.287,0.275,0.204
"P18","No negociar con usurpadores y proceder al desalojo de la propiedad",0.171,0.198,0.389,0.227
"P18","No sabe",0.019,0.039,0.008,0.125
"P19","Muy de acuerdo",0.524,0.416,0.443,0.378
"P19","De acuerdo",0.262,0.308,0.239,0.176
"P19","Ni de acuerdo ni en desacuerdo",0.126,0.139,0.177,0.201
"P19","En desacuerdo",0.042,0.058,0.055,0.118
"P19","Muy en desacuerdo",0.024,0.053,0.057,0.032
"P19","No sabe",0.022,0.026,0.029,0.095
"P20","Si",0.577,0.668,0.554,0.483
"P20","No",0.221,0.156,0.196,0.104
"P20","No sabe",0.202,0.176,0.25,0.413
