"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei"
"Si",0.425,0.407,0.442,0.389,0.399,0.478,0.46,0.402,0.425,0.435,0.438,0.555,0.509,0.2,0.605,0.31
"No",0.353,0.381,0.325,0.491,0.33,0.318,0.308,0.368,0.31,0.395,0.328,0.242,0.381,0.485,0.221,0.455
"No sabe",0.222,0.212,0.233,0.12,0.271,0.204,0.232,0.23,0.265,0.17,0.234,0.203,0.11,0.315,0.174,0.235
