"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P30","Muy mala",0.274,0.124,0.097,0.003,0.105,0.149
"P30","No sabe",0.041,0.064,0.004,0.001,0.028,0.155
"P31","Muy buena",0.076,0.071,0.272,0.432,0.666,0.037
"P31","Buena",0.006,0.21,0.086,0.23,0.126,0.095
"P31","Ni buena ni mala",0.031,0.029,0.171,0.11,0.072,0.326
"P31","Mala",0.34,0.276,0.116,0.101,0.086,0
"P31","Muy mala",0.524,0.373,0.355,0.127,0.05,0.281
"P31","No sabe",0.023,0.041,0,0,0,0.261
"P32","Muy buena",0.298,0.113,0.14,0.028,0.002,0
"P32","Buena",0.171,0.313,0.084,0.01,0.046,0.008
"P32","Ni buena ni mala",0.25,0.241,0.334,0.067,0.015,0.391
"P32","Mala",0.195,0.256,0.288,0.464,0.057,0.177
"P32","Muy mala",0.085,0.077,0.122,0.426,0.88,0.162
"P32","No sabe",0.001,0,0.032,0.005,0,0.262
"P33","Muy buena",0.096,0.068,0.121,0.332,0.202,0.133
"P33","Buena",0.056,0.12,0.116,0.241,0.443,0
"P33","Ni buena ni mala",0.05,0.142,0.264,0.176,0.187,0.326
"P33","Mala",0.327,0.241,0.228,0.154,0.064,0
"P33","Muy mala",0.469,0.429,0.271,0.097,0.099,0.279
"P33","No sabe",0.002,0,0,0,0.005,0.262
"P34","Muy buena",0.783,0.317,0.141,0.003,0.043,0
"P34","Buena",0.121,0.409,0.186,0.079,0.038,0.206
"P34","Ni buena ni mala",0.023,0.152,0.36,0.122,0.027,0.4
"P34","Mala",0.012,0.063,0.198,0.455,0.081,0.095
"P34","Muy mala",0.061,0.059,0.115,0.341,0.804,0.037
"P34","No sabe",0,0,0,0,0.007,0.262
"P35","Muy buena",0.513,0.328,0.183,0.023,0.045,0
"P35","Buena",0.376,0.381,0.199,0.085,0.003,0.32
"P35","Ni buena ni mala",0.076,0.161,0.302,0.075,0.009,0.206
"P35","Mala",0.025,0.097,0.227,0.471,0.041,0.175
"P35","Muy mala",0.009,0.033,0.089,0.346,0.898,0.037
"P35","No sabe",0.001,0,0,0,0.004,0.262
"P36","Muy buena",0.443,0.103,0.163,0,0.035,0
"P36","Buena",0.273,0.399,0.098,0.004,0,0.007
"P36","Ni buena ni mala",0.253,0.364,0.456,0.225,0.062,0.515
"P36","Mala",0.015,0.079,0.199,0.474,0.063,0.082
"P36","Muy mala",0.013,0.029,0.078,0.279,0.813,0.038
"P36","No sabe",0.003,0.026,0.006,0.018,0.027,0.358
