"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.304,0.283,0.324,0.225,0.33,0.333,0.301,0.305,0.292,0.319,0.64,0.087,0.193,0.736,0.67,0.03,0.107,0.032,0.256,0.265,0.313,0.361
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.251,0.217,0.282,0.143,0.18,0.325,0.43,0.221,0.236,0.297,0.052,0.473,0.176,0.093,0.069,0.754,0.5,0.051,0.274,0.231,0.258,0.239
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.324,0.403,0.25,0.518,0.365,0.222,0.149,0.337,0.344,0.287,0.201,0.378,0.333,0.13,0.152,0.161,0.24,0.858,0.33,0.386,0.272,0.299
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.018,0.029,0.028,0.026,0.02,0.018,0.019,0.022,0.03,0.025,0.006,0.061,0.009,0.054,0.002,0.014,0.01,0.026,0.013,0.024,0.025
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.022,0.028,0.025,0.023,0.03,0.022,0.026,0.03,0.018,0.025,0.015,0.134,0.007,0.027,0.014,0.015,0.014,0.037,0.017,0.018,0.019
"Otros",0.019,0.015,0.023,0.008,0.023,0.02,0.022,0.027,0.018,0.013,0.015,0.01,0.026,0.006,0.009,0.011,0.038,0.009,0.016,0.023,0.02,0.02
"En blanco",0.017,0.017,0.018,0.024,0.018,0.011,0.018,0.021,0.018,0.012,0.017,0.007,0.032,0.008,0.006,0.003,0.012,0.007,0.02,0.019,0.033,0.013
"No sabe",0.036,0.025,0.046,0.029,0.035,0.039,0.04,0.044,0.04,0.024,0.025,0.024,0.045,0.011,0.013,0.025,0.074,0.019,0.041,0.046,0.062,0.024
