"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.448,0.452,0.57,0.377
"P06","Bastante",0.336,0.266,0.277,0.296
"P06","Poco",0.175,0.215,0.13,0.205
"P06","Nada",0.032,0.043,0.022,0.072
"P06","No sabe",0.009,0.024,0.001,0.05
"P07","Siempre",0.254,0.237,0.301,0.254
"P07","Casi siempre",0.454,0.351,0.382,0.381
"P07","Casi nunca",0.221,0.296,0.237,0.242
"P07","Nunca, pero esta es una excepción",0.071,0.116,0.08,0.123
"P08","Tiene Decidido que va a ir a votar",0.883,0.91,0.898,0.847
"P08","Tiene dudas sobre si va a ir a  votar",0.077,0.063,0.05,0.09
"P08","Tiene Decidido que no va a ir a votar",0.04,0.027,0.052,0.063
"P11","Unión por la Patria",0.162,0.069,0.76,0.486
"P11","Juntos por el Cambio",0.658,0.07,0.064,0.077
"P11","Liberales",0.11,0.682,0.04,0.041
"P11","Izquierda",0.021,0.017,0.049,0.049
"P11","Otro",0.023,0.095,0.029,0.082
"P11","No sabe",0.026,0.067,0.058,0.265
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.162,0.051,0.809,0.512
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.717,0.064,0.032,0.047
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.064,0.842,0.029,0.076
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.01,0.051,0.035
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.01,0.022,0.065
"P12","Otros",0.009,0.006,0.01,0.078
"P12","En blanco",0.001,0.006,0.035,0.025
"P12","No sabe",0.017,0.011,0.012,0.162
"P15","Totalmente seguro",0.694,0.719,0.752,0.517
"P15","Bastante seguro",0.177,0.164,0.099,0.12
"P15","Algo seguro",0.096,0.079,0.097,0.132
"P15","Para nada seguro",0.033,0.038,0.052,0.231
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.124,0.106,0.601,0.455
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.507,0.301,0.055,0.074
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.211,0.461,0.043,0.058
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.02,0.136,0.083
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.025,0.022,0.065
"P24","Otros",0.036,0.027,0.028,0.074
"P24","En blanco",0.026,0.043,0.101,0.04
"P24","No sabe",0.039,0.017,0.014,0.151
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.23,0.085,0.815,0.554
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.73,0.502,0.033,0.053
"P31","En blanco",0.02,0.241,0.141,0.044
"P31","No sabe",0.02,0.172,0.011,0.349
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.247,0.055,0.805,0.557
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.412,0.899,0.04,0.055
"P33","En blanco",0.203,0.026,0.144,0.046
"P33","No sabe",0.138,0.02,0.011,0.342
"P35","Lo votaría",0.229,0.062,0.791,0.523
"P35","Puede que lo vote",0.069,0.147,0.068,0.133
