"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.535,0.443,0.452,0.356,0.454,0.273,0.247,0.239
"P06","Bastante",0.273,0.34,0.28,0.281,0.217,0.308,0.228,0.295
"P06","Poco",0.153,0.177,0.206,0.266,0.241,0.231,0.324,0.206
"P06","Nada",0.026,0.034,0.037,0.079,0.049,0.181,0.201,0.228
"P06","No sabe",0.013,0.006,0.025,0.018,0.039,0.007,0,0.032
"P07","Siempre",0.299,0.277,0.234,0.161,0.192,0.155,0.208,0.133
"P07","Casi siempre",0.38,0.433,0.332,0.411,0.4,0.265,0.245,0.283
"P07","Casi nunca",0.244,0.221,0.292,0.302,0.251,0.414,0.369,0.322
"P07","Nunca, pero esta es una excepción",0.077,0.069,0.142,0.126,0.157,0.166,0.178,0.262
"P08","Tiene Decidido que va a ir a votar",0.906,0.889,0.919,0.749,0.857,0.816,0.677,0.78
"P08","Tiene dudas sobre si va a ir a  votar",0.057,0.071,0.054,0.12,0.076,0.123,0.098,0.094
"P08","Tiene Decidido que no va a ir a votar",0.037,0.04,0.027,0.131,0.067,0.061,0.225,0.126
"P11","Unión por la Patria",0.849,0.036,0.043,0.153,0.103,0.083,0.134,0.029
"P11","Juntos por el Cambio",0.052,0.795,0.052,0.049,0.157,0.148,0.056,0.069
"P11","Liberales",0.023,0.104,0.733,0.095,0.125,0.08,0.103,0.045
"P11","Izquierda",0.012,0.022,0.014,0.608,0.052,0.086,0.013,0.043
"P11","Otro",0.015,0.018,0.105,0.044,0.425,0.248,0.185,0.105
"P11","No sabe",0.049,0.025,0.053,0.051,0.138,0.355,0.509,0.709
