"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.536,0.436,0.45,0.411,0.418,0.283,0.251,0.237
"P06","Bastante",0.273,0.353,0.276,0.237,0.25,0.269,0.181,0.313
"P06","Poco",0.151,0.17,0.213,0.256,0.24,0.269,0.349,0.202
"P06","Nada",0.026,0.035,0.036,0.079,0.05,0.179,0.219,0.22
"P06","No sabe",0.014,0.006,0.025,0.017,0.042,0,0,0.028
"P07","Siempre",0.299,0.274,0.233,0.174,0.213,0.147,0.217,0.131
"P07","Casi siempre",0.382,0.439,0.334,0.404,0.395,0.229,0.197,0.316
"P07","Casi nunca",0.244,0.218,0.291,0.284,0.234,0.462,0.393,0.307
"P07","Nunca, pero esta es una excepción",0.075,0.069,0.142,0.138,0.158,0.162,0.193,0.246
"P08","Tiene Decidido que va a ir a votar",0.905,0.886,0.921,0.749,0.895,0.8,0.659,0.795
"P08","Tiene dudas sobre si va a ir a  votar",0.057,0.077,0.052,0.123,0.032,0.135,0.1,0.092
"P08","Tiene Decidido que no va a ir a votar",0.038,0.037,0.027,0.128,0.073,0.065,0.241,0.113
"P11","Unión por la Patria",0.857,0.03,0.039,0.129,0.115,0.056,0.136,0.036
"P11","Juntos por el Cambio",0.053,0.81,0.049,0.051,0.13,0.137,0.062,0.07
"P11","Liberales",0.017,0.099,0.747,0.104,0.093,0.078,0.111,0.04
"P11","Izquierda",0.011,0.024,0.01,0.653,0.055,0.083,0.009,0.038
"P11","Otro",0.016,0.018,0.102,0.035,0.48,0.223,0.21,0.094
"P11","No sabe",0.046,0.019,0.053,0.028,0.127,0.423,0.472,0.722
"P15","Totalmente seguro",0.733,0.689,0.757,0.524,0.515,0.419,0.423,0.251
"P15","Bastante seguro",0.123,0.178,0.147,0.096,0.072,0.099,0.086,0.083
"P15","Algo seguro",0.096,0.101,0.076,0.163,0.176,0.083,0.068,0.161
"P15","Para nada seguro",0.048,0.032,0.02,0.217,0.237,0.399,0.423,0.505
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.645,0.072,0.074,0.327,0.155,0.16,0.186,0.058
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.065,0.563,0.321,0.043,0.212,0.085,0.062,0.095
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.046,0.225,0.486,0.191,0.096,0.03,0.159,0.048
