"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.315,0.272,0.356,0.227,0.257,0.368,0.465,0.281,0.296,0.369,0.152,0.496,0.326,0.201,0.189,0.736,0.536,0.081,0.339,0.279,0.288,0.313
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.34,0.42,0.263,0.535,0.38,0.245,0.165,0.348,0.366,0.298,0.241,0.392,0.365,0.154,0.171,0.197,0.272,0.858,0.352,0.417,0.302,0.301
"En blanco",0.21,0.197,0.223,0.153,0.226,0.24,0.199,0.185,0.209,0.234,0.398,0.061,0.144,0.416,0.46,0.027,0.09,0.029,0.182,0.153,0.295,0.247
"No sabe",0.135,0.111,0.158,0.085,0.137,0.147,0.171,0.186,0.129,0.099,0.209,0.051,0.165,0.229,0.18,0.04,0.102,0.032,0.127,0.151,0.115,0.139
