"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.536,0.433,0.464,0.35
"P06","Bastante",0.276,0.338,0.241,0.252
"P06","Poco",0.155,0.182,0.209,0.266
"P06","Nada",0.022,0.033,0.074,0.085
"P06","No sabe",0.011,0.014,0.012,0.047
"P07","Siempre",0.305,0.246,0.258,0.184
"P07","Casi siempre",0.394,0.433,0.32,0.339
"P07","Casi nunca",0.225,0.247,0.258,0.321
"P07","Nunca, pero esta es una excepción",0.076,0.074,0.164,0.156
"P08","Tiene Decidido que va a ir a votar",0.904,0.919,0.836,0.807
"P08","Tiene dudas sobre si va a ir a  votar",0.062,0.061,0.067,0.104
"P08","Tiene Decidido que no va a ir a votar",0.034,0.02,0.097,0.089
"P11","Unión por la Patria",0.783,0.025,0.099,0.066
"P11","Juntos por el Cambio",0.068,0.522,0.066,0.074
"P11","Liberales",0.048,0.361,0.577,0.339
"P11","Izquierda",0.029,0.015,0.064,0.047
"P11","Otro",0.025,0.041,0.095,0.17
"P11","No sabe",0.047,0.036,0.099,0.304
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.828,0.018,0.085,0.051
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.05,0.56,0.066,0.06
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.064,0.372,0.667,0.502
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.008,0.05,0.045
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.017,0.024,0.067
"P12","Otros",0.006,0.005,0.019,0.089
"P12","En blanco",0.002,0.003,0.059,0.017
"P12","No sabe",0.013,0.017,0.03,0.169
"P15","Totalmente seguro",0.746,0.687,0.734,0.481
"P15","Bastante seguro",0.125,0.183,0.113,0.143
"P15","Algo seguro",0.093,0.093,0.08,0.135
"P15","Para nada seguro",0.036,0.037,0.073,0.241
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.63,0.056,0.094,0.081
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.084,0.525,0.131,0.1
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.071,0.291,0.436,0.345
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.095,0.015,0.074,0.078
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.028,0.036,0.084
"P24","Otros",0.026,0.022,0.047,0.125
"P24","En blanco",0.043,0.031,0.157,0.028
"P24","No sabe",0.029,0.032,0.025,0.159
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.212,0.566,0.051,0.058
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.08,0.4,0.653,0.507
"P32","En blanco",0.497,0.017,0.247,0.02
"P32","No sabe",0.211,0.017,0.049,0.415
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.893,0.047,0.073,0.034
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.694,0.65,0.516
"P33","En blanco",0.034,0.154,0.232,0.042
"P33","No sabe",0.011,0.105,0.045,0.408
"P35","Lo votaría",0.853,0.035,0.103,0.046
"P35","Puede que lo vote",0.077,0.108,0.118,0.151
"P35","Nunca lo votaría",0.054,0.834,0.733,0.52
"P35","No sabe",0.016,0.023,0.046,0.283
"P36","Lo votaría",0.107,0.616,0.092,0.055
"P36","Puede que lo vote",0.12,0.249,0.162,0.159
"P36","Nunca lo votaría",0.726,0.109,0.675,0.543
"P36","No sabe",0.047,0.026,0.071,0.243
"P37","Lo votaría",0.065,0.434,0.648,0.483
"P37","Puede que lo vote",0.101,0.262,0.05,0.108
"P37","Nunca lo votaría",0.817,0.265,0.273,0.203
"P37","No sabe",0.017,0.039,0.029,0.206
"P38","Lo votaría",0.132,0.047,0.091,0.065
"P38","Puede que lo vote",0.329,0.074,0.061,0.138
"P38","Nunca lo votaría",0.452,0.836,0.8,0.563
"P38","No sabe",0.087,0.043,0.048,0.234
"P39","Lo votaría",0.094,0.068,0.089,0.085
"P39","Puede que lo vote",0.238,0.201,0.108,0.169
"P39","Nunca lo votaría",0.589,0.682,0.756,0.508
"P39","No sabe",0.079,0.049,0.047,0.238
"P52","Si",0.516,0.459,0.453,0.314
"P52","No",0.484,0.541,0.547,0.686
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.82,0.021,0.086,0.05
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.054,0.561,0.063,0.075
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.07,0.368,0.668,0.511
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.025,0.005,0.049,0.055
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.022,0.025,0.071
"PRESIDENTE","Otros",0.007,0.005,0.019,0.072
"PRESIDENTE","En blanco",0.002,0.004,0.06,0.032
"PRESIDENTE","No sabe",0.009,0.014,0.03,0.134
