"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P07","Siempre",0.353,0.161,0.124,0.139,0.053
"P07","Casi siempre",0.343,0.476,0.286,0.128,0.125
"P07","Casi nunca",0.214,0.271,0.431,0.313,0.405
"P07","Nunca, pero esta es una excepción",0.09,0.092,0.159,0.42,0.417
"P08","Tiene Decidido que va a ir a votar",0.934,0.918,0.778,0.583,0.656
"P08","Tiene dudas sobre si va a ir a  votar",0.036,0.062,0.107,0.185,0.16
"P08","Tiene Decidido que no va a ir a votar",0.03,0.02,0.115,0.232,0.184
"P11","Unión por la Patria",0.355,0.255,0.216,0.114,0.188
"P11","Juntos por el Cambio",0.233,0.293,0.226,0.129,0.062
"P11","Liberales",0.274,0.271,0.318,0.234,0.133
"P11","Izquierda",0.036,0.03,0.028,0.044,0.068
"P11","Otro",0.051,0.056,0.108,0.111,0.129
"P11","No sabe",0.051,0.095,0.104,0.368,0.42
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.358,0.284,0.245,0.165,0.258
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.24,0.302,0.228,0.184,0.096
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.318,0.303,0.364,0.246,0.49
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.019,0.032,0.04,0.025
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.019,0.029,0.024,0.059
"P12","Otros",0.013,0.019,0.029,0.078,0
"P12","En blanco",0.008,0.01,0.029,0.073,0
"P12","No sabe",0.021,0.044,0.044,0.19,0.072
"P15","Totalmente seguro",0.77,0.678,0.56,0.559,0.62
"P15","Bastante seguro",0.119,0.162,0.178,0.107,0.023
"P15","Algo seguro",0.071,0.094,0.164,0.061,0.157
"P15","Para nada seguro",0.04,0.066,0.098,0.273,0.2
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.289,0.271,0.204,0.171,0.167
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.286,0.345,0.203,0.182
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.255,0.227,0.203,0.195,0.501
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.067,0.038,0.059,0.067,0
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.035,0.04,0.042,0.077
"P24","Otros",0.023,0.048,0.057,0.07,0.007
"P24","En blanco",0.059,0.051,0.043,0.127,0
"P24","No sabe",0.027,0.044,0.049,0.125,0.066
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.411,0.334,0.297,0.199,0.247
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.383,0.47,0.405,0.34,0.342
"P31","En blanco",0.121,0.1,0.137,0.224,0.09
"P31","No sabe",0.085,0.096,0.161,0.237,0.321
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.303,0.36,0.301,0.258,0.154
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.33,0.306,0.398,0.373,0.458
"P32","En blanco",0.258,0.198,0.149,0.12,0.008
"P32","No sabe",0.109,0.136,0.152,0.249,0.38
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.4,0.329,0.264,0.172,0.213
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.428,0.469,0.498,0.372,0.516
"P33","En blanco",0.102,0.106,0.109,0.196,0.051
"P33","No sabe",0.07,0.096,0.129,0.26,0.22
"P35","Lo votaría",0.396,0.297,0.264,0.206,0.213
"P35","Puede que lo vote",0.091,0.091,0.129,0.145,0.257
"P35","Nunca lo votaría",0.477,0.564,0.532,0.478,0.478
"P35","No sabe",0.036,0.048,0.075,0.171,0.052
"P36","Lo votaría",0.296,0.361,0.292,0.306,0.275
"P36","Puede que lo vote",0.15,0.211,0.218,0.173,0.289
"P36","Nunca lo votaría",0.518,0.346,0.432,0.329,0.232
"P36","No sabe",0.036,0.082,0.058,0.192,0.204
"P37","Lo votaría",0.316,0.341,0.375,0.347,0.403
"P37","Puede que lo vote",0.143,0.194,0.17,0.17,0.132
"P37","Nunca lo votaría",0.517,0.416,0.388,0.311,0.246
"P37","No sabe",0.024,0.049,0.067,0.172,0.219
"P38","Lo votaría",0.1,0.072,0.064,0.063,0.093
"P38","Puede que lo vote",0.182,0.172,0.132,0.167,0.138
"P38","Nunca lo votaría",0.666,0.674,0.696,0.587,0.529
"P38","No sabe",0.052,0.082,0.108,0.183,0.24
"P39","Lo votaría",0.075,0.061,0.085,0.197,0.331
"P39","Puede que lo vote",0.185,0.238,0.19,0.198,0.026
"P39","Nunca lo votaría",0.688,0.602,0.643,0.427,0.389
"P39","No sabe",0.052,0.099,0.082,0.178,0.254
"P52","Si",0.502,0.467,0.411,0.233,0.4
"P52","No",0.498,0.533,0.589,0.767,0.6
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.356,0.285,0.248,0.17,0.242
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.242,0.293,0.237,0.184,0.094
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.32,0.311,0.356,0.257,0.5
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.023,0.033,0.04,0.025
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.018,0.032,0.026,0.06
"PRESIDENTE","Otros",0.011,0.02,0.024,0.074,0.008
"PRESIDENTE","En blanco",0.009,0.014,0.03,0.074,0
"PRESIDENTE","No sabe",0.019,0.036,0.04,0.175,0.071
