"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.735,0.06,0.18,0.09
"P10","Juntos por el Cambio",0.119,0.255,0.556,0.563
"P10","De los liberales libertarios",0.067,0.602,0.101,0.039
"P10","De la Izquierda",0.032,0.016,0.077,0.043
"P10","Hacemos por nuestro país",0.014,0.016,0.017,0.027
"P10","Otro",0.009,0.019,0.019,0.083
"P10","En blanco",0.009,0.001,0.042,0.027
"P10","No sabe",0.015,0.031,0.008,0.128
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.822,0.065,0.172,0.075
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.101,0.249,0.594,0.56
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.029,0.614,0.052,0.061
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.021,0.026,0.078,0.031
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.014,0.03,0.063
"P20","En blanco",0.001,0.012,0.057,0.022
"P20","No sabe",0.009,0.02,0.017,0.188
"P26","Totalmente seguro",0.81,0.741,0.748,0.503
"P26","Bastante seguro",0.079,0.142,0.092,0.093
"P26","Algo seguro",0.056,0.062,0.064,0.147
"P26","Para nada seguro",0.055,0.055,0.096,0.257
"P27","Tiene Decidido que va a ir a votar",0.952,0.887,0.899,0.81
"P27","Tiene dudas sobre si va a ir a  votar",0.029,0.092,0.078,0.184
"P27","Tiene Decidido que no va a ir a votar",0.019,0.021,0.023,0.006
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.042,0.155,0.058
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.072,0.56,0.611,0.637
"P28","En blanco",0.019,0.258,0.163,0.039
"P28","No sabe",0.026,0.14,0.071,0.266
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.317,0.227,0.554,0.568
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.041,0.699,0.109,0.112
"P29","En blanco",0.424,0.025,0.293,0.02
"P29","No sabe",0.218,0.049,0.044,0.3
"P38","Inflación",0.399,0.346,0.267,0.224
"P38","Desempleo",0.08,0.046,0.083,0.077
"P38","Corrupción",0.134,0.462,0.428,0.442
"P38","Inseguridad",0.16,0.092,0.115,0.135
"P38","Precio del dólar",0.052,0.012,0.005,0.035
"P38","Pobreza",0.074,0.004,0.058,0.007
"P38","Narcotráfico",0.019,0,0.011,0.014
"P38","Tarifas",0.005,0.002,0,0.006
"P38","Otro",0.056,0.034,0.033,0.032
"P38","No sabe",0.021,0.002,0,0.028
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.742,0.093,0.144,0.055
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.128,0.301,0.532,0.496
