"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.776,0.078,0.137,0.042
"P10","Juntos por el Cambio",0.096,0.61,0.099,0.056
"P10","De los liberales libertarios",0.074,0.246,0.583,0.378
"P10","De la Izquierda",0.019,0.017,0.082,0.101
"P10","Hacemos por nuestro país",0.006,0.022,0.019,0.036
"P10","Otro",0.009,0.013,0.008,0.136
"P10","En blanco",0.01,0.002,0.063,0.015
"P10","No sabe",0.01,0.012,0.009,0.236
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.85,0.065,0.106,0.11
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.068,0.63,0.084,0.078
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.046,0.237,0.616,0.35
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.012,0.022,0.058,0.104
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.012,0.022,0.015,0.102
"P20","En blanco",0.001,0.005,0.088,0.023
"P20","No sabe",0.011,0.019,0.033,0.233
"P26","Totalmente seguro",0.824,0.726,0.732,0.46
"P26","Bastante seguro",0.088,0.118,0.086,0.073
"P26","Algo seguro",0.048,0.085,0.022,0.122
"P26","Para nada seguro",0.04,0.071,0.16,0.345
"P27","Tiene Decidido que va a ir a votar",0.952,0.916,0.88,0.747
"P27","Tiene dudas sobre si va a ir a  votar",0.033,0.069,0.099,0.223
"P27","Tiene Decidido que no va a ir a votar",0.015,0.015,0.021,0.03
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.263,0.628,0.075,0.098
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.342,0.639,0.399
"P29","En blanco",0.461,0.006,0.251,0.06
"P29","No sabe",0.233,0.024,0.035,0.443
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.919,0.103,0.087,0.144
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.025,0.468,0.679,0.444
"P30","En blanco",0.043,0.233,0.196,0.102
"P30","No sabe",0.013,0.196,0.038,0.31
"P38","Inflación",0.403,0.301,0.372,0.227
"P38","Desempleo",0.091,0.043,0.071,0.065
"P38","Corrupción",0.114,0.48,0.408,0.401
"P38","Inseguridad",0.159,0.097,0.099,0.169
"P38","Precio del dólar",0.051,0.019,0.013,0.02
"P38","Pobreza",0.081,0.015,0.014,0.014
"P38","Narcotráfico",0.02,0,0.008,0.022
"P38","Tarifas",0.005,0.004,0,0
"P38","Otro",0.06,0.031,0.015,0.048
"P38","No sabe",0.016,0.01,0,0.034
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.765,0.069,0.138,0.128
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.104,0.606,0.08,0.096
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.068,0.234,0.575,0.276
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.017,0.027,0.068,0.104
"GOBERNADOR","En blanco",0.035,0.045,0.106,0.163
"GOBERNADOR","No sabe",0.011,0.019,0.033,0.233
"CORTA_GOBERNADOR","Si",0.119,0.192,0.116,0.159
"CORTA_GOBERNADOR","No",0.881,0.808,0.884,0.841
"P10_imputada","Unión por la Patria",0.782,0.081,0.14,0.134
"P10_imputada","Juntos por el Cambio",0.097,0.613,0.1,0.089
"P10_imputada","De los liberales libertarios",0.074,0.252,0.583,0.41
"P10_imputada","De la Izquierda",0.02,0.017,0.082,0.132
"P10_imputada","Hacemos por nuestro país",0.008,0.022,0.019,0.038
