"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P26","Totalmente seguro",0.779,0.72,0.756,0.48,0.566,0.566
"P26","Bastante seguro",0.09,0.123,0.089,0.104,0.168,0.108
"P26","Algo seguro",0.049,0.074,0.076,0.153,0.121,0.054
"P26","Para nada seguro",0.082,0.083,0.079,0.263,0.145,0.272
"P27","Tiene Decidido que va a ir a votar",0.933,0.923,0.928,0.896,0.77,0.57
"P27","Tiene dudas sobre si va a ir a  votar",0.06,0.051,0.063,0.06,0.225,0.24
"P27","Tiene Decidido que no va a ir a votar",0.007,0.026,0.009,0.044,0.005,0.19
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.881,0.123,0.11,0.206,0.235,0.041
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.048,0.791,0.393,0.237,0.309,0.117
"P28","En blanco",0.03,0.035,0.32,0.193,0.063,0.569
"P28","No sabe",0.041,0.051,0.177,0.364,0.393,0.273
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.219,0.781,0.115,0.267,0.292,0.077
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.136,0.785,0.192,0.225,0.215
"P29","En blanco",0.462,0.032,0.041,0.387,0.177,0.407
"P29","No sabe",0.256,0.051,0.059,0.154,0.306,0.301
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.872,0.188,0.072,0.359,0.37,0.034
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.274,0.856,0.228,0.172,0.208
"P30","En blanco",0.047,0.293,0.033,0.31,0.171,0.508
"P30","No sabe",0.038,0.245,0.039,0.103,0.287,0.25
"P38","Inflación",0.412,0.305,0.323,0.202,0.207,0.237
"P38","Desempleo",0.085,0.049,0.064,0.035,0.072,0.053
"P38","Corrupción",0.112,0.485,0.448,0.388,0.346,0.496
"P38","Inseguridad",0.171,0.089,0.108,0.12,0.125,0.147
"P38","Precio del dólar",0.057,0.013,0.007,0.004,0.144,0
"P38","Pobreza",0.065,0.015,0.018,0.069,0.061,0.067
"P38","Narcotráfico",0.024,0.001,0,0.013,0.045,0
"P38","Tarifas",0.005,0.004,0.001,0,0,0
"P38","Otro",0.054,0.025,0.028,0.169,0,0
"P38","No sabe",0.015,0.014,0.003,0,0,0
