"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.453,0.418,0.485,0.439,0.475,0.475,0.394,0.482,0.446,0.426,0.726,0.134,0.293,0.483,0.394,0.783,0.627,0.058,0.151,0.135
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.265,0.243,0.285,0.207,0.204,0.311,0.425,0.27,0.234,0.314,0.096,0.547,0.341,0.248,0.299,0.114,0.134,0.827,0.526,0.104
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.208,0.267,0.153,0.269,0.242,0.156,0.11,0.169,0.247,0.191,0.131,0.268,0.264,0.195,0.233,0.076,0.152,0.09,0.18,0.698
"Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.029,0.033,0.026,0.042,0.027,0.024,0.022,0.034,0.026,0.029,0.017,0.013,0.033,0.029,0.029,0.011,0.025,0.005,0.059,0.009
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.025,0.014,0.034,0.025,0.028,0.014,0.032,0.022,0.024,0.029,0.023,0.015,0.049,0.026,0.022,0.012,0.03,0.018,0.046,0.023
"En blanco",0.02,0.025,0.017,0.018,0.024,0.02,0.017,0.023,0.023,0.011,0.007,0.023,0.02,0.019,0.023,0.004,0.032,0.002,0.038,0.031
