"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Si",0.196,0.198,0.193,0.253,0.17,0.19,0.18,0.216,0.218,0.13,0.164,0.216,0.327,0.168,0.25,0.162,0.224,0.194,0.237,0.241
"No",0.804,0.802,0.807,0.747,0.83,0.81,0.82,0.784,0.782,0.87,0.836,0.784,0.673,0.832,0.75,0.838,0.776,0.806,0.763,0.759
