"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.41,0.26,0.238
"P10","Juntos por el Cambio",0.269,0.23,0.204
"P10","De los liberales libertarios",0.213,0.237,0.159
"P10","De la Izquierda",0.031,0.043,0.065
"P10","Hacemos por nuestro país",0.015,0.018,0.088
"P10","Otro",0.024,0.061,0.022
"P10","En blanco",0.012,0.051,0.116
"P10","No sabe",0.026,0.1,0.108
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.452,0.324,0.192
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.257,0.149,0.285
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.205,0.191,0.084
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.028,0.027,0.079
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.021,0.084,0.007
"P20","En blanco",0.01,0.06,0.216
"P20","No sabe",0.027,0.165,0.137
"P26","Totalmente seguro",0.782,0.288,0.466
"P26","Bastante seguro",0.088,0.258,0
"P26","Algo seguro",0.059,0.107,0.326
"P26","Para nada seguro",0.071,0.347,0.208
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.492,0.225,0.403
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.325,0.317,0.291
"P28","En blanco",0.103,0.148,0.131
"P28","No sabe",0.08,0.31,0.175
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.356,0.253,0.42
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.232,0.349,0.306
"P29","En blanco",0.263,0.085,0.12
"P29","No sabe",0.149,0.313,0.154
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.507,0.204,0.491
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.274,0.375,0.315
"P30","En blanco",0.127,0.145,0.16
"P30","No sabe",0.092,0.276,0.034
"P38","Inflación",0.348,0.293,0.557
"P38","Desempleo",0.073,0.038,0.052
"P38","Corrupción",0.3,0.292,0.145
"P38","Inseguridad",0.126,0.236,0.147
"P38","Precio del dólar",0.033,0.049,0
"P38","Pobreza",0.048,0.002,0.052
"P38","Narcotráfico",0.011,0.027,0.024
"P38","Tarifas",0.003,0.005,0
"P38","Otro",0.046,0.012,0.023
"P38","No sabe",0.012,0.046,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.423,0.242,0.112
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.266,0.242,0.212
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.196,0.158,0.194
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.034,0.026,0.101
"GOBERNADOR","En blanco",0.053,0.166,0.243
"GOBERNADOR","No sabe",0.028,0.166,0.138
"CORTA_GOBERNADOR","Si",0.145,0.224,0.178
"CORTA_GOBERNADOR","No",0.855,0.776,0.822
"P10_imputada","Unión por la Patria",0.422,0.281,0.248
"P10_imputada","Juntos por el Cambio",0.273,0.241,0.213
"P10_imputada","De los liberales libertarios",0.219,0.239,0.231
"P10_imputada","De la Izquierda",0.032,0.07,0.082
"P10_imputada","Hacemos por nuestro país",0.016,0.018,0.088
"P10_imputada","Otro",0.025,0.086,0.022
"P10_imputada","En blanco",0.013,0.065,0.116
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.463,0.415,0.192
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.266,0.205,0.4
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.208,0.197,0.106
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.03,0.028,0.079
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.021,0.084,0.007
"P20_imputada","En blanco",0.012,0.071,0.216
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.434,0.285,0.128
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.272,0.287,0.245
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.201,0.186,0.226
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.037,0.034,0.117
"GOBERNADOR_imputada","En blanco",0.056,0.208,0.284
