"var","categoria","Si","No"
"P10","Unión por la Patria",0.268,0.421
"P10","Juntos por el Cambio",0.296,0.257
"P10","De los liberales libertarios",0.295,0.197
"P10","De la Izquierda",0.018,0.031
"P10","Hacemos por nuestro país",0.034,0.016
"P10","Otro",0.019,0.026
"P10","En blanco",0.027,0.019
"P10","No sabe",0.043,0.033
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.448,0.434
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.247,0.251
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.305,0.18
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0,0.034
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0.031
"P20","En blanco",0,0.023
"P20","No sabe",0,0.047
"P26","Totalmente seguro",0.616,0.761
"P26","Bastante seguro",0.168,0.09
"P26","Algo seguro",0.12,0.057
"P26","Para nada seguro",0.096,0.092
"P27","Tiene Decidido que va a ir a votar",0.881,0.923
"P27","Tiene dudas sobre si va a ir a  votar",0.099,0.06
"P27","Tiene Decidido que no va a ir a votar",0.02,0.017
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.387,0.492
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.429,0.308
"P28","En blanco",0.082,0.108
"P28","No sabe",0.102,0.092
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.376,0.346
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.37,0.214
"P29","En blanco",0.148,0.27
"P29","No sabe",0.106,0.17
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.378,0.512
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.41,0.255
"P30","En blanco",0.134,0.126
"P30","No sabe",0.078,0.107
"P38","Inflación",0.311,0.358
"P38","Desempleo",0.109,0.064
"P38","Corrupción",0.364,0.289
"P38","Inseguridad",0.166,0.128
"P38","Precio del dólar",0.005,0.038
"P38","Pobreza",0.033,0.044
"P38","Narcotráfico",0.005,0.014
"P38","Tarifas",0,0.004
"P38","Otro",0,0.049
"P38","No sabe",0.007,0.012
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.211,0.434
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.341,0.249
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.261,0.182
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.037,0.034
"GOBERNADOR","En blanco",0.15,0.054
"GOBERNADOR","No sabe",0,0.047
