"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Tiene Decidido que va a ir a votar",0.912,0.907,0.917,0.877,0.916,0.953,0.899,0.892,0.9,0.96,0.932,0.931,0.882,0.924,0.889,0.944,0.917,0.943,0.896,0.907
"Tiene dudas sobre si va a ir a  votar",0.069,0.075,0.063,0.108,0.062,0.033,0.076,0.081,0.08,0.032,0.054,0.051,0.109,0.062,0.082,0.039,0.072,0.051,0.083,0.058
"Tiene Decidido que no va a ir a votar",0.019,0.018,0.02,0.015,0.022,0.014,0.025,0.027,0.02,0.008,0.014,0.018,0.009,0.014,0.029,0.017,0.011,0.006,0.021,0.035
