"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.484,0.498,0.148,0.492,0.715,0.704,0.751,0.646,0.562,0.58
"P10","Juntos por el Cambio",0.237,0.26,0.369,0.209,0.095,0.101,0.012,0.23,0.141,0.042
"P10","De los liberales libertarios",0.187,0.116,0.332,0.186,0.105,0.077,0.072,0.124,0.184,0.162
"P10","De la Izquierda",0.035,0.015,0.045,0.027,0.004,0.056,0.036,0,0.09,0
"P10","Hacemos por nuestro país",0.024,0.003,0.024,0.01,0,0.026,0,0,0.005,0
"P10","Otro",0.006,0.048,0.023,0.033,0.042,0.003,0,0,0.007,0.02
"P10","En blanco",0.006,0.016,0.013,0.016,0,0.013,0,0,0,0
"P10","No sabe",0.021,0.044,0.046,0.027,0.039,0.02,0.129,0,0.011,0.196
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.542,0.51,0.164,0.561,0.761,0.714,0.751,0.655,0.575,0.622
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.213,0.18,0.416,0.176,0.099,0.094,0.012,0.293,0.153,0.331
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.182,0.186,0.301,0.162,0.04,0.086,0,0.052,0.133,0.047
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.018,0.012,0.04,0.029,0.004,0.053,0.034,0,0.128,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.012,0.022,0.024,0.019,0.087,0.027,0.074,0,0,0
"P20","En blanco",0.01,0.011,0.02,0.001,0,0.023,0,0,0,0
"P20","No sabe",0.023,0.079,0.035,0.052,0.009,0.003,0.129,0,0.011,0
"P26","Totalmente seguro",0.782,0.651,0.736,0.751,0.808,0.794,0.799,0.926,0.942,0.583
"P26","Bastante seguro",0.104,0.138,0.096,0.086,0.01,0.145,0,0.074,0.022,0.201
"P26","Algo seguro",0.065,0.14,0.073,0.062,0.004,0.028,0.072,0,0.013,0.02
"P26","Para nada seguro",0.049,0.071,0.095,0.101,0.178,0.033,0.129,0,0.023,0.196
"P27","Tiene Decidido que va a ir a votar",0.923,0.956,0.934,0.877,0.915,0.976,0.835,0.926,0.975,0.804
"P27","Tiene dudas sobre si va a ir a  votar",0.049,0.031,0.057,0.103,0.085,0.003,0.129,0.074,0.016,0.196
"P27","Tiene Decidido que no va a ir a votar",0.028,0.013,0.009,0.02,0,0.021,0.036,0,0.009,0
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.532,0.6,0.178,0.553,0.708,0.826,0.751,0.646,0.624,0.53
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.292,0.205,0.548,0.248,0.192,0.11,0.012,0.354,0.241,0.239
"P28","En blanco",0.116,0.11,0.149,0.081,0.044,0.035,0.072,0,0.036,0
"P28","No sabe",0.06,0.085,0.125,0.118,0.056,0.029,0.165,0,0.099,0.231
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.301,0.294,0.458,0.293,0.279,0.368,0.15,0.118,0.271,0.29
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.242,0.16,0.331,0.218,0.244,0.017,0.064,0.236,0.079,0.015
"P29","En blanco",0.303,0.285,0.117,0.255,0.341,0.45,0.575,0.257,0.474,0.099
"P29","No sabe",0.154,0.261,0.094,0.234,0.136,0.165,0.211,0.389,0.176,0.596
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.555,0.55,0.219,0.586,0.769,0.796,0.752,0.646,0.613,0.746
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.279,0.183,0.438,0.195,0.098,0.024,0,0.168,0.216,0.035
"P30","En blanco",0.097,0.15,0.184,0.111,0.02,0.164,0.119,0,0.095,0
"P30","No sabe",0.069,0.117,0.159,0.108,0.113,0.016,0.129,0.186,0.076,0.219
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.511,0.387,0.181,0.509,0.759,0.71,0.718,0.654,0.577,0.606
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.224,0.232,0.391,0.175,0.083,0.128,0.033,0.294,0.151,0.342
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.178,0.234,0.277,0.178,0.057,0.044,0,0.052,0.133,0.021
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.026,0.013,0.045,0.032,0.004,0.061,0.034,0,0.128,0
"GOBERNADOR","En blanco",0.038,0.055,0.071,0.054,0.088,0.054,0.087,0,0,0.031
"GOBERNADOR","No sabe",0.023,0.079,0.035,0.052,0.009,0.003,0.128,0,0.011,0
"CORTA_GOBERNADOR","Si",0.105,0.188,0.146,0.15,0.017,0.092,0.045,0,0,0.074
"CORTA_GOBERNADOR","No",0.895,0.812,0.854,0.85,0.983,0.908,0.955,1,1,0.926
"P10_imputada","Unión por la Patria",0.49,0.519,0.172,0.494,0.744,0.72,0.751,0.646,0.57,0.58
"P10_imputada","Juntos por el Cambio",0.24,0.26,0.378,0.217,0.095,0.101,0.012,0.23,0.141,0.042
"P10_imputada","De los liberales libertarios",0.194,0.116,0.333,0.203,0.105,0.081,0.072,0.124,0.184,0.162
"P10_imputada","De la Izquierda",0.037,0.022,0.047,0.027,0.004,0.056,0.036,0,0.093,0.196
"P10_imputada","Hacemos por nuestro país",0.024,0.019,0.025,0.01,0,0.026,0,0,0.005,0
"P10_imputada","Otro",0.006,0.048,0.032,0.033,0.042,0.003,0,0,0.007,0.02
"P10_imputada","En blanco",0.009,0.016,0.013,0.016,0.01,0.013,0.129,0,0,0
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.545,0.576,0.175,0.597,0.77,0.714,0.88,0.655,0.583,0.622
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.23,0.189,0.432,0.177,0.099,0.094,0.012,0.293,0.156,0.331
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.184,0.186,0.303,0.162,0.04,0.086,0,0.052,0.133,0.047
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.019,0.016,0.042,0.029,0.004,0.053,0.034,0,0.128,0
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.012,0.022,0.024,0.019,0.087,0.03,0.074,0,0,0
"P20_imputada","En blanco",0.01,0.011,0.024,0.016,0,0.023,0,0,0,0
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.524,0.419,0.187,0.529,0.768,0.71,0.823,0.652,0.585,0.605
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.228,0.251,0.402,0.181,0.083,0.127,0.038,0.295,0.152,0.342
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.182,0.253,0.284,0.184,0.057,0.045,0,0.053,0.134,0.021
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.027,0.018,0.049,0.034,0.004,0.061,0.039,0,0.129,0
"GOBERNADOR_imputada","En blanco",0.039,0.059,0.078,0.072,0.088,0.057,0.1,0,0,0.032
