"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P10","Unión por la Patria",0.748,0.119,0.11,0.112,0.098,0.104,0.108
"P10","Juntos por el Cambio",0.105,0.748,0.111,0.031,0.076,0.194,0.083
"P10","De los liberales libertarios",0.086,0.095,0.688,0.117,0.313,0.079,0.033
"P10","De la Izquierda",0.01,0.011,0.008,0.609,0.012,0.009,0.067
"P10","Hacemos por nuestro país",0.007,0.006,0.03,0,0.34,0,0.003
"P10","Otro",0.011,0.005,0.016,0.131,0.108,0.186,0.158
"P10","En blanco",0.018,0.005,0.003,0,0.005,0.383,0.102
"P10","No sabe",0.015,0.011,0.034,0,0.048,0.045,0.446
"P26","Totalmente seguro",0.806,0.757,0.767,0.49,0.568,0.63,0.068
"P26","Bastante seguro",0.088,0.114,0.091,0.113,0.168,0.121,0.175
"P26","Algo seguro",0.047,0.077,0.076,0.165,0.122,0.061,0.062
"P26","Para nada seguro",0.059,0.052,0.066,0.232,0.142,0.188,0.695
"P27","Tiene Decidido que va a ir a votar",0.944,0.941,0.931,0.891,0.769,0.549,0.654
"P27","Tiene dudas sobre si va a ir a  votar",0.049,0.039,0.062,0.061,0.226,0.234,0.285
"P27","Tiene Decidido que no va a ir a votar",0.007,0.02,0.007,0.048,0.005,0.217,0.061
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.905,0.126,0.112,0.193,0.236,0.049,0.146
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.811,0.397,0.257,0.306,0.124,0.17
"P28","En blanco",0.025,0.034,0.325,0.21,0.063,0.669,0.094
"P28","No sabe",0.023,0.029,0.166,0.34,0.395,0.158,0.59
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.8,0.115,0.277,0.289,0.078,0.216
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.141,0.797,0.199,0.226,0.261,0.045
"P29","En blanco",0.474,0.031,0.042,0.38,0.178,0.495,0.095
"P29","No sabe",0.241,0.028,0.046,0.144,0.307,0.166,0.644
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.895,0.196,0.072,0.338,0.372,0.026,0.141
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.04,0.273,0.862,0.237,0.173,0.251,0.175
"P30","En blanco",0.048,0.301,0.034,0.322,0.166,0.55,0.07
"P30","No sabe",0.017,0.23,0.032,0.103,0.289,0.173,0.614
"P38","Inflación",0.424,0.295,0.321,0.206,0.208,0.304,0.241
"P38","Desempleo",0.078,0.049,0.064,0.027,0.072,0.067,0.164
"P38","Corrupción",0.109,0.489,0.449,0.376,0.348,0.528,0.313
"P38","Inseguridad",0.167,0.093,0.108,0.125,0.126,0.015,0.206
"P38","Precio del dólar",0.058,0.013,0.007,0.004,0.145,0,0.01
"P38","Pobreza",0.068,0.016,0.018,0.072,0.056,0.086,0.004
"P38","Narcotráfico",0.021,0.001,0,0.014,0.045,0,0.048
"P38","Tarifas",0.005,0.004,0.001,0,0,0,0
"P38","Otro",0.055,0.026,0.029,0.176,0,0,0.014
"P38","No sabe",0.015,0.014,0.003,0,0,0,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.847,0.05,0.097,0,0,0,0
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.067,0.849,0.112,0,0,0,0
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.051,0.068,0.766,0,0,0,0
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.005,0.008,0.008,1,0,0,0
"GOBERNADOR","En blanco",0.03,0.025,0.017,0,1,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,0,1
"CORTA_GOBERNADOR","Si",0.201,0.193,0.291,0,0,0,0
"CORTA_GOBERNADOR","No",0.799,0.807,0.709,1,1,1,1
