"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.815,0.729,0.775,0.428,0.541,0.351,0.371
"P26","Bastante seguro",0.077,0.129,0.093,0.142,0.183,0.081,0.081
"P26","Algo seguro",0.051,0.064,0.075,0.054,0.185,0.23,0.042
"P26","Para nada seguro",0.057,0.078,0.057,0.376,0.091,0.338,0.506
"P27","Tiene Decidido que va a ir a votar",0.941,0.924,0.906,0.82,0.831,0.784,0.64
"P27","Tiene dudas sobre si va a ir a  votar",0.047,0.061,0.074,0.135,0.072,0.201,0.24
"P27","Tiene Decidido que no va a ir a votar",0.012,0.015,0.02,0.045,0.097,0.015,0.12
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.872,0.173,0.16,0.263,0.223,0.161,0.297
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.062,0.753,0.373,0.148,0.43,0.16,0.053
"P28","En blanco",0.035,0.041,0.283,0.237,0.121,0.035,0.463
"P28","No sabe",0.031,0.033,0.184,0.352,0.226,0.644,0.187
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.211,0.742,0.172,0.256,0.399,0.169,0.132
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.135,0.722,0.167,0.241,0.107,0.009
"P29","En blanco",0.48,0.054,0.037,0.312,0.134,0.209,0.486
"P29","No sabe",0.231,0.069,0.069,0.265,0.226,0.515,0.373
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.869,0.219,0.146,0.421,0.449,0.181,0.284
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.047,0.279,0.775,0.118,0.259,0.235,0.017
"P30","En blanco",0.056,0.27,0.058,0.261,0.133,0.106,0.404
"P30","No sabe",0.028,0.232,0.021,0.2,0.159,0.478,0.295
"P38","Inflación",0.402,0.324,0.308,0.311,0.421,0.092,0.239
"P38","Desempleo",0.086,0.071,0.037,0.037,0.066,0.158,0.093
"P38","Corrupción",0.12,0.434,0.448,0.333,0.376,0.444,0.302
"P38","Inseguridad",0.154,0.111,0.122,0.084,0.067,0.206,0.167
"P38","Precio del dólar",0.058,0.012,0.016,0.003,0,0.066,0.026
"P38","Pobreza",0.077,0.018,0.016,0.06,0.06,0.006,0.048
"P38","Narcotráfico",0.021,0.001,0.004,0.01,0,0,0.125
"P38","Tarifas",0.005,0.003,0.002,0,0,0,0
"P38","Otro",0.059,0.024,0.037,0.098,0.01,0.015,0
"P38","No sabe",0.018,0.002,0.01,0.064,0,0.013,0
