"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.257,0.242,0.272,0.217,0.256,0.261,0.292,0.263,0.258,0.249,0.456,0.077,0.178,0.261,0.249
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.111,0.121,0.101,0.134,0.13,0.09,0.073,0.095,0.103,0.141,0.187,0.03,0.127,0.109,0.115
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.256,0.256,0.256,0.24,0.205,0.289,0.346,0.264,0.261,0.24,0.105,0.464,0.26,0.261,0.247
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.128,0.121,0.135,0.088,0.143,0.136,0.123,0.117,0.122,0.15,0.065,0.202,0.24,0.127,0.131
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.136,0.153,0.119,0.214,0.139,0.118,0.079,0.137,0.143,0.124,0.094,0.162,0.077,0.135,0.138
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.026,0.017,0.029,0.027,0.01,0.015,0.021,0.026,0.015,0.02,0.012,0.009,0.02,0.023
"Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.01,0.008,0.011,0.017,0.008,0.009,0.005,0.006,0.011,0.01,0.01,0.007,0.015,0.005,0.018
"Otros",0.024,0.032,0.017,0.027,0.03,0.022,0.012,0.026,0.025,0.021,0.02,0.011,0.032,0.027,0.018
"En blanco",0.017,0.013,0.021,0.008,0.019,0.022,0.014,0.013,0.016,0.024,0.012,0.008,0.024,0.015,0.022
"No sabe",0.04,0.028,0.051,0.026,0.043,0.043,0.041,0.058,0.035,0.026,0.031,0.027,0.038,0.04,0.039
