"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.493,0.362,0.409,0.288
"P05","Bastante",0.376,0.454,0.429,0.39
"P05","Poco",0.103,0.144,0.108,0.201
"P05","Nada",0.017,0.036,0.044,0.085
"P05","No sabe",0.011,0.004,0.01,0.036
"P06","Siempre",0.281,0.233,0.245,0.213
"P06","Casi siempre",0.447,0.464,0.353,0.479
"P06","Casi nunca",0.214,0.25,0.285,0.213
"P06","Nunca, pero esta es una excepción",0.058,0.053,0.117,0.095
"P08","Unión por la Patria",0.722,0.088,0.113,0.054
"P08","Juntos por el Cambio",0.14,0.684,0.221,0.309
"P08","Liberales",0.041,0.158,0.448,0.226
"P08","Izquierda",0.03,0.007,0.069,0.053
"P08","Otro",0.023,0.023,0.074,0.081
"P08","No sabe",0.044,0.04,0.075,0.277
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.676,0.012,0.064,0.077
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.181,0.028,0.064,0.026
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.042,0.535,0.208,0.31
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.033,0.24,0.039,0.025
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.032,0.159,0.508,0.266
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.007,0.006,0.04,0.042
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.005,0.007,0.006,0.036
"P15","Otros",0.014,0.003,0.031,0.06
