"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.485,0.376,0.364,0.246
"P05","Bastante",0.382,0.442,0.42,0.436
"P05","Poco",0.108,0.148,0.123,0.18
"P05","Nada",0.018,0.028,0.069,0.121
"P05","No sabe",0.007,0.006,0.024,0.017
"P06","Siempre",0.281,0.231,0.225,0.221
"P06","Casi siempre",0.453,0.457,0.354,0.424
"P06","Casi nunca",0.213,0.254,0.287,0.253
"P06","Nunca, pero esta es una excepción",0.053,0.058,0.134,0.102
"P08","Unión por la Patria",0.702,0.085,0.124,0.116
"P08","Juntos por el Cambio",0.159,0.642,0.192,0.215
"P08","Liberales",0.025,0.204,0.39,0.236
"P08","Izquierda",0.029,0.005,0.115,0.058
"P08","Otro",0.032,0.026,0.088,0.08
"P08","No sabe",0.053,0.038,0.091,0.295
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.676,0.008,0.084,0.117
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.184,0.017,0.101,0.064
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.053,0.585,0.06,0.046
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.027,0.173,0.112,0.172
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.018,0.198,0.454,0.29
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.01,0.003,0.058,0.034
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.005,0.015,0.023
"P15","Otros",0.013,0.001,0.038,0.072
"P15","En blanco",0.002,0.005,0.05,0.003
"P15","No sabe",0.009,0.005,0.028,0.179
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.577,0.041,0.126,0.128
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.2,0.038,0.105,0.128
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.07,0.5,0.092,0.163
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.064,0.209,0.108,0.122
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.046,0.184,0.292,0.13
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.01,0.066,0.018
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.006,0.004,0.023,0.021
"P24","Otros",0.01,0.003,0.063,0.06
"P24","En blanco",0.003,0.003,0.079,0.038
"P24","No sabe",0.01,0.008,0.046,0.192
"P25","Totalmente seguro",0.732,0.751,0.679,0.447
"P25","Bastante seguro",0.157,0.141,0.101,0.16
"P25","Algo seguro",0.077,0.067,0.145,0.105
"P25","Para nada seguro",0.034,0.041,0.075,0.288
"P26","Tiene Decidido que va a ir a votar",0.93,0.932,0.828,0.805
"P26","Tiene dudas sobre si va a ir a votar",0.045,0.052,0.101,0.123
"P26","Tiene Decidido que no va a ir a votar",0.025,0.016,0.071,0.072
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.838,0.013,0.164,0.127
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.054,0.69,0.099,0.094
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.025,0.23,0.447,0.297
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.034,0.006,0.087,0.051
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.009,0.011,0.033,0.039
"P31","Otros",0.025,0.027,0.091,0.101
"P31","En blanco",0.007,0.011,0.049,0.018
"P31","No sabe",0.008,0.012,0.03,0.273
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.834,0.006,0.171,0.108
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.066,0.558,0.111,0.193
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.025,0.308,0.457,0.304
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.028,0.01,0.092,0.026
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.007,0.011,0.032,0.068
"P32","Otros",0.012,0.052,0.06,0.081
"P32","En blanco",0.01,0.022,0.049,0.001
"P32","No sabe",0.018,0.033,0.028,0.219
