"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.273,0.258,0.288,0.196,0.305,0.279,0.272,0.299,0.252,0.273,0.526,0.042,0.223,0.271,0.277
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.091,0.099,0.084,0.12,0.104,0.074,0.056,0.078,0.087,0.114,0.15,0.031,0.082,0.094,0.087
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.253,0.238,0.267,0.164,0.184,0.325,0.409,0.243,0.255,0.263,0.09,0.497,0.257,0.257,0.245
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.109,0.094,0.125,0.1,0.106,0.116,0.119,0.107,0.116,0.102,0.048,0.192,0.122,0.106,0.116
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.167,0.215,0.121,0.308,0.183,0.109,0.059,0.166,0.179,0.15,0.086,0.199,0.141,0.174,0.152
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.02,0.02,0.019,0.021,0.027,0.011,0.014,0.015,0.025,0.019,0.012,0.007,0.041,0.016,0.028
"Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.009,0.01,0.007,0.009,0.012,0.007,0.005,0.011,0.008,0.006,0.012,0.004,0.026,0.007,0.012
"Otros",0.025,0.028,0.022,0.035,0.033,0.013,0.01,0.019,0.026,0.029,0.028,0.005,0.023,0.029,0.016
"En blanco",0.016,0.012,0.019,0.009,0.014,0.019,0.021,0.015,0.019,0.012,0.012,0.011,0.016,0.012,0.023
"No sabe",0.037,0.026,0.048,0.038,0.032,0.047,0.035,0.047,0.033,0.032,0.036,0.012,0.069,0.034,0.044
