"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.467,0.364,0.354,0.426,0.48,0.278,0.332,0.239
"P05","Bastante",0.395,0.457,0.394,0.351,0.404,0.495,0.319,0.363
"P05","Poco",0.115,0.15,0.179,0.11,0.107,0.195,0.252,0.175
"P05","Nada",0.016,0.025,0.057,0.037,0.009,0.025,0.097,0.199
"P05","No sabe",0.007,0.004,0.016,0.076,0,0.007,0,0.024
"P06","Siempre",0.274,0.245,0.178,0.248,0.3,0.251,0.189,0.108
"P06","Casi siempre",0.44,0.455,0.412,0.363,0.273,0.352,0.447,0.505
"P06","Casi nunca",0.22,0.259,0.293,0.284,0.343,0.306,0.259,0.253
"P06","Nunca, pero esta es una excepción",0.066,0.041,0.117,0.105,0.084,0.091,0.105,0.134
"P08","Unión por la Patria",0.757,0.081,0.085,0.24,0.145,0.129,0.065,0.093
"P08","Juntos por el Cambio",0.124,0.802,0.104,0.187,0.241,0.449,0.578,0.274
"P08","Liberales",0.015,0.05,0.671,0.023,0.178,0.055,0.03,0.017
"P08","Izquierda",0.017,0.006,0.011,0.409,0.098,0.089,0.046,0.016
"P08","Otro",0.031,0.027,0.062,0.11,0.227,0.129,0.09,0.054
"P08","No sabe",0.056,0.034,0.067,0.031,0.111,0.149,0.191,0.546
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.733,0.018,0.021,0.111,0.052,0.1,0.108,0.023
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.18,0.012,0.028,0.384,0.05,0.14,0.059,0.057
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.016,0.763,0.062,0.046,0.028,0.046,0.15,0.052
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.028,0.155,0.052,0.068,0.306,0.417,0.371,0.242
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.016,0.03,0.823,0.046,0.107,0.012,0.021,0.012
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.001,0.003,0.003,0.307,0,0.05,0.022,0.046
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.004,0.004,0,0.012,0.37,0.027,0,0
"P15","Otros",0.007,0.004,0.005,0.022,0.066,0.158,0.079,0.088
"P15","En blanco",0.004,0.007,0.005,0,0.021,0,0.183,0.05
"P15","No sabe",0.011,0.004,0.001,0.004,0,0.05,0.007,0.43
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.621,0.049,0.064,0.217,0.079,0.12,0.031,0.055
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.203,0.026,0.062,0.21,0.054,0.172,0.163,0.042
