"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P05","Mucho",0.474,0.349,0.377,0.295,0.248,0.14
"P05","Bastante",0.375,0.452,0.358,0.405,0.342,0.343
"P05","Poco",0.109,0.162,0.199,0.16,0.304,0.301
"P05","Nada",0.033,0.032,0.045,0.134,0.08,0.183
"P05","No sabe",0.009,0.005,0.021,0.006,0.026,0.033
"P06","Siempre",0.277,0.236,0.198,0.27,0.201,0.093
"P06","Casi siempre",0.413,0.429,0.381,0.277,0.311,0.283
"P06","Casi nunca",0.226,0.278,0.292,0.324,0.292,0.417
"P06","Nunca, pero esta es una excepción",0.084,0.057,0.129,0.129,0.196,0.207
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.656,0.094,0.006,0.069,0.176,0.176
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.185,0.031,0.025,0.166,0.103,0.07
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.07,0.581,0.079,0.021,0.112,0.091
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.029,0.23,0.041,0.05,0.065,0.083
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.045,0.028,0.819,0.163,0.212,0.096
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.001,0.004,0.003,0.38,0.021,0.047
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.003,0.007,0.001,0.054,0.042,0.013
"P15","Otros",0.003,0.01,0.005,0.088,0.157,0.083
"P15","En blanco",0.002,0.003,0.011,0.003,0.064,0.085
"P15","No sabe",0.006,0.012,0.01,0.006,0.048,0.256
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.562,0.075,0.052,0.332,0.207,0.22
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.203,0.064,0.059,0.115,0.118,0.044
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.072,0.444,0.349,0.052,0.137,0.159
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.069,0.235,0.066,0.043,0.086,0.071
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.053,0.126,0.385,0.042,0.157,0.086
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.008,0.019,0.255,0.046,0.028
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.008,0.003,0.052,0.023,0.009
"P24","Otros",0.012,0.014,0.016,0.055,0.14,0.048
"P24","En blanco",0.004,0.007,0.02,0.054,0.041,0.076
"P24","No sabe",0.006,0.019,0.031,0,0.045,0.259
"P25","Totalmente seguro",0.765,0.718,0.746,0.601,0.448,0.258
"P25","Bastante seguro",0.142,0.165,0.121,0.14,0.137,0.095
"P25","Algo seguro",0.069,0.077,0.096,0.097,0.212,0.167
"P25","Para nada seguro",0.024,0.04,0.037,0.162,0.203,0.48
"P26","Tiene Decidido que va a ir a votar",0.94,0.925,0.894,0.819,0.7,0.72
"P26","Tiene dudas sobre si va a ir a votar",0.046,0.056,0.075,0.078,0.189,0.146
"P26","Tiene Decidido que no va a ir a votar",0.014,0.019,0.031,0.103,0.111,0.134
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.813,0.116,0.035,0.209,0.235,0.259
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.081,0.704,0.11,0.071,0.19,0.147
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.046,0.05,0.811,0.068,0.239,0.159
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.023,0.016,0.005,0.43,0.073,0.013
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.006,0.009,0.016,0.045,0.066,0.02
"P31","Otros",0.017,0.052,0.016,0.131,0.121,0.086
"P31","En blanco",0.003,0.025,0.003,0.025,0.032,0.041
"P31","No sabe",0.011,0.028,0.004,0.021,0.044,0.275
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.802,0.118,0.034,0.314,0.209,0.249
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.079,0.611,0.098,0.067,0.06,0.169
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.051,0.126,0.804,0.082,0.286,0.189
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.016,0.012,0.382,0.067,0.005
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.009,0.03,0.035,0.088,0.024
"P32","Otros",0.017,0.056,0.012,0.057,0.186,0.077
"P32","En blanco",0.008,0.022,0.006,0.012,0.053,0.062
"P32","No sabe",0.014,0.042,0.004,0.051,0.051,0.225
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.813,0.153,0.057,0.358,0.306,0.293
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.119,0.753,0.571,0.076,0.3,0.256
"P33","En blanco",0.044,0.056,0.273,0.434,0.254,0.153
"P33","No sabe",0.024,0.038,0.099,0.132,0.14,0.298
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.153,0.758,0.151,0.047,0.303,0.227
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.089,0.091,0.788,0.179,0.283,0.189
"P34","En blanco",0.554,0.097,0.05,0.602,0.295,0.221
