"fecha","t1 A Tolosa Paz por el Frente de todos","t1 A Santilli y Manes por Juntos","t1 A Del Caño por el Frente de Izquierda","t1 A Espert por Avanza libertad","t1 A Randazo por “Vamos con vos""","t1 A Hotton por “+Valores”","t1 Votaría en blanco o anularía","s1 A Tolosa Paz por el Frente de todos","s1 A Santilli y Manes por Juntos","s1 A Del Caño por el Frente de Izquierda","s1 A Espert por Avanza libertad","s1 A Randazo por “Vamos con vos""","s1 A Hotton por “+Valores”","s1 Votaría en blanco o anularía","s2 A Tolosa Paz por el Frente de todos","s2 A Santilli y Manes por Juntos","s2 A Del Caño por el Frente de Izquierda","s2 A Espert por Avanza libertad","s2 A Randazo por “Vamos con vos""","s2 A Hotton por “+Valores”","s2 Votaría en blanco o anularía","e1 A Tolosa Paz por el Frente de todos","e1 A Santilli y Manes por Juntos","e1 A Del Caño por el Frente de Izquierda","e1 A Espert por Avanza libertad","e1 A Randazo por “Vamos con vos""","e1 A Hotton por “+Valores”","e1 Votaría en blanco o anularía","e2 A Tolosa Paz por el Frente de todos","e2 A Santilli y Manes por Juntos","e2 A Del Caño por el Frente de Izquierda","e2 A Espert por Avanza libertad","e2 A Randazo por “Vamos con vos""","e2 A Hotton por “+Valores”","e2 Votaría en blanco o anularía","e3 A Tolosa Paz por el Frente de todos","e3 A Santilli y Manes por Juntos","e3 A Del Caño por el Frente de Izquierda","e3 A Espert por Avanza libertad","e3 A Randazo por “Vamos con vos""","e3 A Hotton por “+Valores”","e3 Votaría en blanco o anularía","e4 A Tolosa Paz por el Frente de todos","e4 A Santilli y Manes por Juntos","e4 A Del Caño por el Frente de Izquierda","e4 A Espert por Avanza libertad","e4 A Randazo por “Vamos con vos""","e4 A Hotton por “+Valores”","e4 Votaría en blanco o anularía","ed1 A Tolosa Paz por el Frente de todos","ed1 A Santilli y Manes por Juntos","ed1 A Del Caño por el Frente de Izquierda","ed1 A Espert por Avanza libertad","ed1 A Randazo por “Vamos con vos""","ed1 A Hotton por “+Valores”","ed1 Votaría en blanco o anularía","ed2 A Tolosa Paz por el Frente de todos","ed2 A Santilli y Manes por Juntos","ed2 A Del Caño por el Frente de Izquierda","ed2 A Espert por Avanza libertad","ed2 A Randazo por “Vamos con vos""","ed2 A Hotton por “+Valores”","ed2 Votaría en blanco o anularía","ed3 A Tolosa Paz por el Frente de todos","ed3 A Santilli y Manes por Juntos","ed3 A Del Caño por el Frente de Izquierda","ed3 A Espert por Avanza libertad","ed3 A Randazo por “Vamos con vos""","ed3 A Hotton por “+Valores”","ed3 Votaría en blanco o anularía","v1 A Tolosa Paz por el Frente de todos","v1 A Santilli y Manes por Juntos","v1 A Del Caño por el Frente de Izquierda","v1 A Espert por Avanza libertad","v1 A Randazo por “Vamos con vos""","v1 A Hotton por “+Valores”","v1 Votaría en blanco o anularía","v2 A Tolosa Paz por el Frente de todos","v2 A Santilli y Manes por Juntos","v2 A Del Caño por el Frente de Izquierda","v2 A Espert por Avanza libertad","v2 A Randazo por “Vamos con vos""","v2 A Hotton por “+Valores”","v2 Votaría en blanco o anularía","v3 A Tolosa Paz por el Frente de todos","v3 A Santilli y Manes por Juntos","v3 A Del Caño por el Frente de Izquierda","v3 A Espert por Avanza libertad","v3 A Randazo por “Vamos con vos""","v3 A Hotton por “+Valores”","v3 Votaría en blanco o anularía"
2021-09-22,0.291,0.372,0.059,0.076,0.027,NA,0.175,0.276,0.304,0.109,0.108,0.028,NA,0.175,0.304,0.432,0.014,0.047,0.027,NA,0.176,0.225,0.321,0.11,0.115,0.011,NA,0.218,0.342,0.333,0.028,0.065,0.034,NA,0.198,0.294,0.413,0.065,0.034,0.032,NA,0.162,0.286,0.473,0.036,0.091,0.032,NA,0.082,0.304,0.347,0.094,0.052,0.033,NA,0.17,0.279,0.306,0.044,0.114,0.026,NA,0.231,0.29,0.508,0.031,0.051,0.021,NA,0.099,0.544,0.198,0.069,0.026,0.03,NA,0.133,0.053,0.787,0,0.071,0,NA,0.089,0,0.263,0.186,0.139,0.27,NA,0.142
2021-09-23,0.308,0.398,0.041,0.078,0.037,NA,0.138,0.289,0.403,0.043,0.104,0.032,NA,0.129,0.324,0.394,0.039,0.054,0.042,NA,0.147,0.264,0.387,0.034,0.139,0,NA,0.176,0.392,0.326,0.026,0.067,0.063,NA,0.126,0.275,0.466,0.066,0.017,0.041,NA,0.135,0.24,0.478,0.05,0.086,0.033,NA,0.113,0.377,0.346,0.067,0.053,0.055,NA,0.102,0.276,0.363,0.014,0.123,0.035,NA,0.189,0.256,0.529,0.044,0.046,0.013,NA,0.112,0.617,0.188,0.02,0.03,0.046,NA,0.099,0.052,0.832,0.009,0.066,0,NA,0.041,0,0.333,0.065,0,0.372,NA,0.23
2021-09-24,0.307,0.433,0.044,0.066,0.03,NA,0.12,0.289,0.416,0.064,0.084,0.026,NA,0.121,0.323,0.45,0.026,0.05,0.032,NA,0.119,0.326,0.362,0.053,0.071,0.032,NA,0.156,0.355,0.384,0.025,0.081,0.049,NA,0.106,0.266,0.506,0.073,0.041,0.019,NA,0.095,0.233,0.545,0.036,0.058,0,NA,0.128,0.364,0.41,0.062,0.036,0.033,NA,0.095,0.302,0.384,0.028,0.091,0.035,NA,0.16,0.239,0.538,0.045,0.068,0.018,NA,0.092,0.592,0.227,0.016,0.03,0.047,NA,0.088,0.081,0.825,0.012,0.05,0,NA,0.032,0,0.452,0,0,0.328,NA,0.22
2021-09-25,0.336,0.371,0.065,0.073,0.026,NA,0.129,0.334,0.343,0.083,0.09,0.026,NA,0.124,0.338,0.396,0.048,0.058,0.027,NA,0.133,0.343,0.235,0.104,0.098,0.036,NA,0.184,0.37,0.359,0.051,0.079,0.04,NA,0.101,0.269,0.453,0.07,0.037,0.016,NA,0.155,0.341,0.474,0.032,0.074,0,NA,0.079,0.451,0.301,0.073,0.035,0.017,NA,0.123,0.288,0.335,0.065,0.114,0.04,NA,0.158,0.257,0.514,0.053,0.064,0.018,NA,0.094,0.614,0.173,0.035,0.041,0.045,NA,0.092,0.092,0.795,0.025,0.052,0,NA,0.036,0.039,0.409,0.254,0.035,0.121,NA,0.142
2021-09-26,0.336,0.371,0.056,0.075,0.018,NA,0.144,0.339,0.313,0.073,0.104,0.022,NA,0.149,0.333,0.426,0.04,0.048,0.014,NA,0.139,0.352,0.172,0.112,0.117,0.038,NA,0.209,0.331,0.355,0.049,0.089,0.021,NA,0.155,0.296,0.482,0.027,0.034,0.003,NA,0.158,0.374,0.551,0.026,0.037,0,NA,0.012,0.457,0.336,0.042,0.016,0,NA,0.149,0.283,0.324,0.067,0.12,0.037,NA,0.169,0.251,0.489,0.059,0.088,0.013,NA,0.1,0.592,0.177,0.034,0.039,0.03,NA,0.128,0.107,0.784,0.022,0.043,0,NA,0.044,0.068,0.373,0.205,0.025,0.113,NA,0.216
2021-09-27,0.327,0.384,0.039,0.067,0.016,NA,0.167,0.33,0.364,0.036,0.094,0.022,NA,0.154,0.324,0.404,0.042,0.041,0.01,NA,0.179,0.383,0.227,0.062,0.105,0,NA,0.223,0.293,0.366,0.051,0.089,0.03,NA,0.171,0.32,0.45,0.018,0.021,0.004,NA,0.187,0.326,0.555,0.01,0.028,0.024,NA,0.057,0.469,0.327,0.017,0.017,0.012,NA,0.158,0.213,0.402,0.052,0.1,0.021,NA,0.212,0.306,0.435,0.05,0.086,0.012,NA,0.111,0.545,0.209,0.038,0.036,0.022,NA,0.15,0.128,0.755,0.015,0.038,0,NA,0.064,0.144,0.303,0.19,0.025,0.147,NA,0.191
2021-09-28,0.326,0.43,0.018,0.052,0.009,NA,0.165,0.308,0.437,0.007,0.089,0.018,NA,0.141,0.344,0.424,0.029,0.014,0,NA,0.189,0.46,0.292,0,0.052,0,NA,0.196,0.307,0.371,0.018,0.085,0.008,NA,0.211,0.31,0.514,0.008,0.025,0.005,NA,0.138,0.207,0.629,0.055,0.019,0.026,NA,0.064,0.467,0.336,0.022,0.019,0.014,NA,0.142,0.222,0.485,0,0.052,0,NA,0.241,0.286,0.478,0.039,0.096,0.016,NA,0.085,0.544,0.249,0.013,0.007,0.014,NA,0.173,0.122,0.772,0.021,0.042,0,NA,0.043,0.254,0.443,0,0,0.076,NA,0.227
2021-09-29,0.359,0.393,0.04,0.054,0.02,NA,0.134,0.325,0.439,0.006,0.093,0.022,NA,0.115,0.393,0.348,0.072,0.017,0.017,NA,0.153,0.498,0.223,0.092,0.053,0,NA,0.134,0.328,0.421,0.012,0.084,0.015,NA,0.14,0.339,0.401,0.015,0.052,0.038,NA,0.155,0.258,0.556,0.055,0,0.032,NA,0.099,0.473,0.313,0.02,0.04,0.036,NA,0.118,0.272,0.448,0.058,0.047,0,NA,0.175,0.337,0.419,0.039,0.083,0.027,NA,0.095,0.639,0.189,0.008,0.023,0.031,NA,0.11,0.113,0.768,0.024,0.032,0,NA,0.063,0.093,0.185,0.58,0,0.098,NA,0.044
2021-09-30,0.304,0.348,0.103,0.109,0.028,NA,0.108,0.243,0.392,0.072,0.184,0.026,NA,0.083,0.36,0.308,0.132,0.039,0.03,NA,0.131,0.353,0.078,0.198,0.253,0.016,NA,0.102,0.327,0.376,0.058,0.074,0.052,NA,0.113,0.243,0.423,0.064,0.085,0.027,NA,0.158,0.262,0.584,0.107,0,0,NA,0.047,0.321,0.331,0.102,0.111,0.039,NA,0.096,0.29,0.322,0.136,0.124,0.014,NA,0.114,0.302,0.411,0.056,0.083,0.033,NA,0.115,0.693,0.104,0.051,0.036,0.036,NA,0.08,0.05,0.733,0.092,0.102,0,NA,0.023,0.026,0.281,0.464,0.09,0.117,NA,0.022
2021-10-01,0.323,0.341,0.067,0.09,0.033,NA,0.146,0.296,0.371,0.055,0.151,0.031,NA,0.096,0.347,0.314,0.078,0.034,0.035,NA,0.192,0.379,0.119,0.123,0.202,0.01,NA,0.167,0.346,0.334,0.043,0.049,0.062,NA,0.166,0.232,0.415,0.063,0.096,0.039,NA,0.155,0.304,0.581,0.043,0.007,0,NA,0.065,0.348,0.307,0.064,0.057,0.044,NA,0.18,0.286,0.34,0.089,0.121,0.018,NA,0.146,0.341,0.39,0.04,0.09,0.04,NA,0.099,0.678,0.083,0.032,0.031,0.043,NA,0.133,0.079,0.727,0.048,0.116,0.002,NA,0.028,0.028,0.309,0.399,0.094,0.144,NA,0.026
