"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.225,0.125,0.527,0.588
"P10","Juntos por el Cambio",0.641,0.193,0.162,0.048
"P10","De los liberales libertarios",0.082,0.497,0.071,0.059
"P10","De la Izquierda",0.009,0.033,0.162,0.053
"P10","Hacemos por nuestro país",0.01,0.1,0,0.06
"P10","Otro",0.017,0.035,0,0.064
"P10","En blanco",0.004,0.01,0.042,0.087
"P10","No sabe",0.012,0.007,0.036,0.041
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.205,0.065,0.595,0.722
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.665,0.197,0.05,0.046
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.087,0.659,0.054,0.053
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.005,0.06,0.158,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.032,0.009,0.056,0.078
"P13","En blanco",0.002,0,0.053,0.088
"P13","No sabe",0.004,0.01,0.034,0.013
"P16","Union por la Patria",0.215,0.14,0.577,0.589
"P16","Cambiemos",0.661,0.293,0.051,0.195
"P16","Liberales",0.077,0.449,0.096,0.035
"P16","Izquierda",0.017,0.069,0.215,0
"P16","No sabe",0.03,0.049,0.061,0.181
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.178,0.153,0.554,0.506
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.64,0.308,0.037,0.146
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.091,0.42,0.085,0.052
"P17","La candidata a Jefe de Gobierno de la izquierda",0.032,0.027,0.191,0.057
"P17","En blanco",0.039,0.056,0.094,0.103
"P17","No sabe",0.02,0.036,0.039,0.136
"P26","Totalmente seguro",0.687,0.679,0.704,0.667
"P26","Bastante seguro",0.156,0.173,0.078,0.142
"P26","Algo seguro",0.11,0.076,0.16,0.061
"P26","Para nada seguro",0.047,0.072,0.058,0.13
"P27","Tiene Decidido que va a ir a votar",0.95,0.916,0.835,0.853
"P27","Tiene dudas sobre si va a ir a  votar",0.034,0.072,0.078,0.106
"P27","Tiene Decidido que no va a ir a votar",0.016,0.012,0.087,0.041
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.347,0.11,0.66,0.693
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.629,0.444,0.087,0.055
"P28","En blanco",0.015,0.292,0.237,0.027
"P28","No sabe",0.009,0.154,0.016,0.225
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.398,0.114,0.589,0.621
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.187,0.721,0.098,0.055
"P30","En blanco",0.27,0.087,0.307,0.118
"P30","No sabe",0.145,0.078,0.006,0.206
"P38","Inflación",0.314,0.423,0.407,0.448
"P38","Desempleo",0.067,0.038,0.088,0.249
"P38","Corrupción",0.406,0.389,0.131,0.042
"P38","Inseguridad",0.1,0.096,0.146,0.088
"P38","Precio del dólar",0.004,0,0,0.009
"P38","Pobreza",0.059,0.042,0.079,0.083
"P38","Narcotráfico",0.01,0,0,0
"P38","Tarifas",0,0,0.016,0.012
"P38","Otro",0.032,0.01,0.133,0.049
"P38","No sabe",0.008,0.002,0,0.02
"P10_imputada","Unión por la Patria",0.225,0.125,0.529,0.588
"P10_imputada","Juntos por el Cambio",0.641,0.193,0.178,0.075
"P10_imputada","De los liberales libertarios",0.082,0.504,0.089,0.068
"P10_imputada","De la Izquierda",0.009,0.033,0.162,0.053
"P10_imputada","Hacemos por nuestro país",0.022,0.1,0,0.06
"P10_imputada","Otro",0.017,0.035,0,0.064
"P10_imputada","En blanco",0.004,0.01,0.042,0.092
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.205,0.065,0.611,0.722
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.669,0.207,0.05,0.059
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.087,0.659,0.072,0.053
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.005,0.06,0.158,0
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.032,0.009,0.056,0.078
"P13_imputada","En blanco",0.002,0,0.053,0.088
"P16_imputada","Union por la Patria",0.223,0.14,0.577,0.698
"P16_imputada","Cambiemos",0.68,0.293,0.052,0.242
"P16_imputada","Liberales",0.077,0.498,0.156,0.06
"P16_imputada","Izquierda",0.02,0.069,0.215,0
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.178,0.153,0.569,0.53
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.642,0.336,0.037,0.166
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.091,0.428,0.085,0.122
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.041,0.027,0.213,0.056
"P17_imputada","En blanco",0.048,0.056,0.096,0.126
