"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","Los candidatos a Jefe de Gobierno de la izquierda","En blanco"
"P26","Totalmente seguro",0.715,0.739,0.628,0.62,0.237
"P26","Bastante seguro",0.152,0.133,0.192,0.119,0.284
"P26","Algo seguro",0.085,0.096,0.123,0,0.251
"P26","Para nada seguro",0.048,0.032,0.057,0.261,0.228
"P27","Tiene Decidido que va a ir a votar",0.959,0.957,0.887,0.802,0.666
"P27","Tiene dudas sobre si va a ir a  votar",0.038,0.016,0.094,0.096,0.214
"P27","Tiene Decidido que no va a ir a votar",0.003,0.027,0.019,0.102,0.12
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.754,0.148,0.222,0.528,0.301
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.129,0.779,0.335,0.127,0.259
"P28","En blanco",0.061,0.033,0.253,0.258,0.306
"P28","No sabe",0.056,0.04,0.19,0.087,0.134
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.335,0.776,0.282,0.307,0.376
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.121,0.171,0.558,0.086,0.184
"P29","En blanco",0.348,0.014,0.086,0.523,0.245
"P29","No sabe",0.196,0.039,0.074,0.084,0.195
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.74,0.216,0.263,0.474,0.258
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.102,0.304,0.647,0.126,0.216
"P30","En blanco",0.13,0.295,0.08,0.333,0.361
"P30","No sabe",0.028,0.185,0.01,0.067,0.165
"P38","Inflación",0.481,0.288,0.335,0.354,0.454
"P38","Desempleo",0.112,0.069,0.072,0.075,0.018
"P38","Corrupción",0.152,0.457,0.334,0.232,0.214
"P38","Inseguridad",0.08,0.11,0.059,0.18,0.309
"P38","Precio del dólar",0.003,0.004,0,0,0
"P38","Pobreza",0.067,0.03,0.173,0.051,0
"P38","Narcotráfico",0.003,0.005,0.016,0,0
"P38","Tarifas",0.008,0,0,0,0
"P38","Otro",0.079,0.032,0.011,0.108,0.005
"P38","No sabe",0.015,0.005,0,0,0
