"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.366,0.353,0.377,0.34,0.451,0.368,0.261,0.178,0.393,0.414,0.481,0.281,0.368,0.366,0.441,0.272,0.467,0.313
"Desempleo",0.082,0.1,0.069,0.162,0.069,0.067,0.053,0.323,0.047,0.022,0.093,0.073,0.173,0.157,0.23,0.059,0.049,0.055
"Corrupción",0.322,0.309,0.331,0.202,0.224,0.441,0.442,0.224,0.368,0.326,0.148,0.444,0.196,0.154,0.073,0.505,0.236,0.503
"Inseguridad",0.105,0.108,0.103,0.126,0.135,0.065,0.084,0.155,0.097,0.093,0.082,0.111,0.101,0.073,0.015,0.104,0.16,0.065
"Precio del dólar",0.003,0.002,0.003,0,0.003,0,0.008,0.011,0,0.002,0.003,0.003,0,0.005,0,0.006,0,0
"Pobreza",0.061,0.055,0.066,0.144,0.061,0.037,0.02,0.074,0.039,0.071,0.119,0.046,0.024,0.154,0.123,0.026,0,0.064
"Narcotráfico",0.005,0.012,0,0,0.006,0,0.013,0,0.01,0.004,0.003,0.008,0,0.005,0,0.014,0,0
"Tarifas",0.004,0.003,0.004,0,0,0.008,0.008,0,0.004,0.005,0.009,0,0.029,0.013,0,0,0,0
"Otro",0.045,0.053,0.039,0.026,0.039,0.012,0.102,0.026,0.042,0.053,0.052,0.03,0.109,0.062,0.078,0.014,0.076,0
"No sabe",0.007,0.005,0.008,0,0.012,0.002,0.009,0.009,0,0.01,0.01,0.004,0,0.011,0.04,0,0.012,0
