"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.649,0.064,0.065,0.053
"P10","Juntos por el Cambio",0.153,0.764,0.071,0.007
"P10","De los liberales libertarios",0.098,0.113,0.544,0.456
"P10","De la Izquierda",0.057,0.007,0.133,0.102
"P10","Hacemos por nuestro país",0.011,0.022,0.049,0.165
"P10","Otro",0.03,0.006,0.007,0.094
"P10","En blanco",0,0.01,0.075,0.077
"P10","No sabe",0.002,0.014,0.056,0.046
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.69,0.037,0.012,0.081
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.161,0.773,0.01,0.007
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.084,0.138,0.694,0.53
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.037,0.015,0.11,0.163
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.019,0.081,0.096
"P13","En blanco",0,0.002,0.093,0.077
"P13","No sabe",0.001,0.016,0,0.046
"P16","Union por la Patria",0.648,0.072,0.14,0.179
"P16","Cambiemos",0.18,0.795,0.022,0.153
"P16","Liberales",0.102,0.079,0.57,0.319
"P16","Izquierda",0.047,0.03,0.152,0.087
"P16","No sabe",0.023,0.024,0.116,0.262
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.552,0.075,0.137,0.187
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.181,0.739,0.077,0.194
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.097,0.128,0.395,0.36
"P17","La candidata a Jefe de Gobierno de la izquierda",0.073,0.015,0.142,0.066
"P17","En blanco",0.046,0.038,0.175,0.102
"P17","No sabe",0.051,0.005,0.074,0.091
"P26","Totalmente seguro",0.654,0.711,0.681,0.555
"P26","Bastante seguro",0.148,0.164,0.07,0.218
"P26","Algo seguro",0.136,0.084,0.117,0.149
"P26","Para nada seguro",0.062,0.041,0.132,0.078
"P27","Tiene Decidido que va a ir a votar",0.962,0.895,0.884,0.916
"P27","Tiene dudas sobre si va a ir a  votar",0.028,0.075,0.013,0.084
"P27","Tiene Decidido que no va a ir a votar",0.01,0.03,0.103,0
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.466,0.728,0.066,0.069
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.226,0.566,0.545
"P29","En blanco",0.293,0.034,0.345,0.042
"P29","No sabe",0.176,0.012,0.023,0.344
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.797,0.161,0.002,0.083
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.323,0.762,0.617
"P30","En blanco",0.1,0.333,0.236,0.159
"P30","No sabe",0.06,0.183,0,0.141
"P38","Inflación",0.4,0.344,0.234,0.504
"P38","Desempleo",0.182,0.015,0,0.05
"P38","Corrupción",0.102,0.458,0.607,0.323
"P38","Inseguridad",0.106,0.098,0.146,0.085
"P38","Precio del dólar",0.002,0.004,0,0
"P38","Pobreza",0.116,0.032,0.013,0
"P38","Narcotráfico",0.003,0.01,0,0
"P38","Tarifas",0.009,0,0,0
"P38","Otro",0.069,0.038,0,0.009
"P38","No sabe",0.011,0.001,0,0.029
"P10_imputada","Unión por la Patria",0.65,0.064,0.065,0.053
"P10_imputada","Juntos por el Cambio",0.153,0.77,0.071,0.041
"P10_imputada","De los liberales libertarios",0.098,0.121,0.544,0.468
"P10_imputada","De la Izquierda",0.057,0.007,0.133,0.102
"P10_imputada","Hacemos por nuestro país",0.011,0.022,0.105,0.165
"P10_imputada","Otro",0.03,0.006,0.007,0.094
"P10_imputada","En blanco",0.001,0.01,0.075,0.077
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.69,0.037,0.012,0.115
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.162,0.784,0.01,0.018
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.084,0.144,0.694,0.53
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.037,0.015,0.11,0.163
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.018,0.081,0.096
"P13_imputada","En blanco",0,0.002,0.093,0.078
"P16_imputada","Union por la Patria",0.662,0.072,0.14,0.281
"P16_imputada","Cambiemos",0.189,0.81,0.044,0.189
"P16_imputada","Liberales",0.102,0.085,0.664,0.443
"P16_imputada","Izquierda",0.047,0.033,0.152,0.087
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.564,0.075,0.148,0.187
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.18,0.742,0.13,0.217
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.109,0.128,0.395,0.416
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.09,0.017,0.141,0.066
"P17_imputada","En blanco",0.057,0.038,0.186,0.114
