"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.685,0.703,0.661,0.513,0.607,0.429,0.08
"P26","Bastante seguro",0.141,0.147,0.171,0.2,0.142,0.3,0.365
"P26","Algo seguro",0.096,0.104,0.168,0.181,0,0.073,0.135
"P26","Para nada seguro",0.078,0.046,0,0.106,0.251,0.198,0.42
"P27","Tiene Decidido que va a ir a votar",0.986,0.916,0.905,0.777,0.968,0.567,0.513
"P27","Tiene dudas sobre si va a ir a  votar",0.011,0.045,0.075,0.053,0.032,0.333,0.3
"P27","Tiene Decidido que no va a ir a votar",0.003,0.039,0.02,0.17,0,0.1,0.187
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.854,0.134,0.19,0.439,0.1,0.503,0.023
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.105,0.839,0.292,0.073,0.261,0.129,0.227
"P28","En blanco",0.027,0.02,0.33,0.324,0.314,0.038,0.445
"P28","No sabe",0.014,0.007,0.188,0.164,0.325,0.33,0.305
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.397,0.802,0.238,0.1,0.289,0.385,0.093
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.097,0.106,0.64,0.168,0.565,0.345,0.113
"P29","En blanco",0.309,0.074,0.085,0.616,0,0,0.351
"P29","No sabe",0.197,0.018,0.037,0.116,0.146,0.27,0.443
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.854,0.199,0.176,0.271,0.094,0.205,0
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.036,0.228,0.733,0.281,0.775,0.303,0.066
"P30","En blanco",0.07,0.405,0.043,0.343,0,0,0.768
"P30","No sabe",0.04,0.168,0.048,0.105,0.131,0.492,0.166
"P38","Inflación",0.421,0.325,0.343,0.153,0.523,0.395,0.555
"P38","Desempleo",0.165,0.023,0.043,0.178,0,0.381,0.037
"P38","Corrupción",0.11,0.478,0.413,0.199,0.365,0.115,0.102
"P38","Inseguridad",0.107,0.093,0.089,0.287,0.062,0,0.246
"P38","Precio del dólar",0.003,0.005,0,0,0,0,0
"P38","Pobreza",0.1,0.029,0.091,0.066,0,0,0.06
"P38","Narcotráfico",0.003,0.006,0.013,0,0,0,0
"P38","Tarifas",0.012,0,0,0,0,0,0
"P38","Otro",0.07,0.04,0.008,0.079,0.05,0,0
"P38","No sabe",0.009,0.001,0,0.038,0,0.109,0
