"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.675,0.081,0.081,0.122,0,0,0.136
"P10","Juntos por el Cambio",0.171,0.843,0.085,0.055,0.21,0,0.05
"P10","De los liberales libertarios",0.092,0.047,0.666,0,0.092,0.286,0.093
"P10","De la Izquierda",0.019,0.004,0.026,0.639,0.131,0,0.033
"P10","Hacemos por nuestro país",0,0,0.089,0.058,0.313,0.019,0
"P10","Otro",0.009,0.003,0,0.117,0.246,0.108,0
"P10","En blanco",0.025,0,0.003,0,0,0.509,0.234
"P10","No sabe",0.009,0.022,0.05,0.009,0.008,0.078,0.454
"P16","Union por la Patria",0.675,0.085,0.217,0.238,0,0.298,0.063
"P16","Cambiemos",0.23,0.807,0.205,0,0.494,0,0.262
"P16","Liberales",0.029,0.081,0.492,0,0.033,0.027,0
"P16","Izquierda",0.013,0,0.015,0.762,0.117,0.132,0.124
"P16","No sabe",0.053,0.027,0.071,0,0.356,0.543,0.551
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.652,0.055,0.165,0.237,0.019,0,0.187
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.124,0.823,0.198,0,0.305,0,0.257
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.044,0.079,0.536,0.026,0.073,0,0.123
"P17","La candidata a Jefe de Gobierno de la izquierda",0.063,0.003,0,0.602,0.089,0.094,0
"P17","En blanco",0.053,0.037,0.015,0.135,0.334,0.854,0.368
"P17","No sabe",0.064,0.003,0.086,0,0.18,0.052,0.065
"P26","Totalmente seguro",0.663,0.722,0.689,0.485,0.409,0.188,0.238
"P26","Bastante seguro",0.137,0.152,0.145,0.355,0.216,0.349,0
"P26","Algo seguro",0.112,0.096,0.114,0.037,0.299,0,0.376
"P26","Para nada seguro",0.088,0.03,0.052,0.123,0.076,0.463,0.386
"P27","Tiene Decidido que va a ir a votar",0.962,0.949,0.927,0.89,0.463,0.544,0.632
"P27","Tiene dudas sobre si va a ir a  votar",0.024,0.035,0.056,0,0.279,0.285,0.183
"P27","Tiene Decidido que no va a ir a votar",0.014,0.016,0.017,0.11,0.258,0.171,0.185
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.912,0.142,0.143,0.298,0.282,0,0.039
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.061,0.854,0.295,0.153,0.241,0.047,0.655
"P28","En blanco",0.005,0.003,0.373,0.277,0.267,0.615,0
"P28","No sabe",0.022,0.001,0.189,0.272,0.21,0.338,0.306
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.361,0.856,0.215,0.058,0.462,0.042,0.196
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.05,0.112,0.716,0.316,0.06,0,0.195
"P29","En blanco",0.347,0.021,0.044,0.626,0.266,0.492,0.498
"P29","No sabe",0.242,0.011,0.025,0,0.212,0.466,0.111
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.827,0.238,0.124,0.51,0.081,0,0
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.022,0.202,0.807,0.175,0.381,0.072,0.487
"P30","En blanco",0.114,0.36,0.044,0.315,0.121,0.928,0.229
"P30","No sabe",0.037,0.2,0.025,0,0.417,0,0.284
"P38","Inflación",0.453,0.309,0.327,0.353,0.317,0.585,0.397
"P38","Desempleo",0.171,0.052,0.037,0,0,0.041,0
"P38","Corrupción",0.093,0.481,0.44,0.092,0.349,0.04,0.278
"P38","Inseguridad",0.098,0.102,0.044,0.457,0.13,0.269,0
"P38","Precio del dólar",0.003,0.005,0,0,0,0,0
"P38","Pobreza",0.075,0.027,0.094,0.071,0,0.065,0.325
"P38","Narcotráfico",0.003,0.006,0.01,0,0,0,0
"P38","Tarifas",0.012,0,0,0,0,0,0
"P38","Otro",0.076,0.018,0.048,0.027,0.117,0,0
"P38","No sabe",0.016,0,0,0,0.087,0,0
