"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.652,0.714,0.693,0.485,0.409,0.188
"P26","Bastante seguro",0.135,0.149,0.143,0.355,0.216,0.349
"P26","Algo seguro",0.119,0.101,0.113,0.037,0.299,0
"P26","Para nada seguro",0.094,0.036,0.051,0.123,0.076,0.463
"P27","Tiene Decidido que va a ir a votar",0.962,0.945,0.917,0.89,0.463,0.544
"P27","Tiene dudas sobre si va a ir a  votar",0.024,0.034,0.066,0,0.279,0.285
"P27","Tiene Decidido que no va a ir a votar",0.014,0.021,0.017,0.11,0.258,0.171
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.903,0.141,0.142,0.298,0.282,0
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.061,0.853,0.304,0.153,0.241,0.047
"P28","En blanco",0.005,0.003,0.368,0.277,0.267,0.615
"P28","No sabe",0.031,0.003,0.186,0.272,0.21,0.338
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.358,0.849,0.212,0.058,0.462,0.042
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.05,0.116,0.705,0.316,0.06,0
"P29","En blanco",0.353,0.021,0.058,0.626,0.266,0.492
"P29","No sabe",0.239,0.014,0.025,0,0.212,0.466
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.82,0.235,0.122,0.51,0.081,0
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.021,0.205,0.81,0.175,0.381,0.072
"P30","En blanco",0.122,0.355,0.044,0.315,0.121,0.928
"P30","No sabe",0.037,0.205,0.024,0,0.417,0
"P38","Inflación",0.449,0.317,0.322,0.353,0.317,0.585
"P38","Desempleo",0.169,0.051,0.037,0,0,0.041
"P38","Corrupción",0.101,0.476,0.433,0.092,0.349,0.04
"P38","Inseguridad",0.097,0.1,0.043,0.457,0.13,0.269
"P38","Precio del dólar",0.003,0.005,0,0,0,0
"P38","Pobreza",0.075,0.027,0.108,0.071,0,0.065
"P38","Narcotráfico",0.003,0.006,0.009,0,0,0
"P38","Tarifas",0.012,0,0,0,0,0
"P38","Otro",0.076,0.018,0.048,0.027,0.117,0
"P38","No sabe",0.015,0,0,0,0.087,0
