"var","categoria","1","2","3","4","5","6","7","8","9"
"P19","No sabe",0.177,0.159,0.102,0.156,0.224,0.182,0.106,0.111,0.156
"P20","La votaría",0.139,0.189,0.145,0.161,0.192,0.255,0.421,0.386,0.366
"P20","Puede que la vote",0.101,0.131,0.183,0.184,0.217,0.28,0.263,0.275,0.229
"P20","Nunca la votaría",0.668,0.62,0.633,0.577,0.463,0.384,0.267,0.278,0.322
"P20","No sabe",0.092,0.06,0.039,0.078,0.128,0.081,0.049,0.061,0.083
"P21","Lo votaría",0.115,0.203,0.133,0.153,0.174,0.181,0.216,0.335,0.346
"P21","Puede que lo vote",0.106,0.129,0.149,0.114,0.181,0.203,0.303,0.202,0.198
"P21","Nunca lo votaría",0.676,0.575,0.685,0.635,0.52,0.529,0.439,0.384,0.367
"P21","No sabe",0.103,0.093,0.033,0.098,0.125,0.087,0.042,0.079,0.089
"P22","La votaría",0.083,0.114,0.093,0.095,0.11,0.128,0.164,0.129,0.158
"P22","Puede que la vote",0.127,0.137,0.124,0.176,0.224,0.311,0.315,0.3,0.251
"P22","Nunca la votaría",0.663,0.628,0.735,0.601,0.493,0.441,0.451,0.441,0.461
"P22","No sabe",0.127,0.121,0.048,0.128,0.173,0.12,0.07,0.13,0.13
"P23","Lo votaría",0.128,0.086,0.098,0.072,0.055,0.059,0.044,0.039,0.047
"P23","Puede que lo vote",0.288,0.28,0.33,0.222,0.159,0.105,0.099,0.092,0.098
"P23","Nunca lo votaría",0.477,0.516,0.508,0.585,0.673,0.731,0.826,0.833,0.776
"P23","No sabe",0.107,0.118,0.064,0.121,0.113,0.105,0.031,0.036,0.079
"P24","Lo votaría",0.05,0.07,0.023,0.062,0.043,0.066,0.05,0.038,0.048
"P24","Puede que lo vote",0.125,0.137,0.161,0.156,0.171,0.208,0.192,0.178,0.16
"P24","Nunca lo votaría",0.672,0.628,0.713,0.578,0.592,0.515,0.636,0.638,0.653
"P24","No sabe",0.153,0.165,0.103,0.204,0.194,0.211,0.122,0.146,0.139
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.141,0.18,0.162,0.174,0.189,0.24,0.326,0.286,0.298
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.077,0.069,0.105,0.119,0.143,0.203,0.17,0.131,0.107
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.083,0.087,0.026,0.052,0.039,0.02,0.015,0.029,0.049
