"var","categoria","1","2","3","4","5","6","7","8","9"
"P04","Tengo trabajo estable",0.414,0.305,0.368,0.362,0.388,0.422,0.561,0.414,0.344
"P04","Realizo changas o trabajos de vez en cuando",0.206,0.384,0.124,0.151,0.234,0.196,0.154,0.251,0.249
"P04","No tengo trabajo",0.196,0.183,0.385,0.17,0.211,0.19,0.139,0.151,0.217
"P04","Soy jubilado o pensionado",0.184,0.128,0.123,0.317,0.167,0.192,0.146,0.184,0.19
"P06","1",0.355,0.225,0.112,0.124,0.137,0.187,0.233,0.262,0.44
"P06","2",0.051,0.164,0.049,0.036,0.03,0.041,0.081,0.106,0.034
"P06","3",0.016,0.059,0.127,0.039,0.034,0.108,0.11,0.06,0.011
"P06","4",0.017,0.032,0.062,0.134,0.062,0.086,0.077,0.028,0.021
"P06","5",0.112,0.155,0.16,0.192,0.422,0.237,0.17,0.14,0.081
"P06","6",0.02,0.017,0.037,0.097,0.063,0.153,0.079,0.058,0.008
"P06","7",0.026,0.039,0.129,0.119,0.058,0.061,0.122,0.046,0.007
"P06","8",0.033,0.102,0.112,0.073,0.049,0.066,0.049,0.17,0.027
"P06","9",0.37,0.207,0.212,0.186,0.145,0.061,0.079,0.13,0.371
"P07","1",0.312,0.272,0.248,0.275,0.268,0.435,0.519,0.473,0.467
"P07","2",0.024,0.077,0.05,0.043,0.032,0.05,0.047,0.05,0.009
"P07","3",0.01,0.031,0.05,0.055,0.034,0.081,0.061,0.034,0.013
"P07","4",0.01,0.029,0.041,0.057,0.027,0.021,0.022,0.011,0.009
"P07","5",0.091,0.087,0.14,0.125,0.162,0.087,0.071,0.07,0.036
"P07","6",0.012,0.011,0.038,0.021,0.027,0.054,0.017,0.011,0.009
"P07","7",0.027,0.036,0.044,0.065,0.047,0.018,0.051,0.026,0.008
"P07","8",0.025,0.056,0.061,0.053,0.045,0.041,0.05,0.075,0.016
"P07","9",0.489,0.401,0.328,0.306,0.358,0.213,0.162,0.25,0.433
"P09","Del Frente de Todos y el peronismo",0.219,0.254,0.124,0.195,0.18,0.454,0.542,0.485,0.44
"P09","De Cambiemos",0.378,0.302,0.446,0.407,0.278,0.214,0.172,0.177,0.179
"P09","De los Liberales libertarios",0.203,0.213,0.268,0.171,0.155,0.102,0.092,0.111,0.112
"P09","De la Izquierda",0.02,0.041,0.009,0.027,0.027,0.02,0.044,0.054,0.069
"P09","No sabe",0.18,0.19,0.153,0.2,0.36,0.21,0.15,0.173,0.2
"P10","A Alberto Fernández",0.341,0.302,0.159,0.224,0.14,0.068,0.076,0.198,0.215
"P10","A Sergio Massa",0.245,0.218,0.138,0.267,0.26,0.257,0.152,0.099,0.18
"P10","A algún candidato del peronismo",0.194,0.221,0.339,0.129,0.214,0.13,0.196,0.081,0.151
"P10","A algún candidato del kirchnerismo",0.22,0.259,0.364,0.38,0.386,0.545,0.576,0.622,0.454
