"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.058,0.049,0.067,0.043,0.055,0.057,0.085,0.097,0.047,0.037,0.046,0.063,0.068,0.066,0.12,0.015,0.015,6
"Buena",0.144,0.124,0.163,0.09,0.141,0.169,0.178,0.165,0.139,0.131,0.138,0.135,0.137,0.153,0.28,0.058,0.076,6
"Ni buena ni mala",0.151,0.137,0.164,0.14,0.172,0.143,0.126,0.168,0.153,0.131,0.136,0.155,0.119,0.165,0.263,0.048,0.191,6
"Mala",0.131,0.13,0.131,0.134,0.133,0.122,0.136,0.133,0.132,0.128,0.126,0.131,0.192,0.128,0.168,0.101,0.171,6
"Muy mala",0.504,0.55,0.461,0.581,0.489,0.496,0.46,0.417,0.519,0.566,0.549,0.492,0.481,0.474,0.158,0.77,0.544,6
"No sabe",0.012,0.01,0.014,0.012,0.01,0.013,0.015,0.02,0.01,0.007,0.005,0.024,0.003,0.014,0.011,0.008,0.003,6
"Positiva",0.202,0.173,0.23,0.133,0.196,0.226,0.263,0.262,0.186,0.168,0.184,0.198,0.205,0.219,0.4,0.073,0.091,4
"Neutra",0.151,0.137,0.164,0.14,0.172,0.143,0.126,0.168,0.153,0.131,0.136,0.155,0.119,0.165,0.263,0.048,0.191,4
"Negativa",0.635,0.68,0.592,0.715,0.622,0.618,0.596,0.55,0.651,0.694,0.675,0.623,0.673,0.602,0.326,0.871,0.715,4
"No sabe",0.012,0.01,0.014,0.012,0.01,0.013,0.015,0.02,0.01,0.007,0.005,0.024,0.003,0.014,0.011,0.008,0.003,4
