"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P23","Nunca lo votaría",0.871,0.856,0.72,0.568,0.465,0.519
"P23","No sabe",0.033,0.04,0.085,0.039,0.05,0.266
"P24","Lo votaría",0.119,0.078,0.032,0.029,0.014,0.058
"P24","Puede que lo vote",0.294,0.279,0.179,0.106,0.065,0.072
"P24","Nunca lo votaría",0.488,0.524,0.603,0.754,0.86,0.385
"P24","No sabe",0.099,0.119,0.186,0.111,0.061,0.485
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.469,0.44,0.251,0.092,0.032,0.11
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.326,0.22,0.067,0.037,0.015,0.087
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.016,0.024,0.059,0.08,0.037,0.109
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.041,0.043,0.162,0.432,0.588,0.326
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.094,0.166,0.272,0.227,0.212,0.09
"P25","Otros candidatos",0.054,0.107,0.189,0.132,0.116,0.278
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.057,0.071,0.209,0.485,0.611,0.386
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.693,0.566,0.302,0.103,0.037,0.121
"P29","Javier Milei – José Luis Espert por los liberales",0.133,0.219,0.29,0.262,0.216,0.156
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.011,0.023,0.036,0.044,0.04
"P29","Otro candidato",0.113,0.133,0.176,0.114,0.092,0.297
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.701,0.525,0.182,0.077,0.064,0.089
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.09,0.078,0.173,0.316,0.39,0.268
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.129,0.238,0.34,0.287,0.23,0.123
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.007,0.007,0.031,0.054,0.066,0.073
"P31","Otro candidato",0.073,0.152,0.274,0.266,0.25,0.447
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.078,0.088,0.19,0.407,0.46,0.294
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.724,0.604,0.36,0.147,0.043,0.106
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.112,0.18,0.252,0.23,0.214,0.126
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.003,0.006,0.021,0.044,0.06,0.05
"P33","Otro candidato",0.083,0.122,0.177,0.172,0.223,0.424
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.208,0.185,0.206,0.334,0.367,0.238
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.562,0.416,0.191,0.154,0.146,0.057
"P35","Javier Milei – José Luis Espert por los liberales",0.142,0.26,0.332,0.272,0.222,0.107
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.006,0.02,0.042,0.055,0.07
"P35","Otro candidato",0.084,0.133,0.251,0.198,0.21,0.528
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.42,0.258,0.187,0.283,0.334,0.263
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.376,0.33,0.182,0.259,0.309,0.106
"P37","Javier Milei – José Luis Espert por los liberales",0.123,0.246,0.35,0.266,0.223,0.103
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.002,0.012,0.022,0.04,0.034,0.055
"P37","Otro candidato",0.079,0.154,0.259,0.152,0.1,0.473
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.094,0.073,0.212,0.49,0.63,0.309
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.781,0.715,0.462,0.248,0.115,0.144
"P38","No sabe",0.125,0.212,0.326,0.262,0.255,0.547
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.045,0.043,0.166,0.408,0.525,0.328
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.853,0.745,0.408,0.143,0.05,0.107
"P39","No sabe",0.102,0.212,0.426,0.449,0.425,0.565
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.06,0.073,0.176,0.473,0.528,0.278
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.815,0.759,0.532,0.253,0.116,0.12
"P40","No sabe",0.125,0.168,0.292,0.274,0.356,0.602
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.046,0.058,0.211,0.501,0.653,0.295
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.875,0.765,0.415,0.139,0.058,0.144
"P41","No sabe",0.079,0.177,0.374,0.36,0.289,0.561
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.053,0.077,0.192,0.475,0.554,0.286
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.858,0.762,0.377,0.124,0.056,0.093
"P42","No sabe",0.089,0.161,0.431,0.401,0.39,0.621
"P43","Muy buena",0.028,0.007,0.047,0.087,0.107,0.06
"P43","Buena",0.065,0.08,0.104,0.163,0.263,0.12
"P43","Ni buena ni mala",0.049,0.064,0.132,0.268,0.2,0.246
"P43","Mala",0.109,0.12,0.149,0.14,0.122,0.179
"P43","Muy mala",0.738,0.723,0.558,0.333,0.298,0.307
"P43","No sabe",0.011,0.006,0.01,0.009,0.01,0.088
"P44","Muy de acuerdo",0.098,0.102,0.127,0.24,0.265,0.101
"P44","De acuerdo",0.129,0.158,0.149,0.189,0.248,0.098
"P44","Ni de acuerdo ni en desacuerdo",0.297,0.297,0.35,0.314,0.226,0.3
"P44","En desacuerdo",0.178,0.172,0.147,0.12,0.087,0.09
"P44","Muy en desacuerdo",0.258,0.207,0.158,0.101,0.123,0.098
"P44","No sabe",0.04,0.064,0.069,0.036,0.051,0.313
"P45","Muy de acuerdo",0.067,0.051,0.123,0.229,0.222,0.156
"P45","De acuerdo",0.067,0.107,0.105,0.223,0.252,0.134
"P45","Ni de acuerdo ni en desacuerdo",0.284,0.302,0.317,0.231,0.216,0.335
"P45","En desacuerdo",0.214,0.197,0.157,0.108,0.089,0.053
"P45","Muy en desacuerdo",0.348,0.316,0.26,0.172,0.202,0.083
"P45","No sabe",0.02,0.027,0.038,0.037,0.019,0.239
"P46","Si",0.128,0.102,0.196,0.381,0.429,0.24
"P46","No",0.691,0.66,0.528,0.375,0.359,0.209
"P46","No sabe",0.181,0.238,0.276,0.244,0.212,0.551
"P47","Muy buena",0.056,0.019,0.076,0.117,0.115,0.165
"P47","Buena",0.086,0.087,0.13,0.199,0.267,0.1
"P47","Ni buena ni mala",0.092,0.086,0.143,0.228,0.189,0.281
"P47","Mala",0.153,0.133,0.131,0.148,0.126,0.079
"P47","Muy mala",0.612,0.673,0.511,0.307,0.302,0.284
"P47","No sabe",0.001,0.002,0.009,0.001,0.001,0.091
"P48","Muy buena",0.037,0.023,0.11,0.324,0.519,0.173
"P48","Buena",0.019,0.046,0.059,0.133,0.089,0.08
"P48","Ni buena ni mala",0.033,0.036,0.086,0.089,0.051,0.146
"P48","Mala",0.098,0.057,0.084,0.105,0.037,0.166
"P48","Muy mala",0.81,0.832,0.655,0.343,0.302,0.316
"P48","No sabe",0.003,0.006,0.006,0.006,0.002,0.119
"P49","Muy buena",0.475,0.214,0.126,0.085,0.049,0.044
"P49","Buena",0.244,0.386,0.183,0.078,0.039,0.067
"P49","Ni buena ni mala",0.117,0.175,0.311,0.12,0.032,0.236
"P49","Mala",0.05,0.09,0.178,0.39,0.104,0.123
"P49","Muy mala",0.106,0.131,0.198,0.317,0.775,0.253
"P49","No sabe",0.008,0.004,0.004,0.01,0.001,0.277
"P51","Muy buena",0.113,0.029,0.055,0.111,0.11,0.064
"P51","Buena",0.042,0.139,0.094,0.239,0.227,0.125
"P51","Ni buena ni mala",0.122,0.115,0.28,0.201,0.23,0.227
"P51","Mala",0.197,0.182,0.164,0.178,0.097,0.035
"P51","Muy mala",0.516,0.528,0.39,0.255,0.329,0.207
"P51","No sabe",0.01,0.007,0.017,0.016,0.007,0.342
"P52","Muy buena",0.603,0.425,0.283,0.136,0.06,0.033
"P52","Buena",0.173,0.288,0.19,0.132,0.079,0.121
"P52","Ni buena ni mala",0.101,0.147,0.262,0.107,0.091,0.138
"P52","Mala",0.047,0.056,0.129,0.283,0.048,0.082
"P52","Muy mala",0.07,0.081,0.116,0.327,0.715,0.106
"P52","No sabe",0.006,0.003,0.02,0.015,0.007,0.52
"P53","Muy buena",0.207,0.18,0.201,0.188,0.166,0.072
"P53","Buena",0.187,0.214,0.17,0.085,0.058,0.105
"P53","Ni buena ni mala",0.336,0.335,0.329,0.113,0.061,0.098
"P53","Mala",0.123,0.145,0.147,0.259,0.044,0.056
"P53","Muy mala",0.133,0.116,0.123,0.334,0.661,0.086
"P53","No sabe",0.014,0.01,0.03,0.021,0.01,0.583
"P54","Muy buena",0.591,0.259,0.122,0.034,0.027,0.04
"P54","Buena",0.22,0.461,0.242,0.077,0.023,0.063
"P54","Ni buena ni mala",0.094,0.176,0.352,0.151,0.047,0.282
"P54","Mala",0.03,0.058,0.162,0.401,0.059,0.093
"P54","Muy mala",0.059,0.044,0.1,0.332,0.839,0.092
"P54","No sabe",0.006,0.002,0.022,0.005,0.005,0.43
"P55","Muy buena",0.071,0.028,0.038,0.082,0.099,0.034
"P55","Buena",0.043,0.077,0.095,0.205,0.287,0.051
"P55","Ni buena ni mala",0.104,0.111,0.253,0.233,0.206,0.304
"P55","Mala",0.218,0.211,0.193,0.169,0.058,0.086
"P55","Muy mala",0.559,0.561,0.402,0.298,0.345,0.168
"P55","No sabe",0.005,0.012,0.019,0.013,0.005,0.357
"P56","Muy buena",0.228,0.161,0.084,0.041,0.033,0.064
"P56","Buena",0.269,0.269,0.175,0.122,0.067,0.042
"P56","Ni buena ni mala",0.311,0.35,0.455,0.406,0.247,0.137
"P56","Mala",0.069,0.093,0.087,0.252,0.175,0.065
"P56","Muy mala",0.08,0.083,0.103,0.118,0.416,0.024
"P56","No sabe",0.043,0.044,0.096,0.061,0.062,0.668
"P57","Muy buena",0.187,0.087,0.032,0.007,0.009,0.035
"P57","Buena",0.264,0.265,0.111,0.039,0.022,0.072
"P57","Ni buena ni mala",0.351,0.424,0.499,0.296,0.131,0.136
"P57","Mala",0.075,0.101,0.129,0.334,0.117,0.008
"P57","Muy mala",0.065,0.062,0.103,0.255,0.668,0.038
"P57","No sabe",0.058,0.061,0.126,0.069,0.053,0.711
