"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Otros candidatos"
"P04","Tengo trabajo estable",0.377,0.442,0.222,0.425,0.458,0.408
"P04","Realizo changas o trabajos de vez en cuando",0.192,0.141,0.308,0.215,0.24,0.211
"P04","No tengo trabajo",0.147,0.174,0.267,0.168,0.235,0.216
"P04","Soy jubilado o pensionado",0.284,0.243,0.203,0.192,0.067,0.165
"P05","1",0.407,0.308,0.352,0.191,0.387,0.238
"P05","2",0.074,0.051,0.065,0.051,0.073,0.059
"P05","3",0.076,0.087,0.027,0.028,0.095,0.047
"P05","4",0.091,0.101,0.026,0.042,0.067,0.074
"P05","5",0.191,0.244,0.155,0.135,0.186,0.31
"P05","6",0.029,0.045,0.039,0.081,0.021,0.054
"P05","7",0.034,0.044,0.055,0.135,0.025,0.058
"P05","8",0.024,0.017,0.056,0.088,0.042,0.03
"P05","9",0.074,0.103,0.225,0.249,0.104,0.13
"P06","1",0.167,0.173,0.407,0.454,0.119,0.23
"P06","2",0.041,0.03,0.081,0.074,0.036,0.037
"P06","3",0.031,0.039,0.021,0.069,0.026,0.039
"P06","4",0.036,0.048,0.045,0.052,0.031,0.064
"P06","5",0.167,0.24,0.143,0.15,0.172,0.309
"P06","6",0.051,0.081,0.017,0.026,0.045,0.059
"P06","7",0.08,0.08,0.015,0.023,0.064,0.049
"P06","8",0.074,0.065,0.031,0.024,0.093,0.044
"P06","9",0.353,0.244,0.24,0.128,0.414,0.169
"P07","1",0.228,0.269,0.427,0.594,0.201,0.338
"P07","2",0.023,0.046,0.028,0.037,0.027,0.03
"P07","3",0.028,0.037,0.017,0.029,0.028,0.024
"P07","4",0.02,0.026,0.012,0.015,0.025,0.021
"P07","5",0.111,0.11,0.05,0.051,0.118,0.128
"P07","6",0.013,0.025,0.021,0.008,0.02,0.028
"P07","7",0.053,0.04,0.025,0.016,0.048,0.028
"P07","8",0.045,0.059,0.003,0.015,0.064,0.042
"P07","9",0.479,0.388,0.417,0.235,0.469,0.361
"P09","Del Frente de Todos y el peronismo",0.039,0.052,0.632,0.803,0.022,0.086
"P09","De Cambiemos",0.788,0.626,0.077,0.036,0.082,0.21
"P09","De los Liberales libertarios",0.061,0.087,0.019,0.014,0.73,0.058
"P09","De la Izquierda",0.008,0.025,0.031,0.021,0.02,0.121
"P09","No sabe",0.104,0.21,0.241,0.126,0.146,0.525
"P10","A Alberto Fernández",0.066,0.229,0.639,0.12,0.059,0.153
"P10","A Sergio Massa",0.091,0.154,0.169,0.198,0.406,0.328
"P10","A algún candidato del peronismo",0.638,0.424,0.129,0.136,0.346,0.366
"P10","A algún candidato del kirchnerismo",0.205,0.193,0.063,0.546,0.189,0.153
"P11","A Alberto Fernández",0.08,0.17,0.571,0.081,0.011,0.122
"P11","A Sergio Massa",0.096,0.181,0.166,0.129,0.356,0.33
"P11","A algún candidato del peronismo",0.693,0.562,0.138,0.056,0.422,0.384
"P11","A Cristina Fernández de Kirchner",0.131,0.087,0.125,0.734,0.211,0.164
"P12","A Horacio Rodriguez Larreta",0.096,0.538,0.412,0.171,0.145,0.149
"P12","A Mauricio Macri",0.524,0.074,0.226,0.262,0.296,0.109
"P12","A Patricia Bullrich",0.344,0.192,0.082,0.101,0.419,0.478
"P12","A Facundo Manes",0.031,0.095,0.147,0.241,0.119,0.201
"P12","A Gerardo Morales",0.005,0.101,0.133,0.225,0.021,0.063
"P13","Seguro lo votaria",0.206,0.24,0.439,0.128,0.588,0.151
"P13","Quizás lo votaría",0.309,0.311,0.274,0.331,0.379,0.235
"P13","Nunca lo votaría",0.485,0.449,0.287,0.541,0.033,0.614
"P14","Lo votaría",0.717,0.227,0.048,0.024,0.136,0.074
"P14","Puede que lo vote",0.212,0.349,0.104,0.036,0.339,0.214
"P14","Nunca lo votaría",0.046,0.328,0.757,0.858,0.409,0.504
"P14","No sabe",0.025,0.096,0.091,0.082,0.116,0.208
"P15","Lo votaría",0.068,0.073,0.253,0.278,0.045,0.048
"P15","Puede que lo vote",0.059,0.121,0.247,0.4,0.087,0.179
"P15","Nunca lo votaría",0.836,0.722,0.347,0.199,0.809,0.572
"P15","No sabe",0.037,0.084,0.153,0.123,0.059,0.201
"P16","Lo votaría",0.013,0.032,0.67,0.228,0.012,0.038
"P16","Puede que lo vote",0.019,0.043,0.178,0.412,0.031,0.099
"P16","Nunca lo votaría",0.944,0.882,0.073,0.245,0.927,0.708
"P16","No sabe",0.024,0.043,0.079,0.115,0.03,0.155
"P17","La votaría",0.015,0.019,0.53,0.792,0.016,0.066
"P17","Puede que la vote",0.012,0.028,0.141,0.134,0.022,0.085
"P17","Nunca la votaría",0.957,0.918,0.225,0.042,0.941,0.717
"P17","No sabe",0.016,0.035,0.104,0.032,0.021,0.132
"P18","Lo votaría",0.233,0.48,0.056,0.056,0.054,0.037
"P18","Puede que lo vote",0.463,0.344,0.145,0.06,0.229,0.253
"P18","Nunca lo votaría",0.248,0.124,0.647,0.814,0.636,0.488
"P18","No sabe",0.056,0.052,0.152,0.07,0.081,0.222
"P19","Lo votaría",0.131,0.235,0.056,0.018,0.058,0.099
"P19","Puede que lo vote",0.367,0.399,0.11,0.104,0.223,0.24
"P19","Nunca lo votaría",0.392,0.22,0.61,0.729,0.582,0.411
"P19","No sabe",0.11,0.146,0.224,0.149,0.137,0.25
"P20","La votaría",0.593,0.294,0.05,0.018,0.277,0.183
