"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.428,0.386,0.46,0.427,0.381
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.173,0.239,0.279,0.218
"P04","No tengo trabajo",0.164,0.162,0.239,0.193,0.22
"P04","Soy jubilado o pensionado",0.212,0.279,0.062,0.101,0.181
"P05","1",0.199,0.378,0.389,0.176,0.241
"P05","2",0.053,0.069,0.075,0.042,0.06
"P05","3",0.036,0.083,0.092,0.018,0.046
"P05","4",0.049,0.093,0.066,0.026,0.068
"P05","5",0.162,0.209,0.166,0.163,0.243
"P05","6",0.08,0.032,0.026,0.053,0.056
"P05","7",0.141,0.031,0.035,0.09,0.06
"P05","8",0.075,0.024,0.045,0.105,0.046
"P05","9",0.205,0.081,0.106,0.327,0.18
"P06","1",0.431,0.176,0.116,0.378,0.279
"P06","2",0.07,0.031,0.04,0.108,0.044
"P06","3",0.073,0.023,0.03,0.092,0.041
"P06","4",0.057,0.037,0.04,0.036,0.052
"P06","5",0.163,0.186,0.157,0.191,0.266
"P06","6",0.029,0.063,0.036,0.078,0.048
"P06","7",0.026,0.084,0.068,0.008,0.039
"P06","8",0.024,0.069,0.106,0.012,0.043
"P06","9",0.127,0.331,0.407,0.097,0.188
"P07","1",0.574,0.226,0.197,0.612,0.395
"P07","2",0.033,0.029,0.027,0.068,0.03
"P07","3",0.035,0.03,0.025,0.005,0.026
"P07","4",0.019,0.023,0.026,0.011,0.016
"P07","5",0.064,0.112,0.114,0.047,0.095
"P07","6",0.013,0.021,0.021,0.001,0.018
"P07","7",0.019,0.049,0.051,0.009,0.03
"P07","8",0.022,0.049,0.073,0.011,0.028
"P07","9",0.221,0.461,0.466,0.236,0.362
"P09","Del Frente de Todos y el peronismo",0.758,0.048,0.033,0.3,0.311
"P09","De Cambiemos",0.066,0.731,0.127,0.035,0.18
"P09","De los Liberales libertarios",0.014,0.112,0.671,0.101,0.038
"P09","De la Izquierda",0.025,0.009,0.025,0.382,0.034
"P09","No sabe",0.137,0.1,0.144,0.182,0.437
"P10","A Alberto Fernández",0.151,0.228,0.223,0.115,0.224
"P10","A Sergio Massa",0.237,0.211,0.166,0.169,0.073
"P10","A algún candidato del peronismo",0.132,0.369,0.463,0.233,0.209
"P10","A algún candidato del kirchnerismo",0.48,0.192,0.148,0.483,0.494
"P11","A Alberto Fernández",0.111,0.156,0.204,0.124,0.178
"P11","A Sergio Massa",0.17,0.203,0.135,0.085,0.044
"P11","A algún candidato del peronismo",0.068,0.378,0.482,0.093,0.161
"P11","A Cristina Fernández de Kirchner",0.651,0.263,0.179,0.698,0.617
"P12","A Horacio Rodriguez Larreta",0.277,0.18,0.291,0.287,0.326
"P12","A Mauricio Macri",0.249,0.353,0.449,0.01,0.273
"P12","A Patricia Bullrich",0.146,0.391,0.168,0.205,0.094
"P12","A Facundo Manes",0.236,0.05,0.072,0.458,0.16
"P12","A Gerardo Morales",0.092,0.026,0.02,0.04,0.147
"P13","Seguro lo votaria",0.248,0.192,0.543,0.164,0.189
"P13","Quizás lo votaría",0.236,0.31,0.386,0.249,0.246
"P13","Nunca lo votaría",0.516,0.498,0.071,0.587,0.565
"P14","Lo votaría",0.036,0.531,0.176,0.043,0.089
"P14","Puede que lo vote",0.059,0.28,0.337,0.047,0.142
"P14","Nunca lo votaría",0.841,0.131,0.382,0.77,0.608
"P14","No sabe",0.064,0.058,0.105,0.14,0.161
"P15","Lo votaría",0.342,0.06,0.04,0.045,0.061
"P15","Puede que lo vote",0.414,0.069,0.108,0.229,0.199
"P15","Nunca lo votaría",0.153,0.828,0.799,0.554,0.545
"P15","No sabe",0.091,0.043,0.053,0.172,0.195
"P16","Lo votaría",0.27,0.024,0.016,0.095,0.136
"P16","Puede que lo vote",0.403,0.026,0.035,0.194,0.152
"P16","Nunca lo votaría",0.234,0.929,0.917,0.592,0.569
"P16","No sabe",0.093,0.021,0.032,0.119,0.143
"P17","La votaría",0.677,0.035,0.027,0.37,0.32
"P17","Puede que la vote",0.132,0.013,0.024,0.173,0.092
"P17","Nunca la votaría",0.152,0.939,0.929,0.369,0.485
"P17","No sabe",0.039,0.013,0.02,0.088,0.103
"P18","Lo votaría",0.074,0.281,0.083,0.062,0.083
"P18","Puede que lo vote",0.103,0.437,0.237,0.107,0.187
"P18","Nunca lo votaría",0.76,0.223,0.611,0.762,0.556
"P18","No sabe",0.063,0.059,0.069,0.069,0.174
"P19","Lo votaría",0.039,0.151,0.077,0.038,0.083
"P19","Puede que lo vote",0.141,0.392,0.229,0.16,0.167
"P19","Nunca lo votaría",0.678,0.341,0.565,0.638,0.509
"P19","No sabe",0.142,0.116,0.129,0.164,0.241
"P20","La votaría",0.036,0.617,0.22,0.027,0.053
"P20","Puede que la vote",0.058,0.268,0.339,0.06,0.143
"P20","Nunca la votaría",0.858,0.082,0.361,0.841,0.649
"P20","No sabe",0.048,0.033,0.08,0.072,0.155
"P21","Lo votaría",0.034,0.165,0.746,0.064,0.023
"P21","Puede que lo vote",0.065,0.279,0.172,0.117,0.13
"P21","Nunca lo votaría",0.846,0.477,0.054,0.739,0.681
"P21","No sabe",0.055,0.079,0.028,0.08,0.166
"P22","La votaría",0.03,0.275,0.107,0.024,0.041
"P22","Puede que la vote",0.061,0.397,0.225,0.09,0.127
"P22","Nunca la votaría",0.828,0.234,0.566,0.764,0.632
"P22","No sabe",0.081,0.094,0.102,0.122,0.2
"P23","Lo votaría",0.204,0.028,0.02,0.034,0.049
"P23","Puede que lo vote",0.454,0.056,0.048,0.212,0.198
"P23","Nunca lo votaría",0.258,0.873,0.885,0.657,0.599
"P23","No sabe",0.084,0.043,0.047,0.097,0.154
"P24","Lo votaría",0.036,0.076,0.03,0.008,0.046
"P24","Puede que lo vote",0.117,0.28,0.104,0.129,0.101
"P24","Nunca lo votaría",0.716,0.533,0.741,0.643,0.622
"P24","No sabe",0.131,0.111,0.125,0.22,0.231
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.034,0.559,0.076,0.034,0.083
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.051,0.204,0.059,0.055,0.125
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.093,0.01,0.013,0.03,0.111
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.745,0.03,0.025,0.428,0.29
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.01,0.09,0.795,0.047,0.025
"P25","Otros candidatos",0.067,0.107,0.032,0.406,0.366
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.827,0.038,0.025,0.383,0.362
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.052,0.731,0.085,0.023,0.106
"P29","Javier Milei – José Luis Espert por los liberales",0.02,0.13,0.856,0.03,0.04
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.015,0.005,0.005,0.476,0.022
"P29","Otro candidato",0.086,0.096,0.029,0.088,0.47
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.131,0.564,0.061,0.077,0.151
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.613,0.072,0.013,0.1,0.172
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.027,0.171,0.895,0.069,0.03
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0.006,0.004,0.708,0.022
"P31","Otro candidato",0.193,0.187,0.027,0.046,0.625
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.631,0.18,0.017,0.047,0.138
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.283,0.471,0.043,0.091,0.116
"P35","Javier Milei – José Luis Espert por los liberales",0.008,0.172,0.918,0.049,0.017
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.003,0.007,0.743,0.023
"P35","Otro candidato",0.07,0.174,0.015,0.07,0.706
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.467,0.297,0.043,0.163,0.277
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.428,0.321,0.046,0.232,0.223
"P37","Javier Milei – José Luis Espert por los liberales",0.022,0.186,0.891,0.041,0.016
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.005,0.006,0.524,0.019
"P37","Otro candidato",0.075,0.191,0.014,0.04,0.465
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.804,0.069,0.035,0.567,0.373
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.091,0.809,0.424,0.064,0.175
"P38","No sabe",0.105,0.122,0.541,0.369,0.452
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.698,0.031,0.045,0.358,0.261
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.089,0.747,0.36,0.077,0.201
"P39","No sabe",0.213,0.222,0.595,0.565,0.538
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.835,0.033,0.038,0.388,0.179
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.053,0.903,0.514,0.053,0.119
"P40","No sabe",0.112,0.064,0.448,0.559,0.702
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.838,0.032,0.038,0.587,0.381
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.074,0.781,0.401,0.079,0.199
"P41","No sabe",0.088,0.187,0.561,0.334,0.42
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.856,0.038,0.047,0.437,0.186
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.055,0.757,0.383,0.086,0.205
"P42","No sabe",0.089,0.205,0.57,0.477,0.609
"P43","Muy buena",0.154,0.01,0.012,0.046,0.065
"P43","Buena",0.355,0.063,0.037,0.136,0.113
"P43","Ni buena ni mala",0.27,0.038,0.068,0.333,0.253
"P43","Mala",0.149,0.102,0.087,0.257,0.19
"P43","Muy mala",0.06,0.783,0.785,0.21,0.354
"P43","No sabe",0.012,0.004,0.011,0.018,0.025
"P44","Muy de acuerdo",0.371,0.085,0.103,0.142,0.117
"P44","De acuerdo",0.302,0.129,0.117,0.148,0.168
"P44","Ni de acuerdo ni en desacuerdo",0.214,0.312,0.272,0.417,0.37
"P44","En desacuerdo",0.054,0.186,0.159,0.169,0.124
"P44","Muy en desacuerdo",0.024,0.23,0.28,0.056,0.113
"P44","No sabe",0.035,0.058,0.069,0.068,0.108
"P45","Muy de acuerdo",0.412,0.033,0.042,0.132,0.084
"P45","De acuerdo",0.363,0.065,0.048,0.152,0.159
"P45","Ni de acuerdo ni en desacuerdo",0.162,0.296,0.251,0.334,0.394
"P45","En desacuerdo",0.032,0.213,0.182,0.2,0.131
"P45","Muy en desacuerdo",0.015,0.365,0.436,0.141,0.159
"P45","No sabe",0.016,0.028,0.041,0.041,0.073
"P46","Si",0.685,0.068,0.058,0.232,0.23
"P46","No",0.109,0.719,0.762,0.374,0.36
"P46","No sabe",0.206,0.213,0.18,0.394,0.41
"P47","Muy buena",0.212,0.02,0.012,0.089,0.087
"P47","Buena",0.329,0.076,0.075,0.188,0.161
"P47","Ni buena ni mala",0.251,0.064,0.068,0.274,0.257
"P47","Mala",0.14,0.119,0.108,0.238,0.166
"P47","Muy mala",0.063,0.715,0.731,0.211,0.316
"P47","No sabe",0.005,0.006,0.006,0,0.013
"P48","Muy buena",0.582,0.019,0.011,0.383,0.299
"P48","Buena",0.185,0.015,0.013,0.113,0.064
"P48","Ni buena ni mala",0.093,0.016,0.045,0.139,0.116
"P48","Mala",0.065,0.065,0.062,0.133,0.109
"P48","Muy mala",0.073,0.879,0.864,0.222,0.385
"P48","No sabe",0.002,0.006,0.005,0.01,0.027
"P49","Muy buena",0.069,0.344,0.07,0.027,0.076
"P49","Buena",0.035,0.314,0.237,0.042,0.068
"P49","Ni buena ni mala",0.062,0.184,0.241,0.057,0.15
"P49","Mala",0.221,0.053,0.195,0.152,0.202
"P49","Muy mala",0.598,0.101,0.247,0.694,0.47
"P49","No sabe",0.015,0.004,0.01,0.028,0.034
"P50","Muy buena",0.04,0.287,0.074,0.014,0.064
"P50","Buena",0.068,0.365,0.181,0.041,0.142
"P50","Ni buena ni mala",0.16,0.237,0.276,0.15,0.225
"P50","Mala",0.238,0.067,0.174,0.223,0.152
"P50","Muy mala",0.455,0.033,0.273,0.514,0.332
"P50","No sabe",0.039,0.011,0.022,0.058,0.085
"P51","Muy buena",0.22,0.03,0.023,0.099,0.035
"P51","Buena",0.407,0.049,0.039,0.084,0.119
"P51","Ni buena ni mala",0.263,0.106,0.148,0.375,0.311
"P51","Mala",0.056,0.196,0.162,0.201,0.193
"P51","Muy mala",0.045,0.607,0.609,0.204,0.279
"P51","No sabe",0.009,0.012,0.019,0.037,0.063
"P52","Muy buena",0.051,0.587,0.224,0.015,0.058
"P52","Buena",0.066,0.237,0.275,0.025,0.086
"P52","Ni buena ni mala",0.105,0.073,0.247,0.075,0.239
"P52","Mala",0.169,0.035,0.103,0.129,0.141
"P52","Muy mala",0.588,0.06,0.13,0.673,0.405
"P52","No sabe",0.021,0.008,0.021,0.083,0.071
"P53","Muy buena",0.029,0.136,0.616,0.033,0.019
"P53","Buena",0.04,0.21,0.234,0.022,0.048
"P53","Ni buena ni mala",0.107,0.367,0.11,0.057,0.269
"P53","Mala",0.178,0.146,0.02,0.166,0.154
"P53","Muy mala",0.604,0.123,0.011,0.649,0.423
"P53","No sabe",0.042,0.018,0.009,0.073,0.087
"P54","Muy buena",0.034,0.389,0.112,0.007,0.053
"P54","Buena",0.044,0.358,0.224,0.037,0.101
"P54","Ni buena ni mala",0.088,0.17,0.243,0.126,0.213
"P54","Mala",0.193,0.046,0.166,0.169,0.155
"P54","Muy mala",0.62,0.032,0.24,0.631,0.412
"P54","No sabe",0.021,0.005,0.015,0.03,0.066
"P55","Muy buena",0.152,0.036,0.018,0.011,0.043
"P55","Buena",0.382,0.043,0.035,0.153,0.142
"P55","Ni buena ni mala",0.299,0.087,0.121,0.309,0.291
"P55","Mala",0.075,0.201,0.17,0.195,0.179
"P55","Muy mala",0.071,0.62,0.637,0.299,0.299
"P55","No sabe",0.021,0.013,0.019,0.033,0.046
"P56","Muy buena",0.042,0.144,0.11,0.052,0.084
"P56","Buena",0.116,0.26,0.138,0.066,0.109
"P56","Ni buena ni mala",0.378,0.333,0.32,0.259,0.35
"P56","Mala",0.182,0.096,0.128,0.158,0.135
"P56","Muy mala",0.184,0.121,0.24,0.32,0.174
"P56","No sabe",0.098,0.046,0.064,0.145,0.148
"P57","Muy buena",0.022,0.098,0.032,0.002,0.052
"P57","Buena",0.056,0.241,0.082,0.029,0.082
"P57","Ni buena ni mala",0.238,0.394,0.359,0.193,0.308
