"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.456,0.422,0.385
"P04","Realizo changas o trabajos de vez en cuando",0.178,0.164,0.242
"P04","No tengo trabajo",0.154,0.171,0.229
"P04","Soy jubilado o pensionado",0.212,0.243,0.144
"P05","1",0.168,0.368,0.314
"P05","2",0.051,0.076,0.062
"P05","3",0.029,0.099,0.065
"P05","4",0.05,0.093,0.059
"P05","5",0.164,0.202,0.212
"P05","6",0.079,0.032,0.046
"P05","7",0.144,0.032,0.051
"P05","8",0.094,0.025,0.039
"P05","9",0.221,0.073,0.152
"P06","1",0.427,0.151,0.217
"P06","2",0.076,0.034,0.037
"P06","3",0.069,0.028,0.047
"P06","4",0.056,0.036,0.05
"P06","5",0.168,0.194,0.191
"P06","6",0.029,0.069,0.047
"P06","7",0.026,0.09,0.053
"P06","8",0.03,0.083,0.06
"P06","9",0.119,0.315,0.298
"P07","1",0.598,0.227,0.291
"P07","2",0.034,0.031,0.028
"P07","3",0.03,0.026,0.03
"P07","4",0.017,0.025,0.026
"P07","5",0.063,0.125,0.096
"P07","6",0.013,0.021,0.025
"P07","7",0.022,0.054,0.038
"P07","8",0.016,0.057,0.049
"P07","9",0.207,0.434,0.417
"P09","Del Frente de Todos y el peronismo",0.773,0.037,0.169
"P09","De Cambiemos",0.035,0.646,0.19
"P09","De los Liberales libertarios",0.038,0.2,0.312
"P09","De la Izquierda",0.036,0.013,0.059
"P09","No sabe",0.118,0.104,0.27
"P10","A Alberto Fernández",0.151,0.21,0.217
"P10","A Sergio Massa",0.22,0.119,0.1
"P10","A algún candidato del peronismo",0.127,0.517,0.246
"P10","A algún candidato del kirchnerismo",0.502,0.154,0.437
"P11","A Alberto Fernández",0.094,0.152,0.194
"P11","A Sergio Massa",0.154,0.127,0.074
"P11","A algún candidato del peronismo",0.061,0.608,0.189
"P11","A Cristina Fernández de Kirchner",0.691,0.113,0.543
"P12","A Horacio Rodriguez Larreta",0.333,0.225,0.073
"P12","A Mauricio Macri",0.195,0.332,0.428
"P12","A Patricia Bullrich",0.04,0.343,0.359
"P12","A Facundo Manes",0.273,0.065,0.089
"P12","A Gerardo Morales",0.159,0.035,0.051
"P13","Seguro lo votaria",0.201,0.22,0.17
"P13","Quizás lo votaría",0.267,0.299,0.313
"P13","Nunca lo votaría",0.532,0.481,0.517
"P14","Lo votaría",0.026,0.472,0.171
"P14","Puede que lo vote",0.045,0.311,0.22
"P14","Nunca lo votaría",0.855,0.162,0.475
"P14","No sabe",0.074,0.055,0.134
"P15","Lo votaría",0.32,0.048,0.057
"P15","Puede que lo vote",0.417,0.061,0.129
"P15","Nunca lo votaría",0.167,0.853,0.694
"P15","No sabe",0.096,0.038,0.12
"P16","Lo votaría",0.252,0.012,0.082
"P16","Puede que lo vote",0.395,0.014,0.102
"P16","Nunca lo votaría",0.247,0.954,0.743
"P16","No sabe",0.106,0.02,0.073
"P17","La votaría",0.697,0.01,0.173
"P17","Puede que la vote",0.135,0.011,0.062
"P17","Nunca la votaría",0.127,0.966,0.715
"P17","No sabe",0.041,0.013,0.05
"P18","Lo votaría",0.054,0.32,0.029
"P18","Puede que lo vote",0.071,0.468,0.183
"P18","Nunca lo votaría",0.819,0.178,0.648
"P18","No sabe",0.056,0.034,0.14
"P19","Lo votaría",0.027,0.184,0.05
"P19","Puede que lo vote",0.126,0.416,0.181
"P19","Nunca lo votaría",0.714,0.3,0.589
"P19","No sabe",0.133,0.1,0.18
"P20","La votaría",0.024,0.532,0.218
"P20","Puede que la vote",0.046,0.291,0.219
"P20","Nunca la votaría",0.892,0.14,0.467
"P20","No sabe",0.038,0.037,0.096
"P21","Lo votaría",0.053,0.257,0.33
"P21","Puede que lo vote",0.061,0.271,0.143
"P21","Nunca lo votaría",0.84,0.421,0.426
"P21","No sabe",0.046,0.051,0.101
"P22","La votaría",0.026,0.249,0.086
"P22","Puede que la vote",0.048,0.398,0.174
"P22","Nunca la votaría",0.857,0.266,0.611
"P22","No sabe",0.069,0.087,0.129
"P23","Lo votaría",0.187,0.023,0.041
"P23","Puede que lo vote",0.474,0.045,0.113
"P23","Nunca lo votaría",0.263,0.907,0.758
"P23","No sabe",0.076,0.025,0.088
"P24","Lo votaría",0.022,0.099,0.016
"P24","Puede que lo vote",0.104,0.283,0.099
"P24","Nunca lo votaría",0.76,0.514,0.717
"P24","No sabe",0.114,0.104,0.168
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.012,0.445,0.169
