"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.402,0.429,0.47,0.394,0.353
"P04","Realizo changas o trabajos de vez en cuando",0.199,0.175,0.226,0.245,0.193
"P04","No tengo trabajo",0.148,0.167,0.227,0.261,0.214
"P04","Soy jubilado o pensionado",0.251,0.229,0.077,0.1,0.24
"P05","1",0.268,0.262,0.393,0.114,0.306
"P05","2",0.058,0.061,0.07,0.052,0.064
"P05","3",0.052,0.053,0.098,0.029,0.062
"P05","4",0.059,0.066,0.08,0.03,0.08
"P05","5",0.172,0.19,0.175,0.159,0.269
"P05","6",0.067,0.058,0.023,0.048,0.044
"P05","7",0.11,0.077,0.024,0.108,0.045
"P05","8",0.061,0.047,0.044,0.08,0.028
"P05","9",0.153,0.186,0.093,0.38,0.102
"P06","1",0.345,0.321,0.111,0.33,0.195
"P06","2",0.072,0.042,0.037,0.078,0.036
"P06","3",0.049,0.049,0.033,0.065,0.035
"P06","4",0.047,0.046,0.034,0.064,0.061
"P06","5",0.158,0.183,0.145,0.246,0.281
"P06","6",0.049,0.049,0.04,0.055,0.048
"P06","7",0.047,0.05,0.079,0.021,0.059
"P06","8",0.051,0.048,0.099,0.032,0.041
"P06","9",0.182,0.212,0.422,0.109,0.244
"P07","1",0.442,0.422,0.197,0.614,0.266
"P07","2",0.029,0.038,0.027,0.071,0.027
"P07","3",0.035,0.024,0.024,0.022,0.031
"P07","4",0.018,0.021,0.025,0.024,0.026
"P07","5",0.082,0.086,0.115,0.035,0.113
"P07","6",0.019,0.017,0.02,0.004,0.021
"P07","7",0.032,0.024,0.056,0.025,0.046
"P07","8",0.03,0.029,0.069,0.006,0.05
"P07","9",0.313,0.339,0.467,0.199,0.42
"P09","Del Frente de Todos y el peronismo",0.461,0.46,0.024,0.094,0.142
"P09","De Cambiemos",0.366,0.377,0.178,0.054,0.352
"P09","De los Liberales libertarios",0.031,0.027,0.658,0.071,0.048
"P09","De la Izquierda",0.014,0.016,0.022,0.588,0.031
"P09","No sabe",0.128,0.12,0.118,0.193,0.427
"P10","A Alberto Fernández",0.182,0.12,0.351,0.398,0.342
"P10","A Sergio Massa",0.195,0.203,0.076,0.057,0.192
"P10","A algún candidato del peronismo",0.145,0.145,0.528,0.119,0.341
"P10","A algún candidato del kirchnerismo",0.478,0.532,0.045,0.426,0.125
"P11","A Alberto Fernández",0.111,0.11,0.309,0.139,0.246
"P11","A Sergio Massa",0.136,0.136,0.129,0.056,0.189
"P11","A algún candidato del peronismo",0.067,0.089,0.507,0.577,0.353
"P11","A Cristina Fernández de Kirchner",0.686,0.665,0.055,0.228,0.212
"P12","A Horacio Rodriguez Larreta",0.271,0.241,0.124,0.101,0.081
"P12","A Mauricio Macri",0.294,0.356,0.432,0.227,0.369
"P12","A Patricia Bullrich",0.284,0.286,0.396,0.079,0.425
"P12","A Facundo Manes",0.081,0.076,0.033,0.593,0.093
"P12","A Gerardo Morales",0.07,0.041,0.015,0,0.032
"P13","Seguro lo votaria",0.189,0.194,0.454,0.657,0.105
"P13","Quizás lo votaría",0.301,0.309,0.442,0.065,0.23
"P13","Nunca lo votaría",0.51,0.497,0.104,0.278,0.665
"P14","Lo votaría",0.237,0.25,0.237,0.045,0.251
"P14","Puede que lo vote",0.132,0.174,0.338,0.055,0.175
"P14","Nunca lo votaría",0.567,0.522,0.334,0.667,0.4
"P14","No sabe",0.064,0.054,0.091,0.233,0.174
"P15","Lo votaría",0.203,0.163,0.049,0.035,0.075
"P15","Puede que lo vote",0.25,0.253,0.078,0.239,0.152
"P15","Nunca lo votaría",0.458,0.502,0.834,0.583,0.615
"P15","No sabe",0.089,0.082,0.039,0.143,0.158
"P16","Lo votaría",0.168,0.16,0.017,0.069,0.061
"P16","Puede que lo vote",0.233,0.217,0.028,0.219,0.09
"P16","Nunca lo votaría",0.528,0.557,0.93,0.598,0.736
"P16","No sabe",0.071,0.066,0.025,0.114,0.113
"P17","La votaría",0.457,0.421,0.012,0.161,0.066
