"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Facundo Manes","Muy buena",0.098,0.095,0.101,0.07,0.095,0.108,0.123,0.085,0.092,0.118,0.09,0.126,0.142,0.088,0.041,0.136,0.166
"Facundo Manes","Buena",0.166,0.179,0.154,0.123,0.132,0.197,0.25,0.159,0.161,0.179,0.158,0.161,0.16,0.176,0.107,0.236,0.17
"Facundo Manes","Ni buena ni mala",0.343,0.338,0.347,0.287,0.356,0.366,0.347,0.348,0.346,0.334,0.343,0.358,0.315,0.34,0.363,0.327,0.331
"Facundo Manes","Mala",0.133,0.121,0.145,0.162,0.13,0.125,0.117,0.108,0.14,0.148,0.119,0.099,0.137,0.158,0.197,0.102,0.048
"Facundo Manes","Muy mala",0.177,0.207,0.147,0.268,0.194,0.13,0.094,0.173,0.181,0.174,0.198,0.129,0.153,0.181,0.188,0.148,0.152
"Facundo Manes","No sabe",0.083,0.06,0.106,0.09,0.093,0.074,0.069,0.127,0.08,0.047,0.092,0.127,0.093,0.057,0.104,0.051,0.133
"Patricia Bullrich","Muy buena",0.266,0.25,0.281,0.225,0.216,0.298,0.38,0.231,0.268,0.295,0.294,0.248,0.253,0.251,0.065,0.499,0.163
"Patricia Bullrich","Buena",0.168,0.189,0.148,0.164,0.161,0.17,0.186,0.163,0.166,0.174,0.16,0.18,0.146,0.172,0.063,0.234,0.197
"Patricia Bullrich","Ni buena ni mala",0.145,0.158,0.133,0.184,0.161,0.129,0.087,0.181,0.137,0.123,0.148,0.179,0.149,0.128,0.126,0.129,0.224
"Patricia Bullrich","Mala",0.104,0.105,0.104,0.11,0.111,0.093,0.1,0.13,0.105,0.08,0.092,0.114,0.098,0.112,0.164,0.046,0.122
"Patricia Bullrich","Muy mala",0.29,0.282,0.297,0.285,0.312,0.298,0.233,0.249,0.298,0.317,0.278,0.224,0.346,0.319,0.546,0.084,0.278
"Patricia Bullrich","No sabe",0.027,0.016,0.037,0.032,0.039,0.012,0.014,0.046,0.026,0.011,0.028,0.055,0.008,0.018,0.036,0.008,0.016
"Gerardo Morales","Muy buena",0.054,0.057,0.052,0.057,0.038,0.058,0.084,0.061,0.045,0.06,0.044,0.103,0.051,0.043,0.014,0.093,0.045
"Gerardo Morales","Buena",0.127,0.137,0.118,0.059,0.094,0.172,0.218,0.127,0.121,0.136,0.127,0.13,0.122,0.128,0.052,0.207,0.146
"Gerardo Morales","Ni buena ni mala",0.325,0.308,0.342,0.298,0.347,0.315,0.323,0.344,0.336,0.294,0.31,0.345,0.353,0.327,0.266,0.366,0.397
"Gerardo Morales","Mala",0.141,0.149,0.132,0.131,0.151,0.132,0.141,0.126,0.144,0.15,0.141,0.114,0.157,0.149,0.186,0.113,0.113
"Gerardo Morales","Muy mala",0.257,0.278,0.236,0.323,0.262,0.247,0.18,0.219,0.255,0.293,0.264,0.195,0.222,0.28,0.384,0.154,0.164
"Gerardo Morales","No sabe",0.096,0.071,0.12,0.132,0.108,0.076,0.054,0.123,0.099,0.067,0.114,0.113,0.095,0.073,0.098,0.067,0.135
"Horacio Rodriguez Larreta","Muy buena",0.133,0.108,0.157,0.107,0.105,0.142,0.212,0.133,0.123,0.146,0.124,0.155,0.124,0.132,0.038,0.236,0.11
"Horacio Rodriguez Larreta","Buena",0.202,0.206,0.199,0.155,0.179,0.232,0.269,0.176,0.206,0.221,0.198,0.222,0.214,0.197,0.079,0.328,0.243
"Horacio Rodriguez Larreta","Ni buena ni mala",0.22,0.212,0.228,0.194,0.248,0.217,0.193,0.246,0.217,0.2,0.241,0.211,0.24,0.203,0.176,0.243,0.249
"Horacio Rodriguez Larreta","Mala",0.153,0.155,0.15,0.185,0.156,0.141,0.124,0.149,0.163,0.143,0.148,0.146,0.156,0.159,0.221,0.086,0.158
"Horacio Rodriguez Larreta","Muy mala",0.257,0.288,0.228,0.316,0.274,0.238,0.179,0.238,0.261,0.271,0.251,0.199,0.251,0.288,0.449,0.093,0.205
"Horacio Rodriguez Larreta","No sabe",0.035,0.031,0.038,0.043,0.038,0.03,0.023,0.058,0.03,0.019,0.038,0.067,0.015,0.021,0.037,0.014,0.035
"Javier Milei","Muy buena",0.182,0.239,0.127,0.335,0.187,0.116,0.082,0.19,0.198,0.153,0.201,0.227,0.159,0.15,0.062,0.233,0.123
"Javier Milei","Buena",0.137,0.154,0.121,0.122,0.144,0.149,0.123,0.134,0.136,0.14,0.128,0.162,0.129,0.135,0.064,0.188,0.244
"Javier Milei","Ni buena ni mala",0.221,0.187,0.254,0.144,0.209,0.243,0.31,0.243,0.212,0.213,0.206,0.251,0.196,0.225,0.146,0.294,0.224
"Javier Milei","Mala",0.131,0.113,0.148,0.097,0.12,0.151,0.166,0.127,0.129,0.137,0.129,0.109,0.126,0.142,0.155,0.127,0.094
"Javier Milei","Muy mala",0.293,0.277,0.309,0.257,0.3,0.317,0.287,0.243,0.293,0.341,0.296,0.184,0.355,0.328,0.536,0.138,0.309
"Javier Milei","No sabe",0.036,0.03,0.041,0.045,0.04,0.024,0.032,0.063,0.032,0.016,0.04,0.067,0.035,0.02,0.037,0.02,0.006
"Maria Eugenia Vidal","Muy buena",0.172,0.157,0.186,0.147,0.142,0.19,0.242,0.18,0.163,0.176,0.173,0.211,0.181,0.153,0.038,0.307,0.165
"Maria Eugenia Vidal","Buena",0.195,0.19,0.201,0.143,0.181,0.217,0.261,0.182,0.193,0.212,0.214,0.221,0.145,0.176,0.062,0.319,0.233
"Maria Eugenia Vidal","Ni buena ni mala",0.17,0.176,0.163,0.189,0.177,0.158,0.145,0.188,0.164,0.159,0.176,0.178,0.184,0.158,0.104,0.198,0.165
"Maria Eugenia Vidal","Mala",0.131,0.138,0.124,0.151,0.136,0.119,0.113,0.137,0.136,0.118,0.13,0.105,0.111,0.145,0.187,0.069,0.103
"Maria Eugenia Vidal","Muy mala",0.31,0.319,0.301,0.339,0.34,0.301,0.22,0.275,0.324,0.323,0.284,0.236,0.365,0.355,0.583,0.095,0.32
"Maria Eugenia Vidal","No sabe",0.022,0.02,0.025,0.031,0.024,0.015,0.019,0.038,0.02,0.012,0.023,0.049,0.014,0.013,0.026,0.012,0.014
"Mauricio Macri","Muy buena",0.161,0.13,0.191,0.149,0.128,0.17,0.235,0.156,0.159,0.169,0.16,0.156,0.114,0.17,0.062,0.3,0.019
"Mauricio Macri","Buena",0.175,0.173,0.176,0.17,0.147,0.195,0.213,0.135,0.182,0.202,0.194,0.188,0.172,0.153,0.045,0.306,0.133
"Mauricio Macri","Ni buena ni mala",0.154,0.168,0.141,0.14,0.17,0.152,0.14,0.171,0.153,0.139,0.159,0.2,0.132,0.134,0.08,0.189,0.16
"Mauricio Macri","Mala",0.154,0.144,0.164,0.174,0.166,0.139,0.127,0.175,0.148,0.144,0.134,0.167,0.175,0.164,0.225,0.071,0.223
"Mauricio Macri","Muy mala",0.342,0.37,0.314,0.347,0.376,0.33,0.274,0.338,0.348,0.336,0.338,0.263,0.407,0.368,0.574,0.13,0.432
"Mauricio Macri","No sabe",0.014,0.015,0.014,0.02,0.013,0.014,0.011,0.025,0.01,0.01,0.015,0.026,0,0.011,0.014,0.004,0.033
"Sergio Massa","Muy buena",0.081,0.077,0.084,0.067,0.074,0.086,0.108,0.123,0.072,0.053,0.068,0.098,0.066,0.087,0.155,0.033,0.029
"Sergio Massa","Buena",0.154,0.14,0.167,0.122,0.152,0.179,0.159,0.158,0.159,0.142,0.134,0.153,0.177,0.167,0.301,0.052,0.116
"Sergio Massa","Ni buena ni mala",0.199,0.18,0.216,0.182,0.222,0.182,0.189,0.221,0.181,0.202,0.193,0.18,0.195,0.212,0.285,0.115,0.3
"Sergio Massa","Mala",0.152,0.152,0.153,0.141,0.144,0.147,0.192,0.142,0.153,0.163,0.156,0.144,0.188,0.148,0.11,0.175,0.237
"Sergio Massa","Muy mala",0.392,0.435,0.351,0.462,0.381,0.392,0.333,0.322,0.411,0.432,0.419,0.394,0.365,0.372,0.126,0.61,0.285
"Sergio Massa","No sabe",0.022,0.016,0.029,0.026,0.027,0.014,0.019,0.034,0.024,0.008,0.03,0.031,0.009,0.014,0.023,0.015,0.033
"Daniel Scioli","Muy buena",0.063,0.059,0.066,0.035,0.062,0.067,0.091,0.092,0.053,0.048,0.049,0.07,0.078,0.069,0.118,0.03,0.045
"Daniel Scioli","Buena",0.149,0.15,0.149,0.09,0.149,0.185,0.171,0.154,0.149,0.147,0.132,0.136,0.167,0.168,0.303,0.054,0.106
"Daniel Scioli","Ni buena ni mala",0.191,0.173,0.209,0.187,0.213,0.186,0.152,0.244,0.178,0.158,0.197,0.189,0.197,0.186,0.3,0.093,0.203
"Daniel Scioli","Mala",0.158,0.152,0.163,0.173,0.147,0.145,0.184,0.138,0.169,0.162,0.159,0.152,0.205,0.153,0.108,0.176,0.294
"Daniel Scioli","Muy mala",0.416,0.448,0.386,0.474,0.411,0.407,0.373,0.34,0.426,0.475,0.439,0.401,0.348,0.413,0.147,0.635,0.335
"Daniel Scioli","No sabe",0.023,0.018,0.027,0.041,0.018,0.01,0.029,0.032,0.025,0.01,0.024,0.052,0.005,0.011,0.024,0.012,0.017
"Alberto Fernandez","Muy buena",0.082,0.061,0.102,0.074,0.082,0.075,0.101,0.143,0.07,0.042,0.06,0.104,0.067,0.094,0.163,0.024,0.012
"Alberto Fernandez","Buena",0.16,0.153,0.167,0.107,0.16,0.181,0.192,0.201,0.155,0.13,0.148,0.16,0.162,0.17,0.279,0.076,0.119
