"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P08","En blanco",0,0.016,0.011,0,0.088,0.004,0.033,0,0.212
"P08","No sabe",0.043,0.107,0.081,0.02,0.044,0.018,0.176,0.426,0.53
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.598,0.233,0.057,0.148,0.136,0.061,0.185,0.119,0.015
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.082,0.1,0.37,0.016,0.047,0.076,0.043,0,0.038
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.007,0.371,0.032,0.009,0.007,0,0,0,0.005
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0,0.106,0.271,0,0,0,0.083,0,0
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.068,0.009,0.104,0.68,0.17,0.141,0.062,0.028,0.036
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.051,0.093,0.033,0.042,0.615,0.06,0,0.319,0.023
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.158,0.084,0.092,0.096,0.011,0.649,0,0.008,0.023
"P09","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.017,0.004,0,0,0.014,0,0.475,0.079,0.052
"P09","Otros",0,0,0,0,0,0.006,0,0.352,0.136
"P09","No sabe",0.019,0,0.041,0.009,0,0.007,0.152,0.095,0.672
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.708,0.33,0.094,0.119,0.067,0.109,0.157,0,0.024
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.095,0.497,0.077,0.03,0.006,0.016,0,0,0
"P15","Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.026,0.036,0.672,0.013,0.036,0.033,0,0,0.016
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.056,0.007,0.037,0.635,0.036,0.112,0.038,0.031,0.019
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.114,0.041,0.1,0.679,0.023,0,0.315,0.026
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.062,0.008,0.032,0.103,0.111,0.688,0,0,0.038
"P15","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0,0.004,0.002,0,0,0,0.762,0,0.012
"P15","Otros",0,0.004,0,0,0.013,0.009,0,0.335,0.061
"P15","No sabe",0.013,0,0.045,0,0.052,0.01,0.043,0.319,0.804
"P18","Lo votaría",0.827,0.37,0.177,0.156,0.028,0.309,0.241,0,0.046
"P18","Puede que lo vote",0.099,0.319,0.101,0.021,0.071,0.104,0,0.023,0.041
"P18","Nunca lo votaría",0.06,0.293,0.561,0.794,0.836,0.581,0.488,0.593,0.49
"P18","No sabe",0.014,0.018,0.161,0.029,0.065,0.006,0.271,0.384,0.423
"P19","Lo votaría",0.375,0.46,0.163,0.092,0.034,0.227,0.206,0,0.015
"P19","Puede que lo vote",0.303,0.14,0.199,0.058,0.04,0.091,0.267,0.008,0.034
"P19","Nunca lo votaría",0.243,0.386,0.544,0.807,0.897,0.656,0.527,0.599,0.589
"P19","No sabe",0.079,0.014,0.094,0.043,0.029,0.026,0,0.393,0.362
"P20","Lo votaría",0.472,0.216,0.452,0.097,0.046,0.219,0.171,0.15,0.049
"P20","Puede que lo vote",0.313,0.377,0.153,0.052,0.054,0.088,0.058,0.089,0.122
"P20","Nunca lo votaría",0.147,0.32,0.348,0.82,0.838,0.677,0.5,0.724,0.466
"P20","No sabe",0.068,0.087,0.047,0.031,0.062,0.016,0.271,0.037,0.363
"P21","Lo votaría",0.308,0.387,0.616,0.134,0.042,0.234,0.264,0,0.02
"P21","Puede que lo vote",0.204,0.106,0.105,0.034,0.022,0.044,0.236,0.076,0.077
"P21","Nunca lo votaría",0.363,0.315,0.222,0.8,0.911,0.66,0.5,0.724,0.495
"P21","No sabe",0.125,0.192,0.057,0.032,0.025,0.062,0,0.2,0.408
"P22","Lo votaría",0.406,0.293,0.735,0.108,0.042,0.261,0,0,0.019
"P22","Puede que lo vote",0.211,0.261,0.135,0.052,0.067,0.044,0.058,0.029,0.071
"P22","Nunca lo votaría",0.281,0.334,0.117,0.806,0.849,0.683,0.502,0.929,0.536
"P22","No sabe",0.102,0.112,0.013,0.034,0.042,0.012,0.44,0.042,0.374
"P23","Lo votaría",0.193,0.348,0.193,0.774,0.211,0.238,0,0.052,0.005
"P23","Puede que lo vote",0.104,0.039,0.118,0.07,0.343,0.329,0.082,0.25,0.124
"P23","Nunca lo votaría",0.677,0.394,0.675,0.139,0.381,0.377,0.918,0.698,0.364
"P23","No sabe",0.026,0.219,0.014,0.017,0.065,0.056,0,0,0.507
"P24","Lo votaría",0.174,0.299,0.106,0.341,0.655,0.262,0,0.457,0
"P24","Puede que lo vote",0.086,0.086,0.056,0.44,0.141,0.191,0.262,0.128,0.095
"P24","Nunca lo votaría",0.694,0.465,0.816,0.155,0.17,0.478,0.485,0.415,0.382
"P24","No sabe",0.046,0.15,0.022,0.064,0.034,0.069,0.253,0,0.523
"P25","Lo votaría",0.192,0.168,0.049,0.202,0.052,0.706,0,0,0
"P25","Puede que lo vote",0.034,0.313,0.051,0.384,0.073,0.141,0,0,0.044
"P25","Nunca lo votaría",0.703,0.386,0.877,0.357,0.847,0.127,1,0.957,0.479
"P25","No sabe",0.071,0.133,0.023,0.057,0.028,0.026,0,0.043,0.477
"P26","Si",0.536,0.469,0.609,0.322,0.278,0.391,0.154,0.074,0.069
"P26","No",0.464,0.531,0.391,0.678,0.722,0.609,0.846,0.926,0.931
