"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Unión por la Patria",0.33,0.361,0.301,0.278,0.369,0.338,0.326,0.35,0.309,0.342,0.365,0.31,0.302,0.569,0.078,0.232,0.086
"Juntos por el Cambio",0.289,0.277,0.301,0.281,0.22,0.368,0.422,0.29,0.257,0.357,0.271,0.303,0.304,0.135,0.718,0.34,0.201
"De los Liberales libertarios",0.107,0.149,0.067,0.14,0.1,0.096,0.059,0.095,0.105,0.133,0.069,0.127,0.14,0.076,0.12,0.131,0.251
"De la Izquierda",0.037,0.03,0.044,0.05,0.039,0.029,0.011,0.024,0.038,0.058,0.034,0.038,0.04,0.026,0.009,0,0.342
"Hacemos por nuestro país",0.034,0.037,0.031,0.046,0.037,0.006,0.033,0.044,0.036,0.011,0.035,0.027,0.035,0.011,0.022,0.016,0.009
"Otro.",0.051,0.051,0.052,0.049,0.064,0.041,0.033,0.023,0.082,0.036,0.048,0.058,0.052,0.033,0,0.018,0.075
"En blanco",0.034,0.02,0.046,0.03,0.034,0.033,0.042,0.053,0.029,0.009,0.028,0.046,0.034,0.015,0.017,0,0.009
"No sabe",0.118,0.075,0.158,0.126,0.137,0.089,0.074,0.121,0.144,0.054,0.15,0.091,0.093,0.135,0.036,0.263,0.027
