"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Si",0.391,0.439,0.344,0.434,0.377,0.371,0.358,0.42,0.385,0.355,0.409,0.372,0.38,0.489,0.329,0.25,0.307
"No",0.609,0.561,0.656,0.566,0.623,0.629,0.642,0.58,0.615,0.645,0.591,0.628,0.62,0.511,0.671,0.75,0.693
