"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.238,0.245,0.231,0.185,0.291,0.218,0.23,0.228,0.229,0.273,0.243,0.219,0.24,0.365,0.057,0.194,0.286
"Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.072,0.092,0.053,0.138,0.043,0.05,0.035,0.115,0.053,0.037,0.097,0.034,0.062,0.066,0.032,0.138,0.167
"Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.133,0.086,0.178,0.109,0.175,0.12,0.075,0.123,0.164,0.086,0.16,0.136,0.103,0.191,0.031,0.257,0.082
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.181,0.196,0.166,0.161,0.125,0.251,0.307,0.154,0.156,0.278,0.167,0.205,0.185,0.092,0.447,0.208,0.008
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.104,0.1,0.108,0.067,0.106,0.138,0.142,0.119,0.078,0.132,0.084,0.137,0.112,0.073,0.217,0.036,0.012
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.142,0.203,0.083,0.213,0.118,0.116,0.077,0.151,0.154,0.1,0.123,0.097,0.18,0.129,0.156,0.018,0.287
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.017,0.015,0.019,0.021,0.013,0.015,0.024,0.004,0.025,0.023,0.007,0.025,0.024,0.014,0.012,0,0.099
"Otros",0.033,0.013,0.052,0.04,0.041,0.011,0.02,0.024,0.044,0.027,0.053,0.014,0.02,0.014,0.023,0,0.059
"No sabe",0.08,0.05,0.11,0.066,0.088,0.081,0.09,0.082,0.097,0.044,0.066,0.133,0.074,0.056,0.025,0.149,0
