"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria","Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.109,0.095,0.446,0.024,0.033,0.036,0.045,0.027,0.023
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.019,0.222,0.035,0.016,0.06,0,0,0,0.004
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.011,0.152,0.257,0.006,0.003,0.007,0.098,0.017,0
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.088,0.067,0.031,0.758,0.17,0.093,0.028,0,0.068
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.022,0.211,0.036,0.019,0.508,0.104,0,0.124,0.062
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.096,0.089,0.084,0.059,0.07,0.696,0,0.081,0.017
"P09","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0,0.054,0,0.009,0.002,0.008,0.544,0.021,0.03
"P09","Otros",0,0,0,0,0,0.006,0,0.355,0.193
"P09","No sabe",0.015,0,0.055,0.008,0.008,0,0.246,0.375,0.556
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.662,0.293,0.055,0.084,0.074,0.096,0,0,0.034
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.092,0.461,0.023,0.003,0.063,0.004,0.021,0.017,0
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.05,0.135,0.812,0.031,0.043,0.028,0.019,0,0.068
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.087,0.071,0.022,0.736,0.144,0.123,0,0,0
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.028,0.009,0.034,0.024,0.557,0.076,0,0.076,0.062
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.063,0.031,0.043,0.103,0.026,0.654,0,0.067,0.017
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.011,0,0,0.004,0,0,0.899,0,0.008
"P12","Otros",0,0,0,0.006,0.078,0,0,0.583,0.115
"P12","No sabe",0.007,0,0.011,0.009,0.015,0.019,0.061,0.257,0.696
"P18","Lo votaría",0.769,0.417,0.078,0.202,0.049,0.347,0.081,0,0.032
"P18","Puede que lo vote",0.108,0.219,0.138,0.029,0.057,0.085,0,0.051,0.048
"P18","Nunca lo votaría",0.097,0.36,0.655,0.751,0.847,0.558,0.527,0.551,0.402
"P18","No sabe",0.026,0.004,0.129,0.018,0.047,0.01,0.392,0.398,0.518
"P19","Lo votaría",0.35,0.548,0.079,0.121,0.005,0.255,0.04,0,0.015
"P19","Puede que lo vote",0.299,0.093,0.226,0.063,0.057,0.067,0.326,0.029,0.022
"P19","Nunca lo votaría",0.28,0.339,0.566,0.803,0.896,0.668,0.572,0.603,0.496
"P19","No sabe",0.071,0.02,0.129,0.013,0.042,0.01,0.062,0.368,0.467
"P20","Lo votaría",0.414,0.354,0.428,0.107,0.029,0.25,0.061,0.28,0.054
"P20","Puede que lo vote",0.298,0.211,0.171,0.044,0.118,0.087,0.086,0.256,0.099
"P20","Nunca lo votaría",0.194,0.41,0.336,0.831,0.799,0.663,0.541,0.269,0.51
"P20","No sabe",0.094,0.025,0.065,0.018,0.054,0,0.312,0.195,0.337
"P21","Lo votaría",0.276,0.464,0.615,0.138,0.039,0.274,0.324,0,0.008
"P21","Puede que lo vote",0.19,0.099,0.143,0.013,0.045,0.049,0.068,0.166,0.056
"P21","Nunca lo votaría",0.397,0.39,0.154,0.846,0.839,0.645,0.546,0.347,0.532
"P21","No sabe",0.137,0.047,0.088,0.003,0.077,0.032,0.062,0.487,0.404
"P22","Lo votaría",0.405,0.315,0.729,0.104,0.045,0.277,0.018,0,0.023
"P22","Puede que lo vote",0.183,0.255,0.181,0.03,0.066,0.063,0.127,0.191,0.028
"P22","Nunca lo votaría",0.301,0.402,0.086,0.861,0.805,0.651,0.551,0.519,0.549
"P22","No sabe",0.111,0.028,0.004,0.005,0.084,0.009,0.304,0.29,0.4
"P23","Lo votaría",0.239,0.151,0.219,0.801,0.26,0.288,0,0.09,0.005
"P23","Puede que lo vote",0.042,0.167,0.11,0.092,0.33,0.328,0.095,0.221,0.077
"P23","Nunca lo votaría",0.689,0.572,0.658,0.099,0.319,0.327,0.886,0.402,0.449
"P23","No sabe",0.03,0.11,0.013,0.008,0.091,0.057,0.019,0.287,0.469
"P24","Lo votaría",0.209,0.232,0.074,0.313,0.567,0.33,0,0.055,0
"P24","Puede que lo vote",0.119,0.031,0.089,0.475,0.159,0.171,0.304,0.28,0.052
"P24","Nunca lo votaría",0.631,0.644,0.823,0.174,0.158,0.464,0.382,0.123,0.461
"P24","No sabe",0.041,0.093,0.014,0.038,0.116,0.035,0.314,0.542,0.487
"P25","Lo votaría",0.154,0.121,0.052,0.18,0.076,0.731,0,0.128,0
"P25","Puede que lo vote",0.114,0.029,0.031,0.402,0.225,0.057,0,0.038,0.04
"P25","Nunca lo votaría",0.666,0.673,0.903,0.357,0.661,0.197,1,0.366,0.566
"P25","No sabe",0.066,0.177,0.014,0.061,0.038,0.015,0,0.468,0.394
"P26","Si",0.489,0.536,0.635,0.337,0.204,0.452,0.146,0.337,0.058
"P26","No",0.511,0.464,0.365,0.663,0.796,0.548,0.854,0.663,0.942
