"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.495,0.461,0.525,0.442,0.546,0.493,0.456,0.548,0.485,0.439,0.774,0.194,0.327,0.511,0.462,0.843,0.765,0.085,0.263,0.11
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.317,0.321,0.314,0.264,0.293,0.341,0.421,0.301,0.295,0.378,0.126,0.62,0.369,0.314,0.324,0.092,0.148,0.845,0.515,0.383
"En blanco",0.088,0.116,0.063,0.157,0.067,0.074,0.052,0.052,0.112,0.095,0.045,0.098,0.118,0.076,0.111,0.025,0.059,0.015,0.086,0.285
"No sabe",0.1,0.102,0.098,0.137,0.094,0.092,0.071,0.099,0.108,0.088,0.055,0.088,0.186,0.099,0.103,0.04,0.028,0.055,0.136,0.222
