"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.772,0.133,0.115,0.141,0.188,0.141
"P10","Juntos por el Cambio",0.083,0.708,0.142,0.094,0.18,0.113
"P10","De los liberales libertarios",0.077,0.124,0.672,0.106,0.17,0.082
"P10","De la Izquierda",0.025,0.011,0.029,0.497,0.027,0.058
"P10","Hacemos por nuestro país",0.004,0.003,0.007,0.014,0.147,0.004
"P10","Otro",0.011,0.009,0.016,0.099,0.076,0.086
"P10","En blanco",0.009,0.001,0.004,0.049,0.106,0.085
"P10","No sabe",0.019,0.011,0.015,0,0.106,0.431
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.921,0.111,0.119,0.129,0.149,0
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.037,0.797,0.073,0.035,0.106,0
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.042,0.092,0.808,0.02,0.13,0
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0,0,0,0.816,0,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0,0.346,0
"P20","En blanco",0,0,0,0,0.269,0
"P20","No sabe",0,0,0,0,0,1
"P26","Totalmente seguro",0.833,0.776,0.826,0.532,0.473,0.096
"P26","Bastante seguro",0.077,0.12,0.047,0.083,0.19,0.144
"P26","Algo seguro",0.05,0.063,0.084,0.129,0.145,0.043
"P26","Para nada seguro",0.04,0.041,0.043,0.256,0.192,0.717
"P27","Tiene Decidido que va a ir a votar",0.965,0.91,0.946,0.838,0.836,0.696
"P27","Tiene dudas sobre si va a ir a  votar",0.029,0.077,0.037,0.106,0.085,0.244
"P27","Tiene Decidido que no va a ir a votar",0.006,0.013,0.017,0.056,0.079,0.06
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.897,0.179,0.207,0.371,0.336,0.248
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.055,0.741,0.38,0.181,0.304,0.174
"P28","En blanco",0.021,0.035,0.248,0.108,0.15,0.089
"P28","No sabe",0.027,0.045,0.165,0.34,0.21,0.489
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.233,0.727,0.202,0.212,0.234,0.209
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.159,0.688,0.138,0.261,0.061
"P29","En blanco",0.469,0.068,0.057,0.343,0.216,0.092
"P29","No sabe",0.222,0.046,0.053,0.307,0.289,0.638
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.879,0.192,0.185,0.39,0.335,0.23
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0.358,0.71,0.188,0.316,0.226
"P30","En blanco",0.038,0.266,0.06,0.218,0.185,0.073
"P30","No sabe",0.026,0.184,0.045,0.204,0.164,0.471
"P38","Inflación",0.434,0.329,0.303,0.229,0.254,0.258
"P38","Desempleo",0.085,0.057,0.073,0.16,0.064,0.097
"P38","Corrupción",0.114,0.407,0.406,0.309,0.389,0.334
"P38","Inseguridad",0.143,0.131,0.161,0.057,0.16,0.239
"P38","Precio del dólar",0.062,0.006,0.007,0.004,0.068,0.011
"P38","Pobreza",0.079,0.027,0.023,0.054,0.048,0.004
"P38","Narcotráfico",0.013,0.004,0.012,0.013,0.003,0.031
"P38","Tarifas",0.003,0.004,0,0.006,0,0
"P38","Otro",0.052,0.025,0.01,0.146,0.003,0.026
"P38","No sabe",0.015,0.01,0.005,0.022,0.011,0
"CORTA_GOBERNADOR","Si",0.079,0.203,0.192,0.184,0.385,0
"CORTA_GOBERNADOR","No",0.921,0.797,0.808,0.816,0.615,1
