"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Unión por la Patria",0.425,0.326,0.277,0.144
"P10","Juntos por el Cambio",0.262,0.322,0.235,0.205
"P10","De los liberales libertarios",0.236,0.214,0.253,0.109
"P10","De la Izquierda",0.032,0.057,0.023,0.144
"P10","Hacemos por nuestro país",0.008,0.03,0.033,0.017
"P10","Otro",0.015,0.019,0.075,0.061
"P10","En blanco",0.01,0.015,0.015,0.096
"P10","No sabe",0.012,0.017,0.089,0.224
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.47,0.364,0.363,0.255
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.249,0.296,0.217,0.137
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.231,0.155,0.272,0.132
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.02,0.032,0.054,0.1
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.052,0.047,0.038
"P20","En blanco",0.011,0.045,0.025,0.028
"P20","No sabe",0.005,0.056,0.022,0.31
"P27","Tiene Decidido que va a ir a votar",0.966,0.782,0.787,0.76
"P27","Tiene dudas sobre si va a ir a  votar",0.024,0.205,0.113,0.203
"P27","Tiene Decidido que no va a ir a votar",0.01,0.013,0.1,0.037
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.533,0.422,0.409,0.286
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.442,0.332,0.221
"P28","En blanco",0.091,0.056,0.062,0.116
"P28","No sabe",0.065,0.08,0.197,0.377
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.359,0.423,0.372,0.242
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.244,0.22,0.3,0.159
"P29","En blanco",0.275,0.164,0.131,0.131
"P29","No sabe",0.122,0.193,0.197,0.468
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.51,0.398,0.43,0.312
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.294,0.387,0.361,0.194
"P30","En blanco",0.121,0.143,0.088,0.124
"P30","No sabe",0.075,0.072,0.121,0.37
"P38","Inflación",0.368,0.406,0.283,0.221
"P38","Desempleo",0.069,0.113,0.127,0.129
"P38","Corrupción",0.267,0.274,0.352,0.311
"P38","Inseguridad",0.141,0.098,0.174,0.192
"P38","Precio del dólar",0.033,0.027,0.007,0.044
"P38","Pobreza",0.05,0.052,0.034,0.044
"P38","Narcotráfico",0.011,0.001,0.004,0.014
"P38","Tarifas",0.004,0.003,0,0
"P38","Otro",0.045,0.012,0.012,0.014
"P38","No sabe",0.012,0.014,0.007,0.031
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.438,0.336,0.286,0.19
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.263,0.335,0.235,0.128
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.229,0.108,0.254,0.11
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.026,0.034,0.07,0.116
"GOBERNADOR","En blanco",0.04,0.131,0.133,0.146
"GOBERNADOR","No sabe",0.004,0.056,0.022,0.31
"CORTA_GOBERNADOR","Si",0.123,0.263,0.331,0.175
"CORTA_GOBERNADOR","No",0.877,0.737,0.669,0.825
"P10_imputada","Unión por la Patria",0.429,0.342,0.311,0.217
"P10_imputada","Juntos por el Cambio",0.264,0.323,0.258,0.263
"P10_imputada","De los liberales libertarios",0.24,0.214,0.257,0.163
"P10_imputada","De la Izquierda",0.033,0.057,0.023,0.162
"P10_imputada","Hacemos por nuestro país",0.009,0.03,0.033,0.019
"P10_imputada","Otro",0.015,0.019,0.103,0.08
"P10_imputada","En blanco",0.01,0.015,0.015,0.096
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.472,0.4,0.369,0.347
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.25,0.316,0.228,0.231
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.232,0.155,0.277,0.228
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.021,0.032,0.054,0.109
