"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P10","Unión por la Patria",0.731,0.089,0.112,0.136,0.138,0.14,0.143
"P10","Juntos por el Cambio",0.106,0.754,0.098,0.052,0.121,0.192,0.112
"P10","De los liberales libertarios",0.079,0.118,0.679,0.117,0.178,0.026,0.082
"P10","De la Izquierda",0.026,0.013,0.037,0.52,0.04,0,0.058
"P10","Hacemos por nuestro país",0.008,0.006,0.008,0,0.417,0,0.004
"P10","Otro",0.012,0.005,0.034,0.12,0.069,0.171,0.086
"P10","En blanco",0.012,0.005,0.006,0.055,0.015,0.369,0.085
"P10","No sabe",0.026,0.01,0.026,0,0.022,0.102,0.43
"P26","Totalmente seguro",0.817,0.779,0.799,0.507,0.497,0.504,0.096
"P26","Bastante seguro",0.077,0.112,0.065,0.095,0.215,0.247,0.144
"P26","Algo seguro",0.058,0.062,0.086,0.123,0.146,0.106,0.043
"P26","Para nada seguro",0.048,0.047,0.05,0.275,0.142,0.143,0.717
"P27","Tiene Decidido que va a ir a votar",0.949,0.919,0.96,0.814,0.838,0.694,0.696
"P27","Tiene dudas sobre si va a ir a  votar",0.044,0.059,0.034,0.127,0.15,0.033,0.244
"P27","Tiene Decidido que no va a ir a votar",0.007,0.022,0.006,0.059,0.012,0.273,0.06
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.904,0.143,0.146,0.353,0.36,0.147,0.248
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.048,0.798,0.398,0.178,0.329,0.094,0.174
"P28","En blanco",0.015,0.023,0.27,0.124,0.068,0.567,0.089
"P28","No sabe",0.033,0.036,0.186,0.345,0.243,0.192,0.489
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.243,0.811,0.119,0.202,0.269,0.055,0.209
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.124,0.773,0.126,0.239,0.268,0.061
"P29","En blanco",0.464,0.034,0.059,0.313,0.156,0.483,0.092
"P29","No sabe",0.229,0.031,0.049,0.359,0.336,0.194,0.638
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.897,0.171,0.099,0.293,0.378,0.111,0.23
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.039,0.312,0.838,0.202,0.305,0.291,0.226
"P30","En blanco",0.042,0.299,0.029,0.252,0.146,0.496,0.073
"P30","No sabe",0.022,0.218,0.034,0.253,0.171,0.102,0.471
"P38","Inflación",0.439,0.296,0.327,0.203,0.17,0.136,0.258
"P38","Desempleo",0.088,0.061,0.066,0.151,0.067,0.059,0.097
"P38","Corrupción",0.1,0.431,0.425,0.344,0.457,0.433,0.334
"P38","Inseguridad",0.154,0.131,0.142,0.036,0.13,0.148,0.239
"P38","Precio del dólar",0.058,0.008,0.005,0.005,0.129,0.083,0.011
"P38","Pobreza",0.079,0.023,0.02,0.062,0.04,0.126,0.004
"P38","Narcotráfico",0.013,0.011,0.001,0.017,0,0,0.031
"P38","Tarifas",0.003,0.004,0,0,0,0,0
"P38","Otro",0.049,0.025,0.009,0.182,0,0.015,0.026
"P38","No sabe",0.017,0.01,0.005,0,0.007,0,0
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.845,0.061,0.076,0,0,0,0
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.065,0.842,0.109,0,0,0,0
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.057,0.063,0.774,0,0,0,0
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.011,0.006,0.003,1,0,0,0
"GOBERNADOR","En blanco",0.022,0.028,0.038,0,1,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,0,1
"CORTA_GOBERNADOR","Si",0.202,0.214,0.279,0,0,0,0
"CORTA_GOBERNADOR","No",0.798,0.786,0.721,1,1,1,1
