"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.735,0.066,0.153,0.079
"P10","Juntos por el Cambio",0.112,0.258,0.613,0.584
"P10","De los liberales libertarios",0.071,0.588,0.082,0.043
"P10","De la Izquierda",0.036,0.03,0.062,0.1
"P10","Hacemos por nuestro país",0.009,0.013,0.02,0.025
"P10","Otro",0.009,0.02,0.023,0.035
"P10","En blanco",0.005,0,0.043,0.016
"P10","No sabe",0.023,0.025,0.004,0.118
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.817,0.059,0.157,0.1
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.089,0.268,0.643,0.562
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.043,0.598,0.053,0.073
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.017,0.02,0.061,0.074
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.018,0.023,0.028,0.04
"P20","En blanco",0.002,0.009,0.039,0.01
"P20","No sabe",0.014,0.023,0.019,0.141
"P26","Totalmente seguro",0.818,0.755,0.772,0.59
"P26","Bastante seguro",0.075,0.117,0.107,0.066
"P26","Algo seguro",0.063,0.084,0.051,0.086
"P26","Para nada seguro",0.044,0.044,0.07,0.258
"P27","Tiene Decidido que va a ir a votar",0.955,0.903,0.89,0.866
"P27","Tiene dudas sobre si va a ir a  votar",0.033,0.075,0.076,0.116
"P27","Tiene Decidido que no va a ir a votar",0.012,0.022,0.034,0.018
