"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.395,0.222,0.296
"P10","Juntos por el Cambio",0.265,0.211,0.23
"P10","De los liberales libertarios",0.221,0.31,0.139
"P10","De la Izquierda",0.042,0.052,0.062
"P10","Hacemos por nuestro país",0.013,0.007,0.018
"P10","Otro",0.024,0.001,0.07
"P10","En blanco",0.01,0.099,0.096
"P10","No sabe",0.03,0.098,0.089
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.446,0.331,0.176
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.242,0.25,0.293
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.227,0.132,0.074
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.027,0.067,0.097
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.02,0.058,0.015
"P20","En blanco",0.011,0.009,0.226
"P20","No sabe",0.027,0.153,0.119
"P26","Totalmente seguro",0.793,0.289,0.402
"P26","Bastante seguro",0.076,0.299,0.062
"P26","Algo seguro",0.062,0.133,0.375
"P26","Para nada seguro",0.069,0.279,0.161
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.511,0.267,0.365
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.316,0.324,0.359
"P28","En blanco",0.086,0.11,0.154
"P28","No sabe",0.087,0.299,0.122
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.361,0.289,0.362
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.235,0.291,0.298
"P29","En blanco",0.255,0.107,0.168
"P29","No sabe",0.149,0.313,0.172
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.497,0.268,0.307
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.294,0.382,0.371
"P30","En blanco",0.117,0.156,0.224
"P30","No sabe",0.092,0.194,0.098
"P38","Inflación",0.358,0.282,0.429
"P38","Desempleo",0.083,0.065,0.046
"P38","Corrupción",0.279,0.236,0.274
"P38","Inseguridad",0.135,0.281,0.127
"P38","Precio del dólar",0.033,0.017,0
"P38","Pobreza",0.051,0,0.06
"P38","Narcotráfico",0.007,0.058,0.03
"P38","Tarifas",0.003,0.005,0
"P38","Otro",0.039,0.016,0.026
"P38","No sabe",0.012,0.04,0.008
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.416,0.2,0.127
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.254,0.349,0.183
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.214,0.137,0.191
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.034,0.069,0.115
"GOBERNADOR","En blanco",0.055,0.092,0.265
"GOBERNADOR","No sabe",0.027,0.153,0.119
"CORTA_GOBERNADOR","Si",0.142,0.318,0.227
"CORTA_GOBERNADOR","No",0.858,0.682,0.773
"P10_imputada","Unión por la Patria",0.407,0.246,0.305
"P10_imputada","Juntos por el Cambio",0.271,0.234,0.3
"P10_imputada","De los liberales libertarios",0.227,0.337,0.149
"P10_imputada","De la Izquierda",0.043,0.076,0.062
"P10_imputada","Hacemos por nuestro país",0.014,0.007,0.018
"P10_imputada","Otro",0.028,0.001,0.07
"P10_imputada","En blanco",0.01,0.099,0.096
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.456,0.39,0.182
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.252,0.268,0.323
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.233,0.186,0.158
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.027,0.076,0.096
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.021,0.058,0.015
"P20_imputada","En blanco",0.011,0.022,0.226
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.428,0.229,0.144
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.26,0.403,0.208
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.219,0.157,0.218
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.035,0.09,0.133
"GOBERNADOR_imputada","En blanco",0.058,0.121,0.297
