"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.141,0.097,0.182,0.112,0.159,0.126,0.163,0.127,0.172,0.097,0.186,0.16,0.202,0.05,0.093,0.086,0.187,0.133,0.078,6
"Buena",0.167,0.179,0.155,0.087,0.161,0.194,0.253,0.19,0.148,0.163,0.147,0.111,0.296,0.228,0.09,0.203,0.199,0.142,0.072,6
"Ni buena ni mala",0.26,0.285,0.238,0.232,0.252,0.251,0.341,0.184,0.299,0.322,0.239,0.281,0.226,0.283,0.339,0.202,0.287,0.253,0.447,6
"Mala",0.203,0.148,0.253,0.251,0.176,0.242,0.137,0.18,0.231,0.183,0.209,0.151,0.113,0.244,0.258,0.338,0.165,0.286,0.125,6
"Muy mala",0.147,0.199,0.1,0.223,0.164,0.108,0.055,0.24,0.076,0.13,0.184,0.152,0.106,0.092,0.163,0.164,0.08,0.145,0.039,6
"No sabe",0.082,0.092,0.072,0.095,0.088,0.079,0.051,0.079,0.074,0.105,0.035,0.145,0.057,0.103,0.057,0.007,0.082,0.041,0.239,6
"Positiva",0.308,0.276,0.337,0.199,0.32,0.32,0.416,0.317,0.32,0.26,0.333,0.271,0.498,0.278,0.183,0.289,0.386,0.275,0.15,4
"Neutra",0.26,0.285,0.238,0.232,0.252,0.251,0.341,0.184,0.299,0.322,0.239,0.281,0.226,0.283,0.339,0.202,0.287,0.253,0.447,4
"Negativa",0.35,0.347,0.353,0.474,0.34,0.35,0.192,0.42,0.307,0.313,0.393,0.303,0.219,0.336,0.421,0.502,0.245,0.431,0.164,4
"No sabe",0.082,0.092,0.072,0.095,0.088,0.079,0.051,0.079,0.074,0.105,0.035,0.145,0.057,0.103,0.057,0.007,0.082,0.041,0.239,4
