"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Martín Lousteau"
"P07","A Gustavo Menendez por el Frente de Todos",0.097,0.147,0.004,0,0.359
"P07","A David Zencich por Juntos por el Cambio",0.613,0.452,0.781,0.474,0.089
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.13,0.254,0.18,0,0.552
"P07","Al candidato de Javier Milei",0.111,0,0.02,0.526,0
"P07","A Cristian Franco por el Frente de Izquierda",0,0,0,0,0
"P07","A otro candidato",0.049,0.147,0.015,0,0
"P09","A Gustavo Menendez por el Frente de Todos",0.114,0.306,0.062,0,0.359
"P09","A David Zencich por Juntos por el Cambio",0.661,0.549,0.866,0.544,0.322
"P09","Al candidato de Javier Milei",0.164,0.004,0.065,0,0
"P09","A Cristian Franco por el Frente de Izquierda",0,0,0,0,0
"P09","A otro candidato",0.061,0.141,0.007,0.456,0.319
"P11","A Gustavo Menendez por el Frente de Todos",0.204,0.021,0.05,0,0.359
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.527,0.676,0.642,0.544,0.641
"P11","Al candidato de Javier Milei",0.17,0.154,0.103,0,0
"P11","A Cristian Franco por el Frente de Izquierda",0,0,0,0,0
"P11","A otro candidato",0.099,0.149,0.205,0.456,0
"P13","Muy buena",0.126,0.17,0.052,0,0.145
"P13","Buena",0.101,0.066,0.055,0,0.767
"P13","Ni buena ni mala",0.136,0.156,0.174,0.07,0
"P13","Mala",0.219,0.139,0.158,0,0
"P13","Muy mala",0.41,0.442,0.557,0.93,0.088
"P13","No sabe",0.008,0.027,0.004,0,0
"P14","Muy buena",0.3,0.473,0.32,0.018,0.145
"P14","Buena",0.298,0.179,0.384,0,0.088
"P14","Ni buena ni mala",0.191,0.17,0.234,0.982,0.767
"P14","Mala",0.087,0,0.005,0,0
"P14","Muy mala",0.013,0.141,0.042,0,0
"P14","No sabe",0.111,0.037,0.015,0,0
"P15","Muy buena",0.123,0.141,0.05,0,0.145
"P15","Buena",0.084,0.027,0.038,0,0
"P15","Ni buena ni mala",0.155,0.137,0.157,0,0.359
"P15","Mala",0.248,0.206,0.219,0.456,0.177
"P15","Muy mala",0.373,0.441,0.506,0.474,0.319
"P15","No sabe",0.017,0.048,0.03,0.07,0
"P16","Muy buena",0.154,0.398,0.091,0.07,0.145
"P16","Buena",0.167,0.103,0.34,0.018,0.319
"P16","Ni buena ni mala",0.364,0.091,0.42,0.912,0.177
"P16","Mala",0.048,0.141,0.092,0,0
"P16","Muy mala",0.151,0.199,0.007,0,0
"P16","No sabe",0.116,0.068,0.05,0,0.359
"P17","Muy buena",0.055,0.479,0.075,0,0
"P17","Buena",0.179,0.257,0.238,0.456,0
"P17","Ni buena ni mala",0.248,0.067,0.314,0.07,0.496
"P17","Mala",0.239,0.026,0.142,0.456,0
"P17","Muy mala",0.279,0.13,0.215,0.018,0.145
