"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.148,0.149,0.148,0.209,0.102,0.13,0.213,0.204,0.13,0.078,0.214,0.126,0.105,0.219,0.126,0.132,0.124,0.232,0.056,6
"Buena",0.129,0.118,0.14,0.061,0.13,0.176,0.154,0.116,0.134,0.144,0.174,0.105,0.157,0.048,0.13,0.17,0.078,0.239,0.236,6
"Ni buena ni mala",0.335,0.359,0.311,0.294,0.373,0.324,0.311,0.281,0.367,0.369,0.292,0.335,0.348,0.433,0.328,0.304,0.374,0.262,0.453,6
"Mala",0.123,0.133,0.112,0.134,0.127,0.109,0.115,0.106,0.147,0.096,0.068,0.141,0.159,0.14,0.093,0.108,0.141,0.117,0.026,6
"Muy mala",0.119,0.096,0.141,0.206,0.1,0.1,0.067,0.123,0.077,0.213,0.122,0.111,0.057,0.086,0.18,0.188,0.118,0.057,0.182,6
"No sabe",0.146,0.145,0.148,0.096,0.168,0.161,0.14,0.17,0.145,0.1,0.13,0.182,0.174,0.074,0.143,0.098,0.165,0.093,0.047,6
"Positiva",0.277,0.267,0.288,0.27,0.232,0.306,0.367,0.32,0.264,0.222,0.388,0.231,0.262,0.267,0.256,0.302,0.202,0.471,0.292,4
"Neutra",0.335,0.359,0.311,0.294,0.373,0.324,0.311,0.281,0.367,0.369,0.292,0.335,0.348,0.433,0.328,0.304,0.374,0.262,0.453,4
"Negativa",0.242,0.229,0.253,0.34,0.227,0.209,0.182,0.229,0.224,0.309,0.19,0.252,0.216,0.226,0.273,0.296,0.259,0.174,0.208,4
"No sabe",0.146,0.145,0.148,0.096,0.168,0.161,0.14,0.17,0.145,0.1,0.13,0.182,0.174,0.074,0.143,0.098,0.165,0.093,0.047,4
