"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.247,0.227,0.265,0.559,0.231,0.028,0.22,0.391,0.163,0.145,0.601,0.142,0.142,0.5,0.749,0,0.312,0.016,0
"A Sergio Massa",0.197,0.251,0.151,0,0.209,0.121,0.539,0.228,0.227,0.066,0.082,0.282,0.072,0,0.048,0.343,0.159,0.377,0
"A algún candidato del peronismo",0.243,0.165,0.31,0.367,0.165,0.364,0.085,0.191,0.184,0.49,0.041,0.253,0.383,0.24,0.068,0.309,0.153,0.534,0
"A algún candidato del kirchnerismo",0.313,0.357,0.274,0.074,0.395,0.487,0.156,0.19,0.426,0.299,0.276,0.323,0.403,0.26,0.135,0.348,0.376,0.073,1
