"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.094,0.083,0.105,0.147,0.047,0.101,0.128,0.141,0.07,0.053,0.16,0.093,0.023,0.087,0.118,0.087,0.102,0.062,0.272,6
"Buena",0.114,0.137,0.092,0.09,0.123,0.119,0.119,0.101,0.126,0.115,0.113,0.093,0.104,0.114,0.115,0.187,0.103,0.15,0.044,6
"Ni buena ni mala",0.239,0.212,0.266,0.268,0.195,0.256,0.289,0.192,0.274,0.254,0.214,0.18,0.325,0.276,0.252,0.296,0.304,0.213,0.081,6
"Mala",0.197,0.203,0.191,0.17,0.206,0.223,0.178,0.156,0.223,0.22,0.122,0.239,0.217,0.163,0.157,0.207,0.158,0.26,0.391,6
"Muy mala",0.272,0.264,0.28,0.211,0.36,0.258,0.147,0.26,0.252,0.346,0.231,0.327,0.264,0.241,0.273,0.201,0.227,0.278,0.163,6
"No sabe",0.084,0.101,0.066,0.114,0.069,0.043,0.139,0.15,0.055,0.012,0.16,0.068,0.067,0.119,0.085,0.022,0.106,0.037,0.049,6
"Positiva",0.208,0.22,0.197,0.237,0.17,0.22,0.247,0.242,0.196,0.168,0.273,0.186,0.127,0.201,0.233,0.274,0.205,0.212,0.316,4
"Neutra",0.239,0.212,0.266,0.268,0.195,0.256,0.289,0.192,0.274,0.254,0.214,0.18,0.325,0.276,0.252,0.296,0.304,0.213,0.081,4
"Negativa",0.469,0.467,0.471,0.381,0.566,0.481,0.325,0.416,0.475,0.566,0.353,0.566,0.481,0.404,0.43,0.408,0.385,0.538,0.554,4
"No sabe",0.084,0.101,0.066,0.114,0.069,0.043,0.139,0.15,0.055,0.012,0.16,0.068,0.067,0.119,0.085,0.022,0.106,0.037,0.049,4
