"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez"
"David Zencich","Positiva",0.277,0.267,0.288,0.27,0.232,0.306,0.367,0.32,0.264,0.222,0.388,0.231,0.262,0.267,0.256,0.302,0.202
"David Zencich","Neutra",0.335,0.359,0.311,0.294,0.373,0.324,0.311,0.281,0.367,0.369,0.292,0.335,0.348,0.433,0.328,0.304,0.374
"David Zencich","Negativa",0.242,0.229,0.253,0.34,0.227,0.209,0.182,0.229,0.224,0.309,0.19,0.252,0.216,0.226,0.273,0.296,0.259
"David Zencich","No sabe",0.146,0.145,0.148,0.096,0.168,0.161,0.14,0.17,0.145,0.1,0.13,0.182,0.174,0.074,0.143,0.098,0.165
"María Luján Rey","Positiva",0.198,0.216,0.179,0.213,0.156,0.225,0.24,0.265,0.151,0.172,0.189,0.205,0.201,0.114,0.287,0.175,0.162
"María Luján Rey","Neutra",0.361,0.385,0.336,0.305,0.438,0.298,0.339,0.264,0.445,0.355,0.329,0.3,0.402,0.49,0.304,0.473,0.411
"María Luján Rey","Negativa",0.212,0.188,0.238,0.304,0.176,0.23,0.146,0.201,0.201,0.266,0.212,0.227,0.152,0.203,0.237,0.235,0.194
"María Luján Rey","No sabe",0.229,0.211,0.247,0.178,0.23,0.247,0.275,0.27,0.203,0.207,0.27,0.268,0.245,0.193,0.172,0.117,0.233
"Gustavo Menendez","Positiva",0.377,0.338,0.417,0.367,0.361,0.356,0.471,0.411,0.389,0.278,0.368,0.445,0.33,0.282,0.341,0.359,0.545
"Gustavo Menendez","Neutra",0.181,0.197,0.166,0.136,0.195,0.206,0.173,0.123,0.234,0.173,0.211,0.167,0.179,0.28,0.216,0.085,0.189
"Gustavo Menendez","Negativa",0.414,0.441,0.386,0.497,0.405,0.415,0.307,0.406,0.37,0.537,0.411,0.37,0.432,0.381,0.386,0.556,0.25
"Gustavo Menendez","No sabe",0.028,0.024,0.031,0,0.039,0.023,0.049,0.06,0.007,0.012,0.01,0.018,0.059,0.057,0.057,0,0.016
"CFK","Positiva",0.42,0.364,0.468,0.329,0.479,0.406,0.406,0.453,0.377,0.445,0.377,0.485,0.526,0.191,0.399,0.361,0.683
"CFK","Neutra",0.101,0.109,0.093,0.059,0.122,0.06,0.16,0.117,0.094,0.082,0.027,0.087,0.148,0.108,0.069,0.177,0.053
"CFK","Negativa",0.473,0.522,0.431,0.612,0.399,0.527,0.404,0.426,0.517,0.473,0.574,0.423,0.326,0.701,0.526,0.458,0.262
"CFK","No sabe",0.006,0.005,0.008,0,0,0.007,0.03,0.004,0.012,0,0.022,0.005,0,0,0.006,0.004,0.002
"Florencia Lizaraso","Positiva",0.138,0.12,0.157,0.136,0.118,0.156,0.171,0.18,0.109,0.128,0.054,0.167,0.149,0.239,0.115,0.094,0.129
"Florencia Lizaraso","Neutra",0.411,0.425,0.397,0.317,0.485,0.384,0.405,0.309,0.522,0.348,0.466,0.304,0.461,0.51,0.419,0.501,0.466
"Florencia Lizaraso","Negativa",0.163,0.175,0.15,0.253,0.146,0.153,0.074,0.172,0.129,0.224,0.175,0.185,0.144,0.075,0.118,0.205,0.143
"Florencia Lizaraso","No sabe",0.288,0.28,0.296,0.294,0.251,0.307,0.35,0.339,0.24,0.3,0.305,0.344,0.246,0.176,0.348,0.2,0.262
"Karina Menendez","Positiva",0.302,0.283,0.322,0.375,0.274,0.271,0.316,0.342,0.287,0.256,0.29,0.36,0.256,0.28,0.299,0.234,0.447
"Karina Menendez","Neutra",0.234,0.255,0.213,0.186,0.24,0.248,0.274,0.174,0.315,0.157,0.262,0.221,0.275,0.306,0.243,0.124,0.29
"Karina Menendez","Negativa",0.391,0.394,0.387,0.414,0.403,0.405,0.292,0.394,0.333,0.53,0.378,0.364,0.364,0.336,0.386,0.557,0.2
"Karina Menendez","No sabe",0.073,0.068,0.078,0.025,0.083,0.076,0.118,0.09,0.065,0.057,0.07,0.055,0.105,0.078,0.072,0.085,0.063
"Patricia Bullrich","Positiva",0.346,0.338,0.353,0.475,0.258,0.378,0.373,0.277,0.382,0.4,0.417,0.362,0.275,0.249,0.376,0.34,0.138
"Patricia Bullrich","Neutra",0.157,0.157,0.157,0.129,0.226,0.113,0.088,0.209,0.137,0.104,0.133,0.158,0.173,0.199,0.054,0.212,0.118
"Patricia Bullrich","Negativa",0.473,0.481,0.467,0.396,0.497,0.493,0.468,0.495,0.446,0.487,0.425,0.446,0.528,0.552,0.564,0.429,0.716
"Patricia Bullrich","No sabe",0.024,0.024,0.023,0,0.019,0.016,0.071,0.019,0.035,0.009,0.025,0.034,0.024,0,0.006,0.019,0.028
"Horacio Rodriguez Larreta","Positiva",0.321,0.281,0.358,0.34,0.248,0.36,0.42,0.326,0.338,0.28,0.34,0.243,0.473,0.393,0.253,0.341,0.188
"Horacio Rodriguez Larreta","Neutra",0.216,0.216,0.216,0.257,0.265,0.144,0.166,0.176,0.241,0.239,0.281,0.246,0.093,0.076,0.174,0.306,0.219
"Horacio Rodriguez Larreta","Negativa",0.441,0.481,0.404,0.403,0.46,0.493,0.351,0.481,0.388,0.473,0.354,0.48,0.434,0.531,0.537,0.334,0.575
"Horacio Rodriguez Larreta","No sabe",0.022,0.022,0.022,0,0.027,0.003,0.063,0.017,0.033,0.008,0.025,0.031,0,0,0.036,0.019,0.018
"Javier Milei","Positiva",0.314,0.384,0.251,0.768,0.19,0.237,0.281,0.275,0.34,0.334,0.349,0.372,0.192,0.264,0.293,0.313,0.183
"Javier Milei","Neutra",0.217,0.196,0.235,0.061,0.273,0.217,0.232,0.214,0.258,0.141,0.195,0.194,0.183,0.353,0.221,0.247,0.158
"Javier Milei","Negativa",0.437,0.395,0.475,0.171,0.537,0.484,0.389,0.446,0.391,0.512,0.439,0.425,0.547,0.344,0.468,0.383,0.637
"Javier Milei","No sabe",0.032,0.025,0.039,0,0,0.062,0.098,0.065,0.011,0.013,0.017,0.009,0.078,0.039,0.018,0.057,0.022
"Sergio Massa","Positiva",0.305,0.335,0.279,0.332,0.299,0.258,0.372,0.321,0.294,0.3,0.166,0.389,0.228,0.252,0.315,0.354,0.438
"Sergio Massa","Neutra",0.236,0.211,0.258,0.216,0.24,0.223,0.265,0.287,0.209,0.196,0.222,0.196,0.312,0.215,0.197,0.3,0.273
"Sergio Massa","Negativa",0.448,0.443,0.452,0.452,0.459,0.499,0.334,0.383,0.482,0.497,0.606,0.395,0.46,0.533,0.469,0.342,0.279
"Sergio Massa","No sabe",0.011,0.011,0.011,0,0.002,0.02,0.029,0.009,0.015,0.007,0.006,0.02,0,0,0.019,0.004,0.01
"Pablo Cocuzza","Positiva",0.165,0.158,0.172,0.189,0.116,0.187,0.224,0.163,0.177,0.139,0.237,0.141,0.185,0.044,0.182,0.193,0.112
"Pablo Cocuzza","Neutra",0.364,0.318,0.412,0.358,0.373,0.391,0.309,0.236,0.439,0.449,0.339,0.342,0.324,0.563,0.348,0.369,0.39
"Pablo Cocuzza","Negativa",0.276,0.312,0.239,0.267,0.328,0.236,0.209,0.318,0.227,0.311,0.272,0.276,0.32,0.183,0.298,0.283,0.25
"Pablo Cocuzza","No sabe",0.195,0.212,0.177,0.186,0.183,0.186,0.258,0.283,0.157,0.101,0.152,0.241,0.171,0.21,0.172,0.155,0.248
"Mauricio Macri","Positiva",0.262,0.241,0.282,0.311,0.232,0.24,0.313,0.229,0.286,0.278,0.324,0.266,0.246,0.123,0.284,0.279,0.099
"Mauricio Macri","Neutra",0.14,0.117,0.16,0.038,0.137,0.187,0.209,0.146,0.16,0.088,0.171,0.13,0.15,0.112,0.102,0.169,0.07
"Mauricio Macri","Negativa",0.574,0.631,0.524,0.651,0.597,0.573,0.414,0.594,0.53,0.626,0.495,0.576,0.593,0.701,0.602,0.533,0.807
"Mauricio Macri","No sabe",0.024,0.011,0.034,0,0.034,0,0.064,0.031,0.024,0.008,0.01,0.028,0.011,0.064,0.012,0.019,0.024
"Raúl Othacehé","Positiva",0.208,0.22,0.197,0.237,0.17,0.22,0.247,0.242,0.196,0.168,0.273,0.186,0.127,0.201,0.233,0.274,0.205
"Raúl Othacehé","Neutra",0.239,0.212,0.266,0.268,0.195,0.256,0.289,0.192,0.274,0.254,0.214,0.18,0.325,0.276,0.252,0.296,0.304
"Raúl Othacehé","Negativa",0.469,0.467,0.471,0.381,0.566,0.481,0.325,0.416,0.475,0.566,0.353,0.566,0.481,0.404,0.43,0.408,0.385
"Raúl Othacehé","No sabe",0.084,0.101,0.066,0.114,0.069,0.043,0.139,0.15,0.055,0.012,0.16,0.068,0.067,0.119,0.085,0.022,0.106
"Alberto Fernandez","Positiva",0.229,0.188,0.266,0.325,0.198,0.157,0.301,0.236,0.194,0.289,0.203,0.29,0.23,0.178,0.178,0.183,0.323
"Alberto Fernandez","Neutra",0.235,0.207,0.259,0.087,0.256,0.305,0.259,0.239,0.27,0.153,0.133,0.201,0.297,0.24,0.264,0.334,0.308
"Alberto Fernandez","Negativa",0.523,0.597,0.458,0.588,0.531,0.531,0.406,0.511,0.517,0.558,0.652,0.489,0.473,0.582,0.546,0.464,0.354
"Alberto Fernandez","No sabe",0.013,0.008,0.017,0,0.015,0.007,0.034,0.014,0.019,0,0.012,0.02,0,0,0.012,0.019,0.015
"Flavia Luz Tesone","Positiva",0.062,0.069,0.055,0.094,0.043,0.061,0.067,0.086,0.044,0.063,0.029,0.056,0.086,0.04,0.099,0.086,0.045
"Flavia Luz Tesone","Neutra",0.432,0.427,0.437,0.356,0.508,0.408,0.378,0.299,0.534,0.446,0.461,0.39,0.451,0.557,0.408,0.413,0.498
"Flavia Luz Tesone","Negativa",0.145,0.141,0.148,0.246,0.119,0.107,0.122,0.17,0.126,0.139,0.157,0.146,0.075,0.209,0.1,0.196,0.127
"Flavia Luz Tesone","No sabe",0.361,0.363,0.36,0.304,0.33,0.424,0.433,0.445,0.296,0.352,0.353,0.408,0.388,0.194,0.393,0.305,0.33
