"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.166,0.15,0.183,0.265,0.13,0.136,0.156,0.211,0.152,0.104,0.141,0.197,0.119,0.253,0.217,0.067,0.248,0.097,0.027,6
"Buena",0.136,0.133,0.139,0.11,0.144,0.135,0.16,0.131,0.135,0.152,0.149,0.163,0.137,0.027,0.082,0.167,0.199,0.092,0.024,6
"Ni buena ni mala",0.234,0.255,0.213,0.186,0.24,0.248,0.274,0.174,0.315,0.157,0.262,0.221,0.275,0.306,0.243,0.124,0.29,0.161,0.346,6
"Mala",0.129,0.097,0.161,0.072,0.131,0.179,0.135,0.123,0.119,0.167,0.148,0.103,0.125,0.16,0.103,0.173,0.091,0.167,0.313,6
"Muy mala",0.262,0.297,0.226,0.342,0.272,0.226,0.157,0.271,0.214,0.363,0.23,0.261,0.239,0.176,0.283,0.384,0.109,0.421,0.276,6
"No sabe",0.073,0.068,0.078,0.025,0.083,0.076,0.118,0.09,0.065,0.057,0.07,0.055,0.105,0.078,0.072,0.085,0.063,0.062,0.014,6
"Positiva",0.302,0.283,0.322,0.375,0.274,0.271,0.316,0.342,0.287,0.256,0.29,0.36,0.256,0.28,0.299,0.234,0.447,0.189,0.051,4
"Neutra",0.234,0.255,0.213,0.186,0.24,0.248,0.274,0.174,0.315,0.157,0.262,0.221,0.275,0.306,0.243,0.124,0.29,0.161,0.346,4
"Negativa",0.391,0.394,0.387,0.414,0.403,0.405,0.292,0.394,0.333,0.53,0.378,0.364,0.364,0.336,0.386,0.557,0.2,0.588,0.589,4
"No sabe",0.073,0.068,0.078,0.025,0.083,0.076,0.118,0.09,0.065,0.057,0.07,0.055,0.105,0.078,0.072,0.085,0.063,0.062,0.014,4
