"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Agua corriente y cloacas",0.543,0.561,0.526,0.537,0.515,0.584,0.561,0.563,0.541,0.509,0.523,0.473,0.623,0.788,0.551,0.492,0.575,0.481,0.698
"Energía eléctrica",0.093,0.087,0.099,0.091,0.132,0.079,0.015,0.135,0.055,0.099,0.075,0.126,0.119,0,0.044,0.099,0.025,0.166,0
"Red de gas natural",0.125,0.117,0.132,0.123,0.135,0.111,0.123,0.065,0.17,0.136,0.078,0.117,0.046,0.186,0.027,0.279,0.135,0.131,0.044
"Recolección de residuos",0.098,0.081,0.113,0.069,0.104,0.119,0.089,0.091,0.1,0.108,0.162,0.124,0.082,0,0.066,0.075,0.073,0.128,0.228
"Ninguno",0.141,0.154,0.13,0.18,0.114,0.107,0.212,0.146,0.134,0.148,0.162,0.16,0.13,0.026,0.312,0.055,0.192,0.094,0.03
