"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.484,0.4,0.402
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.174,0.272
"P04","No tengo trabajo",0.143,0.183,0.168
"P04","Soy jubilado o pensionado",0.156,0.243,0.158
"P05","1",0.195,0.399,0.297
"P05","2",0.039,0.063,0.099
"P05","3",0.042,0.077,0.068
"P05","4",0.045,0.082,0.077
"P05","5",0.103,0.204,0.209
"P05","6",0.049,0.039,0.034
"P05","7",0.149,0.057,0.035
"P05","8",0.1,0.022,0.047
"P05","9",0.278,0.057,0.134
"P06","1",0.431,0.132,0.223
"P06","2",0.109,0.04,0.018
"P06","3",0.069,0.031,0.016
"P06","4",0.042,0.054,0.03
"P06","5",0.123,0.17,0.224
"P06","6",0.034,0.049,0.083
"P06","7",0.041,0.08,0.023
"P06","8",0.018,0.107,0.066
"P06","9",0.133,0.337,0.317
"P07","1",0.609,0.209,0.29
"P07","2",0.062,0.043,0.019
"P07","3",0.045,0.035,0.016
"P07","4",0.01,0.034,0.014
"P07","5",0.075,0.124,0.122
"P07","6",0.018,0.05,0.057
"P07","7",0.014,0.059,0.042
"P07","8",0.008,0.044,0.068
"P07","9",0.159,0.402,0.372
"P09","Del Frente de Todos y el peronismo",0.804,0.06,0.116
"P09","De Juntos por el cambio",0.065,0.631,0.194
"P09","De los Liberales libertarios",0.026,0.229,0.396
"P09","De la Izquierda",0.034,0.009,0.029
"P09","No sabe",0.071,0.071,0.265
"P10","A Alberto Fernández",0.166,0.202,0.07
"P10","A Sergio Massa",0.186,0.334,0.66
"P10","A algún candidato del peronismo",0.086,0.294,0.249
"P10","A algún candidato del kirchnerismo",0.562,0.17,0.021
"P11","A Alberto Fernández",0.116,0.242,0.129
"P11","A Sergio Massa",0.109,0.213,0.403
"P11","A algún candidato del peronismo",0.061,0.479,0.242
"P11","A Cristina Fernández de Kirchner",0.714,0.066,0.226
"P12","A Horacio Rodriguez Larreta",0.174,0.172,0.464
"P12","A Mauricio Macri",0.134,0.411,0.119
"P12","A Patricia Bullrich",0.248,0.381,0.21
"P12","A Facundo Manes",0.279,0.028,0.158
"P12","A Gerardo Morales",0.165,0.008,0.049
"P13","Seguro lo votaria",0.026,0.131,0.279
"P13","Quizás lo votaría",0.313,0.44,0.337
"P13","Nunca lo votaría",0.661,0.429,0.384
"P14","Lo votaría",0.036,0.541,0.028
"P14","Puede que lo vote",0.019,0.287,0.192
"P14","Nunca lo votaría",0.906,0.136,0.691
"P14","No sabe",0.039,0.036,0.089
"P15","Lo votaría",0.234,0.054,0.099
"P15","Puede que lo vote",0.465,0.082,0.165
"P15","Nunca lo votaría",0.241,0.858,0.685
"P15","No sabe",0.06,0.006,0.051
"P16","Lo votaría",0.246,0.022,0.062
"P16","Puede que lo vote",0.442,0.015,0.072
